indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,191,croatia,hr,1,1950,1728.0
total net number of migrants,191,croatia,hr,2,1951,1161.0
total net number of migrants,191,croatia,hr,3,1952,545.0
total net number of migrants,191,croatia,hr,4,1953,-648.0
total net number of migrants,191,croatia,hr,5,1954,-1962.0
total net number of migrants,191,croatia,hr,6,1955,-2945.0
total net number of migrants,191,croatia,hr,7,1956,-3545.0
total net number of migrants,191,croatia,hr,8,1957,-3487.0
total net number of migrants,191,croatia,hr,9,1958,-3114.0
total net number of migrants,191,croatia,hr,10,1959,-2799.0
total net number of migrants,191,croatia,hr,11,1960,-2176.0
total net number of migrants,191,croatia,hr,12,1961,-1538.0
total net number of migrants,191,croatia,hr,13,1962,-1015.0
total net number of migrants,191,croatia,hr,14,1963,-679.0
total net number of migrants,191,croatia,hr,15,1964,-649.0
total net number of migrants,191,croatia,hr,16,1965,-420.0
total net number of migrants,191,croatia,hr,17,1966,-483.0
total net number of migrants,191,croatia,hr,18,1967,-922.0
total net number of migrants,191,croatia,hr,19,1968,-1671.0
total net number of migrants,191,croatia,hr,20,1969,-2814.0
total net number of migrants,191,croatia,hr,21,1970,-4120.0
total net number of migrants,191,croatia,hr,22,1971,-5625.0
total net number of migrants,191,croatia,hr,23,1972,-6536.0
total net number of migrants,191,croatia,hr,24,1973,-6960.0
total net number of migrants,191,croatia,hr,25,1974,-7085.0
total net number of migrants,191,croatia,hr,26,1975,-6653.0
total net number of migrants,191,croatia,hr,27,1976,-5743.0
total net number of migrants,191,croatia,hr,28,1977,-3997.0
total net number of migrants,191,croatia,hr,29,1978,-1469.0
total net number of migrants,191,croatia,hr,30,1979,1612.0
total net number of migrants,191,croatia,hr,31,1980,5588.0
total net number of migrants,191,croatia,hr,32,1981,10294.0
total net number of migrants,191,croatia,hr,33,1982,13490.0
total net number of migrants,191,croatia,hr,34,1983,15293.0
total net number of migrants,191,croatia,hr,35,1984,16236.0
total net number of migrants,191,croatia,hr,36,1985,15822.0
total net number of migrants,191,croatia,hr,37,1986,14071.0
total net number of migrants,191,croatia,hr,38,1987,11068.0
total net number of migrants,191,croatia,hr,39,1988,6641.0
total net number of migrants,191,croatia,hr,40,1989,588.0
total net number of migrants,191,croatia,hr,41,1990,-7183.0
total net number of migrants,191,croatia,hr,42,1991,-47995.0
total net number of migrants,191,croatia,hr,43,1992,-34344.0
total net number of migrants,191,croatia,hr,44,1993,29470.0
total net number of migrants,191,croatia,hr,45,1994,27267.0
total net number of migrants,191,croatia,hr,46,1995,-52246.0
total net number of migrants,191,croatia,hr,47,1996,-48626.0
total net number of migrants,191,croatia,hr,48,1997,-53064.0
total net number of migrants,191,croatia,hr,49,1998,-48299.0
total net number of migrants,191,croatia,hr,50,1999,-48578.0
total net number of migrants,191,croatia,hr,51,2000,-50791.0
total net number of migrants,191,croatia,hr,52,2001,-17581.0
total net number of migrants,191,croatia,hr,53,2002,-12562.0
total net number of migrants,191,croatia,hr,54,2003,-8641.0
total net number of migrants,191,croatia,hr,55,2004,-5673.0
total net number of migrants,191,croatia,hr,56,2005,-3834.0
total net number of migrants,191,croatia,hr,57,2006,-2720.0
total net number of migrants,191,croatia,hr,58,2007,-2207.0
total net number of migrants,191,croatia,hr,59,2008,-2613.0
total net number of migrants,191,croatia,hr,60,2009,-3675.0
total net number of migrants,191,croatia,hr,61,2010,-5624.0
total net number of migrants,191,croatia,hr,62,2011,-8241.0
total net number of migrants,191,croatia,hr,63,2012,-10440.0
total net number of migrants,191,croatia,hr,64,2013,-11833.0
total net number of migrants,191,croatia,hr,65,2014,-12849.0
total net number of migrants,191,croatia,hr,66,2015,-13408.0
total net number of migrants,191,croatia,hr,67,2016,-13569.0
total net number of migrants,191,croatia,hr,68,2017,-13654.0
total net number of migrants,191,croatia,hr,69,2018,-13171.0
total net number of migrants,191,croatia,hr,70,2019,-12480.0
total net number of migrants,191,croatia,hr,71,2020,-11592.0
total net number of migrants,191,croatia,hr,72,2021,-10402.0
total net number of migrants,191,croatia,hr,73,2022,-2000.0
total net number of migrants,191,croatia,hr,74,2023,-2000.0
