indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,192,cuba,cu,1,1950,-6090.0
total net number of migrants,192,cuba,cu,2,1951,-5786.0
total net number of migrants,192,cuba,cu,3,1952,-5845.0
total net number of migrants,192,cuba,cu,4,1953,-6234.0
total net number of migrants,192,cuba,cu,5,1954,-6906.0
total net number of migrants,192,cuba,cu,6,1955,-7838.0
total net number of migrants,192,cuba,cu,7,1956,-8982.0
total net number of migrants,192,cuba,cu,8,1957,-10291.0
total net number of migrants,192,cuba,cu,9,1958,-12321.0
total net number of migrants,192,cuba,cu,10,1959,-17785.0
total net number of migrants,192,cuba,cu,11,1960,-25396.0
total net number of migrants,192,cuba,cu,12,1961,-33163.0
total net number of migrants,192,cuba,cu,13,1962,-39116.0
total net number of migrants,192,cuba,cu,14,1963,-41979.0
total net number of migrants,192,cuba,cu,15,1964,-44406.0
total net number of migrants,192,cuba,cu,16,1965,-46683.0
total net number of migrants,192,cuba,cu,17,1966,-48509.0
total net number of migrants,192,cuba,cu,18,1967,-49556.0
total net number of migrants,192,cuba,cu,19,1968,-49387.0
total net number of migrants,192,cuba,cu,20,1969,-47446.0
total net number of migrants,192,cuba,cu,21,1970,-44466.0
total net number of migrants,192,cuba,cu,22,1971,-50012.0
total net number of migrants,192,cuba,cu,23,1972,-61788.0
total net number of migrants,192,cuba,cu,24,1973,-64655.0
total net number of migrants,192,cuba,cu,25,1974,-62793.0
total net number of migrants,192,cuba,cu,26,1975,-57074.0
total net number of migrants,192,cuba,cu,27,1976,-51223.0
total net number of migrants,192,cuba,cu,28,1977,-46105.0
total net number of migrants,192,cuba,cu,29,1978,-37588.0
total net number of migrants,192,cuba,cu,30,1979,-42543.0
total net number of migrants,192,cuba,cu,31,1980,-43166.0
total net number of migrants,192,cuba,cu,32,1981,-22159.0
total net number of migrants,192,cuba,cu,33,1982,-21055.0
total net number of migrants,192,cuba,cu,34,1983,-19994.0
total net number of migrants,192,cuba,cu,35,1984,-18994.0
total net number of migrants,192,cuba,cu,36,1985,-18048.0
total net number of migrants,192,cuba,cu,37,1986,-17146.0
total net number of migrants,192,cuba,cu,38,1987,-16290.0
total net number of migrants,192,cuba,cu,39,1988,-15474.0
total net number of migrants,192,cuba,cu,40,1989,-14705.0
total net number of migrants,192,cuba,cu,41,1990,-15438.0
total net number of migrants,192,cuba,cu,42,1991,-20665.0
total net number of migrants,192,cuba,cu,43,1992,-21867.0
total net number of migrants,192,cuba,cu,44,1993,-24358.0
total net number of migrants,192,cuba,cu,45,1994,-27272.0
total net number of migrants,192,cuba,cu,46,1995,-28713.0
total net number of migrants,192,cuba,cu,47,1996,-25052.0
total net number of migrants,192,cuba,cu,48,1997,-34305.0
total net number of migrants,192,cuba,cu,49,1998,-32396.0
total net number of migrants,192,cuba,cu,50,1999,-30770.0
total net number of migrants,192,cuba,cu,51,2000,-24942.0
total net number of migrants,192,cuba,cu,52,2001,-22329.0
total net number of migrants,192,cuba,cu,53,2002,-23874.0
total net number of migrants,192,cuba,cu,54,2003,-19525.0
total net number of migrants,192,cuba,cu,55,2004,-13532.0
total net number of migrants,192,cuba,cu,56,2005,-11973.0
total net number of migrants,192,cuba,cu,57,2006,-9462.0
total net number of migrants,192,cuba,cu,58,2007,-14434.0
total net number of migrants,192,cuba,cu,59,2008,-24636.0
total net number of migrants,192,cuba,cu,60,2009,-30328.0
total net number of migrants,192,cuba,cu,61,2010,-27718.0
total net number of migrants,192,cuba,cu,62,2011,-28752.0
total net number of migrants,192,cuba,cu,63,2012,-17531.0
total net number of migrants,192,cuba,cu,64,2013,-15301.0
total net number of migrants,192,cuba,cu,65,2014,-14543.0
total net number of migrants,192,cuba,cu,66,2015,-14372.0
total net number of migrants,192,cuba,cu,67,2016,-14454.0
total net number of migrants,192,cuba,cu,68,2017,-14498.0
total net number of migrants,192,cuba,cu,69,2018,-14219.0
total net number of migrants,192,cuba,cu,70,2019,-13686.0
total net number of migrants,192,cuba,cu,71,2020,-7068.0
total net number of migrants,192,cuba,cu,72,2021,-7068.0
total net number of migrants,192,cuba,cu,73,2022,-6000.0
total net number of migrants,192,cuba,cu,74,2023,-6000.0
