indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,196,cyprus,cy,1,1950,-682.0
total net number of migrants,196,cyprus,cy,2,1951,-328.0
total net number of migrants,196,cyprus,cy,3,1952,932.0
total net number of migrants,196,cyprus,cy,4,1953,1028.0
total net number of migrants,196,cyprus,cy,5,1954,828.0
total net number of migrants,196,cyprus,cy,6,1955,1170.0
total net number of migrants,196,cyprus,cy,7,1956,1468.0
total net number of migrants,196,cyprus,cy,8,1957,1707.0
total net number of migrants,196,cyprus,cy,9,1958,2106.0
total net number of migrants,196,cyprus,cy,10,1959,2633.0
total net number of migrants,196,cyprus,cy,11,1960,2674.0
total net number of migrants,196,cyprus,cy,12,1961,-3395.0
total net number of migrants,196,cyprus,cy,13,1962,-3290.0
total net number of migrants,196,cyprus,cy,14,1963,-3026.0
total net number of migrants,196,cyprus,cy,15,1964,-3598.0
total net number of migrants,196,cyprus,cy,16,1965,-4748.0
total net number of migrants,196,cyprus,cy,17,1966,-4471.0
total net number of migrants,196,cyprus,cy,18,1967,-4708.0
total net number of migrants,196,cyprus,cy,19,1968,-4975.0
total net number of migrants,196,cyprus,cy,20,1969,-5050.0
total net number of migrants,196,cyprus,cy,21,1970,-5021.0
total net number of migrants,196,cyprus,cy,22,1971,-5468.0
total net number of migrants,196,cyprus,cy,23,1972,-5896.0
total net number of migrants,196,cyprus,cy,24,1973,-2874.0
total net number of migrants,196,cyprus,cy,25,1974,-8222.0
total net number of migrants,196,cyprus,cy,26,1975,-4819.0
total net number of migrants,196,cyprus,cy,27,1976,1018.0
total net number of migrants,196,cyprus,cy,28,1977,2019.0
total net number of migrants,196,cyprus,cy,29,1978,1739.0
total net number of migrants,196,cyprus,cy,30,1979,1285.0
total net number of migrants,196,cyprus,cy,31,1980,301.0
total net number of migrants,196,cyprus,cy,32,1981,1353.0
total net number of migrants,196,cyprus,cy,33,1982,1768.0
total net number of migrants,196,cyprus,cy,34,1983,3604.0
total net number of migrants,196,cyprus,cy,35,1984,3380.0
total net number of migrants,196,cyprus,cy,36,1985,3567.0
total net number of migrants,196,cyprus,cy,37,1986,3342.0
total net number of migrants,196,cyprus,cy,38,1987,3374.0
total net number of migrants,196,cyprus,cy,39,1988,2723.0
total net number of migrants,196,cyprus,cy,40,1989,2987.0
total net number of migrants,196,cyprus,cy,41,1990,2551.0
total net number of migrants,196,cyprus,cy,42,1991,2565.0
total net number of migrants,196,cyprus,cy,43,1992,3587.0
total net number of migrants,196,cyprus,cy,44,1993,11094.0
total net number of migrants,196,cyprus,cy,45,1994,11017.0
total net number of migrants,196,cyprus,cy,46,1995,11179.0
total net number of migrants,196,cyprus,cy,47,1996,11197.0
total net number of migrants,196,cyprus,cy,48,1997,11382.0
total net number of migrants,196,cyprus,cy,49,1998,11566.0
total net number of migrants,196,cyprus,cy,50,1999,11839.0
total net number of migrants,196,cyprus,cy,51,2000,11577.0
total net number of migrants,196,cyprus,cy,52,2001,12052.0
total net number of migrants,196,cyprus,cy,53,2002,13449.0
total net number of migrants,196,cyprus,cy,54,2003,13326.0
total net number of migrants,196,cyprus,cy,55,2004,13126.0
total net number of migrants,196,cyprus,cy,56,2005,13237.0
total net number of migrants,196,cyprus,cy,57,2006,12664.0
total net number of migrants,196,cyprus,cy,58,2007,12912.0
total net number of migrants,196,cyprus,cy,59,2008,12489.0
total net number of migrants,196,cyprus,cy,60,2009,12173.0
total net number of migrants,196,cyprus,cy,61,2010,12456.0
total net number of migrants,196,cyprus,cy,62,2011,6134.0
total net number of migrants,196,cyprus,cy,63,2012,4789.0
total net number of migrants,196,cyprus,cy,64,2013,4426.0
total net number of migrants,196,cyprus,cy,65,2014,4467.0
total net number of migrants,196,cyprus,cy,66,2015,4655.0
total net number of migrants,196,cyprus,cy,67,2016,4878.0
total net number of migrants,196,cyprus,cy,68,2017,5014.0
total net number of migrants,196,cyprus,cy,69,2018,4977.0
total net number of migrants,196,cyprus,cy,70,2019,4948.0
total net number of migrants,196,cyprus,cy,71,2020,2999.0
total net number of migrants,196,cyprus,cy,72,2021,1995.0
total net number of migrants,196,cyprus,cy,73,2022,5000.0
total net number of migrants,196,cyprus,cy,74,2023,5000.0
