indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,203,czechia,cz,1,1950,-443.0
crude rate of net migration,203,czechia,cz,2,1951,-251.0
crude rate of net migration,203,czechia,cz,3,1952,-255.0
crude rate of net migration,203,czechia,cz,4,1953,-215.0
crude rate of net migration,203,czechia,cz,5,1954,-128.0
crude rate of net migration,203,czechia,cz,6,1955,-151.0
crude rate of net migration,203,czechia,cz,7,1956,-136.0
crude rate of net migration,203,czechia,cz,8,1957,-169.0
crude rate of net migration,203,czechia,cz,9,1958,-154.0
crude rate of net migration,203,czechia,cz,10,1959,-142.0
crude rate of net migration,203,czechia,cz,11,1960,159.0
crude rate of net migration,203,czechia,cz,12,1961,-752.0
crude rate of net migration,203,czechia,cz,13,1962,-756.0
crude rate of net migration,203,czechia,cz,14,1963,-659.0
crude rate of net migration,203,czechia,cz,15,1964,-664.0
crude rate of net migration,203,czechia,cz,16,1965,-823.0
crude rate of net migration,203,czechia,cz,17,1966,-916.0
crude rate of net migration,203,czechia,cz,18,1967,-883.0
crude rate of net migration,203,czechia,cz,19,1968,-892.0
crude rate of net migration,203,czechia,cz,20,1969,-859.0
crude rate of net migration,203,czechia,cz,21,1970,-1064.0
crude rate of net migration,203,czechia,cz,22,1971,-493.0
crude rate of net migration,203,czechia,cz,23,1972,-422.0
crude rate of net migration,203,czechia,cz,24,1973,-203.0
crude rate of net migration,203,czechia,cz,25,1974,-406.0
crude rate of net migration,203,czechia,cz,26,1975,-372.0
crude rate of net migration,203,czechia,cz,27,1976,-0.34
crude rate of net migration,203,czechia,cz,28,1977,-289.0
crude rate of net migration,203,czechia,cz,29,1978,-164.0
crude rate of net migration,203,czechia,cz,30,1979,-97.0
crude rate of net migration,203,czechia,cz,31,1980,-3.0
crude rate of net migration,203,czechia,cz,32,1981,-168.0
crude rate of net migration,203,czechia,cz,33,1982,-129.0
crude rate of net migration,203,czechia,cz,34,1983,-252.0
crude rate of net migration,203,czechia,cz,35,1984,-129.0
crude rate of net migration,203,czechia,cz,36,1985,-47.0
crude rate of net migration,203,czechia,cz,37,1986,-59.0
crude rate of net migration,203,czechia,cz,38,1987,-0.24
crude rate of net migration,203,czechia,cz,39,1988,-93.0
crude rate of net migration,203,czechia,cz,40,1989,-279.0
crude rate of net migration,203,czechia,cz,41,1990,-406.0
crude rate of net migration,203,czechia,cz,42,1991,344.0
crude rate of net migration,203,czechia,cz,43,1992,556.0
crude rate of net migration,203,czechia,cz,44,1993,644.0
crude rate of net migration,203,czechia,cz,45,1994,661.0
crude rate of net migration,203,czechia,cz,46,1995,627.0
crude rate of net migration,203,czechia,cz,47,1996,531.0
crude rate of net migration,203,czechia,cz,48,1997,552.0
crude rate of net migration,203,czechia,cz,49,1998,525.0
crude rate of net migration,203,czechia,cz,50,1999,525.0
crude rate of net migration,203,czechia,cz,51,2000,0.41
crude rate of net migration,203,czechia,cz,52,2001,2102.0
crude rate of net migration,203,czechia,cz,53,2002,2561.0
crude rate of net migration,203,czechia,cz,54,2003,18660.0
crude rate of net migration,203,czechia,cz,55,2004,2531.0
crude rate of net migration,203,czechia,cz,56,2005,2424.0
crude rate of net migration,203,czechia,cz,57,2006,2509.0
crude rate of net migration,203,czechia,cz,58,2007,23408.0
crude rate of net migration,203,czechia,cz,59,2008,2876.0
crude rate of net migration,203,czechia,cz,60,2009,44929.0
crude rate of net migration,203,czechia,cz,61,2010,3332.0
crude rate of net migration,203,czechia,cz,62,2011,1565.0
crude rate of net migration,203,czechia,cz,63,2012,981.0
crude rate of net migration,203,czechia,cz,64,2013,-148.0
crude rate of net migration,203,czechia,cz,65,2014,476.0
crude rate of net migration,203,czechia,cz,66,2015,503.0
crude rate of net migration,203,czechia,cz,67,2016,-28.0
crude rate of net migration,203,czechia,cz,68,2017,267.0
crude rate of net migration,203,czechia,cz,69,2018,303.0
crude rate of net migration,203,czechia,cz,70,2019,383.0
crude rate of net migration,203,czechia,cz,71,2020,344.0
crude rate of net migration,203,czechia,cz,72,2021,345.0
crude rate of net migration,203,czechia,cz,73,2022,44928.0
crude rate of net migration,203,czechia,cz,74,2023,44928.0
