indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,203,czechia,cz,1,1950,-3947.0
total net number of migrants,203,czechia,cz,2,1951,-2254.0
total net number of migrants,203,czechia,cz,3,1952,-2317.0
total net number of migrants,203,czechia,cz,4,1953,-1964.0
total net number of migrants,203,czechia,cz,5,1954,-1179.0
total net number of migrants,203,czechia,cz,6,1955,-1406.0
total net number of migrants,203,czechia,cz,7,1956,-1270.0
total net number of migrants,203,czechia,cz,8,1957,-1588.0
total net number of migrants,203,czechia,cz,9,1958,-1458.0
total net number of migrants,203,czechia,cz,10,1959,-1349.0
total net number of migrants,203,czechia,cz,11,1960,1514.0
total net number of migrants,203,czechia,cz,12,1961,-7202.0
total net number of migrants,203,czechia,cz,13,1962,-7261.0
total net number of migrants,203,czechia,cz,14,1963,-6350.0
total net number of migrants,203,czechia,cz,15,1964,-6418.0
total net number of migrants,203,czechia,cz,16,1965,-7987.0
total net number of migrants,203,czechia,cz,17,1966,-8919.0
total net number of migrants,203,czechia,cz,18,1967,-8620.0
total net number of migrants,203,czechia,cz,19,1968,-8719.0
total net number of migrants,203,czechia,cz,20,1969,-8413.0
total net number of migrants,203,czechia,cz,21,1970,-10433.0
total net number of migrants,203,czechia,cz,22,1971,-4843.0
total net number of migrants,203,czechia,cz,23,1972,-4158.0
total net number of migrants,203,czechia,cz,24,1973,-2013.0
total net number of migrants,203,czechia,cz,25,1974,-4044.0
total net number of migrants,203,czechia,cz,26,1975,-3733.0
total net number of migrants,203,czechia,cz,27,1976,-3430.0
total net number of migrants,203,czechia,cz,28,1977,-2928.0
total net number of migrants,203,czechia,cz,29,1978,-1675.0
total net number of migrants,203,czechia,cz,30,1979,-995.0
total net number of migrants,203,czechia,cz,31,1980,-33.0
total net number of migrants,203,czechia,cz,32,1981,-1731.0
total net number of migrants,203,czechia,cz,33,1982,-1329.0
total net number of migrants,203,czechia,cz,34,1983,-2598.0
total net number of migrants,203,czechia,cz,35,1984,-1331.0
total net number of migrants,203,czechia,cz,36,1985,-487.0
total net number of migrants,203,czechia,cz,37,1986,-608.0
total net number of migrants,203,czechia,cz,38,1987,-2471.0
total net number of migrants,203,czechia,cz,39,1988,-962.0
total net number of migrants,203,czechia,cz,40,1989,-2873.0
total net number of migrants,203,czechia,cz,41,1990,-4187.0
total net number of migrants,203,czechia,cz,42,1991,3543.0
total net number of migrants,203,czechia,cz,43,1992,5727.0
total net number of migrants,203,czechia,cz,44,1993,6639.0
total net number of migrants,203,czechia,cz,45,1994,6820.0
total net number of migrants,203,czechia,cz,46,1995,6465.0
total net number of migrants,203,czechia,cz,47,1996,5469.0
total net number of migrants,203,czechia,cz,48,1997,5670.0
total net number of migrants,203,czechia,cz,49,1998,5383.0
total net number of migrants,203,czechia,cz,50,1999,5382.0
total net number of migrants,203,czechia,cz,51,2000,4195.0
total net number of migrants,203,czechia,cz,52,2001,21486.0
total net number of migrants,203,czechia,cz,53,2002,26188.0
total net number of migrants,203,czechia,cz,54,2003,25694.0
total net number of migrants,203,czechia,cz,55,2004,25947.0
total net number of migrants,203,czechia,cz,56,2005,24895.0
total net number of migrants,203,czechia,cz,57,2006,25831.0
total net number of migrants,203,czechia,cz,58,2007,27262.0
total net number of migrants,203,czechia,cz,59,2008,29811.0
total net number of migrants,203,czechia,cz,60,2009,31317.0
total net number of migrants,203,czechia,cz,61,2010,34805.0
total net number of migrants,203,czechia,cz,62,2011,16409.0
total net number of migrants,203,czechia,cz,63,2012,10308.0
total net number of migrants,203,czechia,cz,64,2013,-1553.0
total net number of migrants,203,czechia,cz,65,2014,5009.0
total net number of migrants,203,czechia,cz,66,2015,5297.0
total net number of migrants,203,czechia,cz,67,2016,-300.0
total net number of migrants,203,czechia,cz,68,2017,2809.0
total net number of migrants,203,czechia,cz,69,2018,3193.0
total net number of migrants,203,czechia,cz,70,2019,4030.0
total net number of migrants,203,czechia,cz,71,2020,3621.0
total net number of migrants,203,czechia,cz,72,2021,3621.0
total net number of migrants,203,czechia,cz,73,2022,22011.0
total net number of migrants,203,czechia,cz,74,2023,22011.0
