indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,180,"dem, rep, of the congo",cd,1,1950,4103
total net number of migrants,180,"dem, rep, of the congo",cd,2,1951,5931
total net number of migrants,180,"dem, rep, of the congo",cd,3,1952,2683
total net number of migrants,180,"dem, rep, of the congo",cd,4,1953,-10700
total net number of migrants,180,"dem, rep, of the congo",cd,5,1954,-5667
total net number of migrants,180,"dem, rep, of the congo",cd,6,1955,-4875
total net number of migrants,180,"dem, rep, of the congo",cd,7,1956,-3769
total net number of migrants,180,"dem, rep, of the congo",cd,8,1957,-5004
total net number of migrants,180,"dem, rep, of the congo",cd,9,1958,-24974
total net number of migrants,180,"dem, rep, of the congo",cd,10,1959,6599
total net number of migrants,180,"dem, rep, of the congo",cd,11,1960,27672
total net number of migrants,180,"dem, rep, of the congo",cd,12,1961,35662
total net number of migrants,180,"dem, rep, of the congo",cd,13,1962,39432
total net number of migrants,180,"dem, rep, of the congo",cd,14,1963,41963
total net number of migrants,180,"dem, rep, of the congo",cd,15,1964,48194
total net number of migrants,180,"dem, rep, of the congo",cd,16,1965,61401
total net number of migrants,180,"dem, rep, of the congo",cd,17,1966,54443
total net number of migrants,180,"dem, rep, of the congo",cd,18,1967,64307
total net number of migrants,180,"dem, rep, of the congo",cd,19,1968,57270
total net number of migrants,180,"dem, rep, of the congo",cd,20,1969,46779
total net number of migrants,180,"dem, rep, of the congo",cd,21,1970,39119
total net number of migrants,180,"dem, rep, of the congo",cd,22,1971,-5489
total net number of migrants,180,"dem, rep, of the congo",cd,23,1972,2837
total net number of migrants,180,"dem, rep, of the congo",cd,24,1973,7421
total net number of migrants,180,"dem, rep, of the congo",cd,25,1974,3211
total net number of migrants,180,"dem, rep, of the congo",cd,26,1975,-981
total net number of migrants,180,"dem, rep, of the congo",cd,27,1976,-27041
total net number of migrants,180,"dem, rep, of the congo",cd,28,1977,-27626
total net number of migrants,180,"dem, rep, of the congo",cd,29,1978,267674
total net number of migrants,180,"dem, rep, of the congo",cd,30,1979,175944
total net number of migrants,180,"dem, rep, of the congo",cd,31,1980,27764
total net number of migrants,180,"dem, rep, of the congo",cd,32,1981,6978
total net number of migrants,180,"dem, rep, of the congo",cd,33,1982,5914
total net number of migrants,180,"dem, rep, of the congo",cd,34,1983,2092
total net number of migrants,180,"dem, rep, of the congo",cd,35,1984,117979
total net number of migrants,180,"dem, rep, of the congo",cd,36,1985,17496
total net number of migrants,180,"dem, rep, of the congo",cd,37,1986,49722
total net number of migrants,180,"dem, rep, of the congo",cd,38,1987,65532
total net number of migrants,180,"dem, rep, of the congo",cd,39,1988,79184
total net number of migrants,180,"dem, rep, of the congo",cd,40,1989,78215
total net number of migrants,180,"dem, rep, of the congo",cd,41,1990,183750
total net number of migrants,180,"dem, rep, of the congo",cd,42,1991,86722
total net number of migrants,180,"dem, rep, of the congo",cd,43,1992,-40938
total net number of migrants,180,"dem, rep, of the congo",cd,44,1993,240181
total net number of migrants,180,"dem, rep, of the congo",cd,45,1994,1232110
total net number of migrants,180,"dem, rep, of the congo",cd,46,1995,-273443
total net number of migrants,180,"dem, rep, of the congo",cd,47,1996,-777896
total net number of migrants,180,"dem, rep, of the congo",cd,48,1997,-528084
total net number of migrants,180,"dem, rep, of the congo",cd,49,1998,-27328
total net number of migrants,180,"dem, rep, of the congo",cd,50,1999,-40434
total net number of migrants,180,"dem, rep, of the congo",cd,51,2000,-48028
total net number of migrants,180,"dem, rep, of the congo",cd,52,2001,26524
total net number of migrants,180,"dem, rep, of the congo",cd,53,2002,-17355
total net number of migrants,180,"dem, rep, of the congo",cd,54,2003,-106740
total net number of migrants,180,"dem, rep, of the congo",cd,55,2004,4255
total net number of migrants,180,"dem, rep, of the congo",cd,56,2005,20379
total net number of migrants,180,"dem, rep, of the congo",cd,57,2006,40036
total net number of migrants,180,"dem, rep, of the congo",cd,58,2007,9939
total net number of migrants,180,"dem, rep, of the congo",cd,59,2008,-11707
total net number of migrants,180,"dem, rep, of the congo",cd,60,2009,-46015
total net number of migrants,180,"dem, rep, of the congo",cd,61,2010,8823
total net number of migrants,180,"dem, rep, of the congo",cd,62,2011,40890
total net number of migrants,180,"dem, rep, of the congo",cd,63,2012,-25257
total net number of migrants,180,"dem, rep, of the congo",cd,64,2013,121103
total net number of migrants,180,"dem, rep, of the congo",cd,65,2014,36966
total net number of migrants,180,"dem, rep, of the congo",cd,66,2015,47831
total net number of migrants,180,"dem, rep, of the congo",cd,67,2016,173022
total net number of migrants,180,"dem, rep, of the congo",cd,68,2017,4350
total net number of migrants,180,"dem, rep, of the congo",cd,69,2018,-124242
total net number of migrants,180,"dem, rep, of the congo",cd,70,2019,-144916
total net number of migrants,180,"dem, rep, of the congo",cd,71,2020,-1643
total net number of migrants,180,"dem, rep, of the congo",cd,72,2021,-64643
total net number of migrants,180,"dem, rep, of the congo",cd,73,2022,-14999
total net number of migrants,180,"dem, rep, of the congo",cd,74,2023,-14999
