indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,208,denmark,dk,1,1950,-7853.0
total net number of migrants,208,denmark,dk,2,1951,-6979.0
total net number of migrants,208,denmark,dk,3,1952,-6209.0
total net number of migrants,208,denmark,dk,4,1953,-5497.0
total net number of migrants,208,denmark,dk,5,1954,-4577.0
total net number of migrants,208,denmark,dk,6,1955,-3898.0
total net number of migrants,208,denmark,dk,7,1956,-3254.0
total net number of migrants,208,denmark,dk,8,1957,-2578.0
total net number of migrants,208,denmark,dk,9,1958,-1872.0
total net number of migrants,208,denmark,dk,10,1959,-1366.0
total net number of migrants,208,denmark,dk,11,1960,-726.0
total net number of migrants,208,denmark,dk,12,1961,-400.0
total net number of migrants,208,denmark,dk,13,1962,152.0
total net number of migrants,208,denmark,dk,14,1963,545.0
total net number of migrants,208,denmark,dk,15,1964,1060.0
total net number of migrants,208,denmark,dk,16,1965,1584.0
total net number of migrants,208,denmark,dk,17,1966,2089.0
total net number of migrants,208,denmark,dk,18,1967,2561.0
total net number of migrants,208,denmark,dk,19,1968,2961.0
total net number of migrants,208,denmark,dk,20,1969,3337.0
total net number of migrants,208,denmark,dk,21,1970,3763.0
total net number of migrants,208,denmark,dk,22,1971,4087.0
total net number of migrants,208,denmark,dk,23,1972,4349.0
total net number of migrants,208,denmark,dk,24,1973,4568.0
total net number of migrants,208,denmark,dk,25,1974,4635.0
total net number of migrants,208,denmark,dk,26,1975,4643.0
total net number of migrants,208,denmark,dk,27,1976,4527.0
total net number of migrants,208,denmark,dk,28,1977,4254.0
total net number of migrants,208,denmark,dk,29,1978,3905.0
total net number of migrants,208,denmark,dk,30,1979,3449.0
total net number of migrants,208,denmark,dk,31,1980,2904.0
total net number of migrants,208,denmark,dk,32,1981,2575.0
total net number of migrants,208,denmark,dk,33,1982,2456.0
total net number of migrants,208,denmark,dk,34,1983,2606.0
total net number of migrants,208,denmark,dk,35,1984,2926.0
total net number of migrants,208,denmark,dk,36,1985,3498.0
total net number of migrants,208,denmark,dk,37,1986,4227.0
total net number of migrants,208,denmark,dk,38,1987,5265.0
total net number of migrants,208,denmark,dk,39,1988,6443.0
total net number of migrants,208,denmark,dk,40,1989,7849.0
total net number of migrants,208,denmark,dk,41,1990,9449.0
total net number of migrants,208,denmark,dk,42,1991,10812.0
total net number of migrants,208,denmark,dk,43,1992,11990.0
total net number of migrants,208,denmark,dk,44,1993,13011.0
total net number of migrants,208,denmark,dk,45,1994,13723.0
total net number of migrants,208,denmark,dk,46,1995,14157.0
total net number of migrants,208,denmark,dk,47,1996,14394.0
total net number of migrants,208,denmark,dk,48,1997,14313.0
total net number of migrants,208,denmark,dk,49,1998,13972.0
total net number of migrants,208,denmark,dk,50,1999,13391.0
total net number of migrants,208,denmark,dk,51,2000,12536.0
total net number of migrants,208,denmark,dk,52,2001,11934.0
total net number of migrants,208,denmark,dk,53,2002,11518.0
total net number of migrants,208,denmark,dk,54,2003,11337.0
total net number of migrants,208,denmark,dk,55,2004,11366.0
total net number of migrants,208,denmark,dk,56,2005,11693.0
total net number of migrants,208,denmark,dk,57,2006,12217.0
total net number of migrants,208,denmark,dk,58,2007,13067.0
total net number of migrants,208,denmark,dk,59,2008,14111.0
total net number of migrants,208,denmark,dk,60,2009,15469.0
total net number of migrants,208,denmark,dk,61,2010,17037.0
total net number of migrants,208,denmark,dk,62,2011,18519.0
total net number of migrants,208,denmark,dk,63,2012,19732.0
total net number of migrants,208,denmark,dk,64,2013,20779.0
total net number of migrants,208,denmark,dk,65,2014,21670.0
total net number of migrants,208,denmark,dk,66,2015,22368.0
total net number of migrants,208,denmark,dk,67,2016,22859.0
total net number of migrants,208,denmark,dk,68,2017,23188.0
total net number of migrants,208,denmark,dk,69,2018,23337.0
total net number of migrants,208,denmark,dk,70,2019,23305.0
total net number of migrants,208,denmark,dk,71,2020,23076.0
total net number of migrants,208,denmark,dk,72,2021,22746.0
total net number of migrants,208,denmark,dk,73,2022,19999.0
total net number of migrants,208,denmark,dk,74,2023,19999.0
