indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,901,developed regions,rd,1,1950,-409.0
crude rate of net migration,901,developed regions,rd,2,1951,-0.36
crude rate of net migration,901,developed regions,rd,3,1952,-178.0
crude rate of net migration,901,developed regions,rd,4,1953,362.0
crude rate of net migration,901,developed regions,rd,5,1954,0.29
crude rate of net migration,901,developed regions,rd,6,1955,0.33
crude rate of net migration,901,developed regions,rd,7,1956,158.0
crude rate of net migration,901,developed regions,rd,8,1957,263.0
crude rate of net migration,901,developed regions,rd,9,1958,995.0
crude rate of net migration,901,developed regions,rd,10,1959,112.0
crude rate of net migration,901,developed regions,rd,11,1960,354.0
crude rate of net migration,901,developed regions,rd,12,1961,618.0
crude rate of net migration,901,developed regions,rd,13,1962,637.0
crude rate of net migration,901,developed regions,rd,14,1963,746.0
crude rate of net migration,901,developed regions,rd,15,1964,717.0
crude rate of net migration,901,developed regions,rd,16,1965,762.0
crude rate of net migration,901,developed regions,rd,17,1966,773.0
crude rate of net migration,901,developed regions,rd,18,1967,647.0
crude rate of net migration,901,developed regions,rd,19,1968,661.0
crude rate of net migration,901,developed regions,rd,20,1969,961.0
crude rate of net migration,901,developed regions,rd,21,1970,1211.0
crude rate of net migration,901,developed regions,rd,22,1971,1811.0
crude rate of net migration,901,developed regions,rd,23,1972,1655.0
crude rate of net migration,901,developed regions,rd,24,1973,1496.0
crude rate of net migration,901,developed regions,rd,25,1974,1507.0
crude rate of net migration,901,developed regions,rd,26,1975,1335.0
crude rate of net migration,901,developed regions,rd,27,1976,1255.0
crude rate of net migration,901,developed regions,rd,28,1977,1348.0
crude rate of net migration,901,developed regions,rd,29,1978,1334.0
crude rate of net migration,901,developed regions,rd,30,1979,1311.0
crude rate of net migration,901,developed regions,rd,31,1980,1605.0
crude rate of net migration,901,developed regions,rd,32,1981,942.0
crude rate of net migration,901,developed regions,rd,33,1982,838.0
crude rate of net migration,901,developed regions,rd,34,1983,1068.0
crude rate of net migration,901,developed regions,rd,35,1984,1015.0
crude rate of net migration,901,developed regions,rd,36,1985,1138.0
crude rate of net migration,901,developed regions,rd,37,1986,1234.0
crude rate of net migration,901,developed regions,rd,38,1987,1308.0
crude rate of net migration,901,developed regions,rd,39,1988,1434.0
crude rate of net migration,901,developed regions,rd,40,1989,1569.0
crude rate of net migration,901,developed regions,rd,41,1990,2219.0
crude rate of net migration,901,developed regions,rd,42,1991,2286.0
crude rate of net migration,901,developed regions,rd,43,1992,2474.0
crude rate of net migration,901,developed regions,rd,44,1993,2736.0
crude rate of net migration,901,developed regions,rd,45,1994,2524.0
crude rate of net migration,901,developed regions,rd,46,1995,2586.0
crude rate of net migration,901,developed regions,rd,47,1996,2576.0
crude rate of net migration,901,developed regions,rd,48,1997,2538.0
crude rate of net migration,901,developed regions,rd,49,1998,2154.0
crude rate of net migration,901,developed regions,rd,50,1999,2312.0
crude rate of net migration,901,developed regions,rd,51,2000,2559.0
crude rate of net migration,901,developed regions,rd,52,2001,2176.0
crude rate of net migration,901,developed regions,rd,53,2002,2693.0
crude rate of net migration,901,developed regions,rd,54,2003,2757.0
crude rate of net migration,901,developed regions,rd,55,2004,2814.0
crude rate of net migration,901,developed regions,rd,56,2005,2676.0
crude rate of net migration,901,developed regions,rd,57,2006,2769.0
crude rate of net migration,901,developed regions,rd,58,2007,3254.0
crude rate of net migration,901,developed regions,rd,59,2008,34366.0
crude rate of net migration,901,developed regions,rd,60,2009,2492.0
crude rate of net migration,901,developed regions,rd,61,2010,2214.0
crude rate of net migration,901,developed regions,rd,62,2011,2489.0
crude rate of net migration,901,developed regions,rd,63,2012,2494.0
crude rate of net migration,901,developed regions,rd,64,2013,2305.0
crude rate of net migration,901,developed regions,rd,65,2014,2213.0
crude rate of net migration,901,developed regions,rd,66,2015,2522.0
crude rate of net migration,901,developed regions,rd,67,2016,2827.0
crude rate of net migration,901,developed regions,rd,68,2017,2869.0
crude rate of net migration,901,developed regions,rd,69,2018,45171.0
crude rate of net migration,901,developed regions,rd,70,2019,2988.0
crude rate of net migration,901,developed regions,rd,71,2020,2001.0
crude rate of net migration,901,developed regions,rd,72,2021,1897.0
crude rate of net migration,901,developed regions,rd,73,2022,1796.0
crude rate of net migration,901,developed regions,rd,74,2023,45139.0
