indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,901,developed regions,rd,1,1950,-330051.0
total net number of migrants,901,developed regions,rd,2,1951,-293315.0
total net number of migrants,901,developed regions,rd,3,1952,-146975.0
total net number of migrants,901,developed regions,rd,4,1953,302392.0
total net number of migrants,901,developed regions,rd,5,1954,244659.0
total net number of migrants,901,developed regions,rd,6,1955,282047.0
total net number of migrants,901,developed regions,rd,7,1956,137051.0
total net number of migrants,901,developed regions,rd,8,1957,229931.0
total net number of migrants,901,developed regions,rd,9,1958,881098.0
total net number of migrants,901,developed regions,rd,10,1959,100411.0
total net number of migrants,901,developed regions,rd,11,1960,320630.0
total net number of migrants,901,developed regions,rd,12,1961,566874.0
total net number of migrants,901,developed regions,rd,13,1962,590581.0
total net number of migrants,901,developed regions,rd,14,1963,699042.0
total net number of migrants,901,developed regions,rd,15,1964,679212.0
total net number of migrants,901,developed regions,rd,16,1965,729253.0
total net number of migrants,901,developed regions,rd,17,1966,745701.0
total net number of migrants,901,developed regions,rd,18,1967,630354.0
total net number of migrants,901,developed regions,rd,19,1968,649828.0
total net number of migrants,901,developed regions,rd,20,1969,952113.0
total net number of migrants,901,developed regions,rd,21,1970,1208986.0
total net number of migrants,901,developed regions,rd,22,1971,1824066.0
total net number of migrants,901,developed regions,rd,23,1972,1680670.0
total net number of migrants,901,developed regions,rd,24,1973,1531695.0
total net number of migrants,901,developed regions,rd,25,1974,1555064.0
total net number of migrants,901,developed regions,rd,26,1975,1388280.0
total net number of migrants,901,developed regions,rd,27,1976,1314032.0
total net number of migrants,901,developed regions,rd,28,1977,1421627.0
total net number of migrants,901,developed regions,rd,29,1978,1416142.0
total net number of migrants,901,developed regions,rd,30,1979,1401177.0
total net number of migrants,901,developed regions,rd,31,1980,1726239.0
total net number of migrants,901,developed regions,rd,32,1981,1019730.0
total net number of migrants,901,developed regions,rd,33,1982,913355.0
total net number of migrants,901,developed regions,rd,34,1983,1170251.0
total net number of migrants,901,developed regions,rd,35,1984,1118937.0
total net number of migrants,901,developed regions,rd,36,1985,1260979.0
total net number of migrants,901,developed regions,rd,37,1986,1375620.0
total net number of migrants,901,developed regions,rd,38,1987,1466626.0
total net number of migrants,901,developed regions,rd,39,1988,1616587.0
total net number of migrants,901,developed regions,rd,40,1989,1779133.0
total net number of migrants,901,developed regions,rd,41,1990,2529808.0
total net number of migrants,901,developed regions,rd,42,1991,2621396.0
total net number of migrants,901,developed regions,rd,43,1992,2852491.0
total net number of migrants,901,developed regions,rd,44,1993,3168699.0
total net number of migrants,901,developed regions,rd,45,1994,2936744.0
total net number of migrants,901,developed regions,rd,46,1995,3020601.0
total net number of migrants,901,developed regions,rd,47,1996,3019303.0
total net number of migrants,901,developed regions,rd,48,1997,2986073.0
total net number of migrants,901,developed regions,rd,49,1998,2544053.0
total net number of migrants,901,developed regions,rd,50,1999,2739138.0
total net number of migrants,901,developed regions,rd,51,2000,3040843.0
total net number of migrants,901,developed regions,rd,52,2001,2594816.0
total net number of migrants,901,developed regions,rd,53,2002,3220387.0
total net number of migrants,901,developed regions,rd,54,2003,3308184.0
total net number of migrants,901,developed regions,rd,55,2004,3388812.0
total net number of migrants,901,developed regions,rd,56,2005,3234956.0
total net number of migrants,901,developed regions,rd,57,2006,3359828.0
total net number of migrants,901,developed regions,rd,58,2007,3965030.0
total net number of migrants,901,developed regions,rd,59,2008,3599259.0
total net number of migrants,901,developed regions,rd,60,2009,3063954.0
total net number of migrants,901,developed regions,rd,61,2010,2733750.0
total net number of migrants,901,developed regions,rd,62,2011,3084053.0
total net number of migrants,901,developed regions,rd,63,2012,3102586.0
total net number of migrants,901,developed regions,rd,64,2013,2877641.0
total net number of migrants,901,developed regions,rd,65,2014,2771976.0
total net number of migrants,901,developed regions,rd,66,2015,3168906.0
total net number of migrants,901,developed regions,rd,67,2016,3564701.0
total net number of migrants,901,developed regions,rd,68,2017,3629158.0
total net number of migrants,901,developed regions,rd,69,2018,3679582.0
total net number of migrants,901,developed regions,rd,70,2019,3801083.0
total net number of migrants,901,developed regions,rd,71,2020,2551098.0
total net number of migrants,901,developed regions,rd,72,2021,2418432.0
total net number of migrants,901,developed regions,rd,73,2022,2288586.0
total net number of migrants,901,developed regions,rd,74,2023,2294506.0
