indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,262,djibouti,dj,1,1950,533.0
total net number of migrants,262,djibouti,dj,2,1951,497.0
total net number of migrants,262,djibouti,dj,3,1952,493.0
total net number of migrants,262,djibouti,dj,4,1953,503.0
total net number of migrants,262,djibouti,dj,5,1954,501.0
total net number of migrants,262,djibouti,dj,6,1955,487.0
total net number of migrants,262,djibouti,dj,7,1956,516.0
total net number of migrants,262,djibouti,dj,8,1957,522.0
total net number of migrants,262,djibouti,dj,9,1958,493.0
total net number of migrants,262,djibouti,dj,10,1959,502.0
total net number of migrants,262,djibouti,dj,11,1960,886.0
total net number of migrants,262,djibouti,dj,12,1961,1136.0
total net number of migrants,262,djibouti,dj,13,1962,1695.0
total net number of migrants,262,djibouti,dj,14,1963,2257.0
total net number of migrants,262,djibouti,dj,15,1964,2846.0
total net number of migrants,262,djibouti,dj,16,1965,3023.0
total net number of migrants,262,djibouti,dj,17,1966,3014.0
total net number of migrants,262,djibouti,dj,18,1967,3001.0
total net number of migrants,262,djibouti,dj,19,1968,3001.0
total net number of migrants,262,djibouti,dj,20,1969,4995.0
total net number of migrants,262,djibouti,dj,21,1970,5004.0
total net number of migrants,262,djibouti,dj,22,1971,6184.0
total net number of migrants,262,djibouti,dj,23,1972,6690.0
total net number of migrants,262,djibouti,dj,24,1973,7583.0
total net number of migrants,262,djibouti,dj,25,1974,9910.0
total net number of migrants,262,djibouti,dj,26,1975,13029.0
total net number of migrants,262,djibouti,dj,27,1976,16028.0
total net number of migrants,262,djibouti,dj,28,1977,17961.0
total net number of migrants,262,djibouti,dj,29,1978,17788.0
total net number of migrants,262,djibouti,dj,30,1979,14726.0
total net number of migrants,262,djibouti,dj,31,1980,10121.0
total net number of migrants,262,djibouti,dj,32,1981,5502.0
total net number of migrants,262,djibouti,dj,33,1982,2450.0
total net number of migrants,262,djibouti,dj,34,1983,2441.0
total net number of migrants,262,djibouti,dj,35,1984,5452.0
total net number of migrants,262,djibouti,dj,36,1985,9997.0
total net number of migrants,262,djibouti,dj,37,1986,14543.0
total net number of migrants,262,djibouti,dj,38,1987,17545.0
total net number of migrants,262,djibouti,dj,39,1988,17242.0
total net number of migrants,262,djibouti,dj,40,1989,33465.0
total net number of migrants,262,djibouti,dj,41,1990,49970.0
total net number of migrants,262,djibouti,dj,42,1991,21510.0
total net number of migrants,262,djibouti,dj,43,1992,-65203.0
total net number of migrants,262,djibouti,dj,44,1993,8896.0
total net number of migrants,262,djibouti,dj,45,1994,-15756.0
total net number of migrants,262,djibouti,dj,46,1995,-3163.0
total net number of migrants,262,djibouti,dj,47,1996,2650.0
total net number of migrants,262,djibouti,dj,48,1997,13623.0
total net number of migrants,262,djibouti,dj,49,1998,10355.0
total net number of migrants,262,djibouti,dj,50,1999,7046.0
total net number of migrants,262,djibouti,dj,51,2000,5627.0
total net number of migrants,262,djibouti,dj,52,2001,7631.0
total net number of migrants,262,djibouti,dj,53,2002,5022.0
total net number of migrants,262,djibouti,dj,54,2003,-5634.0
total net number of migrants,262,djibouti,dj,55,2004,-5247.0
total net number of migrants,262,djibouti,dj,56,2005,-3779.0
total net number of migrants,262,djibouti,dj,57,2006,2723.0
total net number of migrants,262,djibouti,dj,58,2007,1253.0
total net number of migrants,262,djibouti,dj,59,2008,2148.0
total net number of migrants,262,djibouti,dj,60,2009,2770.0
total net number of migrants,262,djibouti,dj,61,2010,2129.0
total net number of migrants,262,djibouti,dj,62,2011,2090.0
total net number of migrants,262,djibouti,dj,63,2012,2104.0
total net number of migrants,262,djibouti,dj,64,2013,2033.0
total net number of migrants,262,djibouti,dj,65,2014,1900.0
total net number of migrants,262,djibouti,dj,66,2015,1723.0
total net number of migrants,262,djibouti,dj,67,2016,1623.0
total net number of migrants,262,djibouti,dj,68,2017,1535.0
total net number of migrants,262,djibouti,dj,69,2018,1435.0
total net number of migrants,262,djibouti,dj,70,2019,1322.0
total net number of migrants,262,djibouti,dj,71,2020,744.0
total net number of migrants,262,djibouti,dj,72,2021,742.0
total net number of migrants,262,djibouti,dj,73,2022,900.0
total net number of migrants,262,djibouti,dj,74,2023,900.0
