indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,212,dominica,dm,1,1950,-9.4
crude rate of net migration,212,dominica,dm,2,1951,-9525.0
crude rate of net migration,212,dominica,dm,3,1952,-9587.0
crude rate of net migration,212,dominica,dm,4,1953,-9575.0
crude rate of net migration,212,dominica,dm,5,1954,-9461.0
crude rate of net migration,212,dominica,dm,6,1955,-751.0
crude rate of net migration,212,dominica,dm,7,1956,3292.0
crude rate of net migration,212,dominica,dm,8,1957,5763.0
crude rate of net migration,212,dominica,dm,9,1958,8855.0
crude rate of net migration,212,dominica,dm,10,1959,9762.0
crude rate of net migration,212,dominica,dm,11,1960,-11.7
crude rate of net migration,212,dominica,dm,12,1961,-8556.0
crude rate of net migration,212,dominica,dm,13,1962,-9.04
crude rate of net migration,212,dominica,dm,14,1963,-8201.0
crude rate of net migration,212,dominica,dm,15,1964,-8147.0
crude rate of net migration,212,dominica,dm,16,1965,-5769.0
crude rate of net migration,212,dominica,dm,17,1966,-10397.0
crude rate of net migration,212,dominica,dm,18,1967,-5.94
crude rate of net migration,212,dominica,dm,19,1968,-3321.0
crude rate of net migration,212,dominica,dm,20,1969,-5668.0
crude rate of net migration,212,dominica,dm,21,1970,-12098.0
crude rate of net migration,212,dominica,dm,22,1971,-13458.0
crude rate of net migration,212,dominica,dm,23,1972,-13258.0
crude rate of net migration,212,dominica,dm,24,1973,-11685.0
crude rate of net migration,212,dominica,dm,25,1974,-10839.0
crude rate of net migration,212,dominica,dm,26,1975,-10032.0
crude rate of net migration,212,dominica,dm,27,1976,-9432.0
crude rate of net migration,212,dominica,dm,28,1977,-9449.0
crude rate of net migration,212,dominica,dm,29,1978,-10238.0
crude rate of net migration,212,dominica,dm,30,1979,-10996.0
crude rate of net migration,212,dominica,dm,31,1980,-12571.0
crude rate of net migration,212,dominica,dm,32,1981,-18762.0
crude rate of net migration,212,dominica,dm,33,1982,-20984.0
crude rate of net migration,212,dominica,dm,34,1983,-22645.0
crude rate of net migration,212,dominica,dm,35,1984,-20262.0
crude rate of net migration,212,dominica,dm,36,1985,-20.74
crude rate of net migration,212,dominica,dm,37,1986,-21668.0
crude rate of net migration,212,dominica,dm,38,1987,-20582.0
crude rate of net migration,212,dominica,dm,39,1988,-22353.0
crude rate of net migration,212,dominica,dm,40,1989,-20889.0
crude rate of net migration,212,dominica,dm,41,1990,-22094.0
crude rate of net migration,212,dominica,dm,42,1991,-16.21
crude rate of net migration,212,dominica,dm,43,1992,-15046.0
crude rate of net migration,212,dominica,dm,44,1993,-14543.0
crude rate of net migration,212,dominica,dm,45,1994,-13.29
crude rate of net migration,212,dominica,dm,46,1995,-12225.0
crude rate of net migration,212,dominica,dm,47,1996,-11278.0
crude rate of net migration,212,dominica,dm,48,1997,-10992.0
crude rate of net migration,212,dominica,dm,49,1998,-11.23
crude rate of net migration,212,dominica,dm,50,1999,-13.66
crude rate of net migration,212,dominica,dm,51,2000,-14439.0
crude rate of net migration,212,dominica,dm,52,2001,-8.8
crude rate of net migration,212,dominica,dm,53,2002,-4065.0
crude rate of net migration,212,dominica,dm,54,2003,-3779.0
crude rate of net migration,212,dominica,dm,55,2004,-4425.0
crude rate of net migration,212,dominica,dm,56,2005,-4563.0
crude rate of net migration,212,dominica,dm,57,2006,-5657.0
crude rate of net migration,212,dominica,dm,58,2007,-4816.0
crude rate of net migration,212,dominica,dm,59,2008,-5032.0
crude rate of net migration,212,dominica,dm,60,2009,-3.31
crude rate of net migration,212,dominica,dm,61,2010,-3529.0
crude rate of net migration,212,dominica,dm,62,2011,0.0
crude rate of net migration,212,dominica,dm,63,2012,2296.0
crude rate of net migration,212,dominica,dm,64,2013,-6446.0
crude rate of net migration,212,dominica,dm,65,2014,21052.0
crude rate of net migration,212,dominica,dm,66,2015,-5597.0
crude rate of net migration,212,dominica,dm,67,2016,2558.0
crude rate of net migration,212,dominica,dm,68,2017,24139.0
crude rate of net migration,212,dominica,dm,69,2018,2743.0
crude rate of net migration,212,dominica,dm,70,2019,4574.0
crude rate of net migration,212,dominica,dm,71,2020,14246.0
crude rate of net migration,212,dominica,dm,72,2021,787.0
crude rate of net migration,212,dominica,dm,73,2022,-0.55
crude rate of net migration,212,dominica,dm,74,2023,-548.0
