indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,212,dominica,dm,1,1950,-474.0
total net number of migrants,212,dominica,dm,2,1951,-482.0
total net number of migrants,212,dominica,dm,3,1952,-487.0
total net number of migrants,212,dominica,dm,4,1953,-489.0
total net number of migrants,212,dominica,dm,5,1954,-487.0
total net number of migrants,212,dominica,dm,6,1955,-39.0
total net number of migrants,212,dominica,dm,7,1956,174.0
total net number of migrants,212,dominica,dm,8,1957,312.0
total net number of migrants,212,dominica,dm,9,1958,493.0
total net number of migrants,212,dominica,dm,10,1959,561.0
total net number of migrants,212,dominica,dm,11,1960,-699.0
total net number of migrants,212,dominica,dm,12,1961,-518.0
total net number of migrants,212,dominica,dm,13,1962,-555.0
total net number of migrants,212,dominica,dm,14,1963,-510.0
total net number of migrants,212,dominica,dm,15,1964,-513.0
total net number of migrants,212,dominica,dm,16,1965,-368.0
total net number of migrants,212,dominica,dm,17,1966,-676.0
total net number of migrants,212,dominica,dm,18,1967,-391.0
total net number of migrants,212,dominica,dm,19,1968,-222.0
total net number of migrants,212,dominica,dm,20,1969,-386.0
total net number of migrants,212,dominica,dm,21,1970,-837.0
total net number of migrants,212,dominica,dm,22,1971,-940.0
total net number of migrants,212,dominica,dm,23,1972,-932.0
total net number of migrants,212,dominica,dm,24,1973,-826.0
total net number of migrants,212,dominica,dm,25,1974,-771.0
total net number of migrants,212,dominica,dm,26,1975,-718.0
total net number of migrants,212,dominica,dm,27,1976,-679.0
total net number of migrants,212,dominica,dm,28,1977,-684.0
total net number of migrants,212,dominica,dm,29,1978,-745.0
total net number of migrants,212,dominica,dm,30,1979,-804.0
total net number of migrants,212,dominica,dm,31,1980,-923.0
total net number of migrants,212,dominica,dm,32,1981,-1382.0
total net number of migrants,212,dominica,dm,33,1982,-1541.0
total net number of migrants,212,dominica,dm,34,1983,-1657.0
total net number of migrants,212,dominica,dm,35,1984,-1473.0
total net number of migrants,212,dominica,dm,36,1985,-1501.0
total net number of migrants,212,dominica,dm,37,1986,-1561.0
total net number of migrants,212,dominica,dm,38,1987,-1473.0
total net number of migrants,212,dominica,dm,39,1988,-1593.0
total net number of migrants,212,dominica,dm,40,1989,-1478.0
total net number of migrants,212,dominica,dm,41,1990,-1553.0
total net number of migrants,212,dominica,dm,42,1991,-1131.0
total net number of migrants,212,dominica,dm,43,1992,-1049.0
total net number of migrants,212,dominica,dm,44,1993,-1014.0
total net number of migrants,212,dominica,dm,45,1994,-926.0
total net number of migrants,212,dominica,dm,46,1995,-851.0
total net number of migrants,212,dominica,dm,47,1996,-784.0
total net number of migrants,212,dominica,dm,48,1997,-763.0
total net number of migrants,212,dominica,dm,49,1998,-778.0
total net number of migrants,212,dominica,dm,50,1999,-945.0
total net number of migrants,212,dominica,dm,51,2000,-994.0
total net number of migrants,212,dominica,dm,52,2001,-603.0
total net number of migrants,212,dominica,dm,53,2002,-278.0
total net number of migrants,212,dominica,dm,54,2003,-259.0
total net number of migrants,212,dominica,dm,55,2004,-304.0
total net number of migrants,212,dominica,dm,56,2005,-314.0
total net number of migrants,212,dominica,dm,57,2006,-390.0
total net number of migrants,212,dominica,dm,58,2007,-332.0
total net number of migrants,212,dominica,dm,59,2008,-347.0
total net number of migrants,212,dominica,dm,60,2009,-228.0
total net number of migrants,212,dominica,dm,61,2010,-243.0
total net number of migrants,212,dominica,dm,62,2011,0.0
total net number of migrants,212,dominica,dm,63,2012,158.0
total net number of migrants,212,dominica,dm,64,2013,-445.0
total net number of migrants,212,dominica,dm,65,2014,1445.0
total net number of migrants,212,dominica,dm,66,2015,-393.0
total net number of migrants,212,dominica,dm,67,2016,179.0
total net number of migrants,212,dominica,dm,68,2017,187.0
total net number of migrants,212,dominica,dm,69,2018,194.0
total net number of migrants,212,dominica,dm,70,2019,326.0
total net number of migrants,212,dominica,dm,71,2020,100.0
total net number of migrants,212,dominica,dm,72,2021,57.0
total net number of migrants,212,dominica,dm,73,2022,-40.0
total net number of migrants,212,dominica,dm,74,2023,-40.0
