indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,923,eastern europe,eo,1,1950,-70624.0
total net number of migrants,923,eastern europe,eo,2,1951,-80566.0
total net number of migrants,923,eastern europe,eo,3,1952,-105519.0
total net number of migrants,923,eastern europe,eo,4,1953,-139325.0
total net number of migrants,923,eastern europe,eo,5,1954,-122803.0
total net number of migrants,923,eastern europe,eo,6,1955,-154705.0
total net number of migrants,923,eastern europe,eo,7,1956,-297454.0
total net number of migrants,923,eastern europe,eo,8,1957,-197867.0
total net number of migrants,923,eastern europe,eo,9,1958,-215416.0
total net number of migrants,923,eastern europe,eo,10,1959,-268794.0
total net number of migrants,923,eastern europe,eo,11,1960,-155053.0
total net number of migrants,923,eastern europe,eo,12,1961,-105591.0
total net number of migrants,923,eastern europe,eo,13,1962,-184538.0
total net number of migrants,923,eastern europe,eo,14,1963,-172896.0
total net number of migrants,923,eastern europe,eo,15,1964,-129952.0
total net number of migrants,923,eastern europe,eo,16,1965,-145261.0
total net number of migrants,923,eastern europe,eo,17,1966,-51828.0
total net number of migrants,923,eastern europe,eo,18,1967,-193126.0
total net number of migrants,923,eastern europe,eo,19,1968,-226920.0
total net number of migrants,923,eastern europe,eo,20,1969,-90907.0
total net number of migrants,923,eastern europe,eo,21,1970,-353755.0
total net number of migrants,923,eastern europe,eo,22,1971,714.0
total net number of migrants,923,eastern europe,eo,23,1972,17030.0
total net number of migrants,923,eastern europe,eo,24,1973,-23056.0
total net number of migrants,923,eastern europe,eo,25,1974,40841.0
total net number of migrants,923,eastern europe,eo,26,1975,121127.0
total net number of migrants,923,eastern europe,eo,27,1976,145295.0
total net number of migrants,923,eastern europe,eo,28,1977,38187.0
total net number of migrants,923,eastern europe,eo,29,1978,-20934.0
total net number of migrants,923,eastern europe,eo,30,1979,-18692.0
total net number of migrants,923,eastern europe,eo,31,1980,-31347.0
total net number of migrants,923,eastern europe,eo,32,1981,-63800.0
total net number of migrants,923,eastern europe,eo,33,1982,-46482.0
total net number of migrants,923,eastern europe,eo,34,1983,123986.0
total net number of migrants,923,eastern europe,eo,35,1984,84462.0
total net number of migrants,923,eastern europe,eo,36,1985,92284.0
total net number of migrants,923,eastern europe,eo,37,1986,121597.0
total net number of migrants,923,eastern europe,eo,38,1987,90734.0
total net number of migrants,923,eastern europe,eo,39,1988,19119.0
total net number of migrants,923,eastern europe,eo,40,1989,-43595.0
total net number of migrants,923,eastern europe,eo,41,1990,190285.0
total net number of migrants,923,eastern europe,eo,42,1991,133931.0
total net number of migrants,923,eastern europe,eo,43,1992,509655.0
total net number of migrants,923,eastern europe,eo,44,1993,592333.0
total net number of migrants,923,eastern europe,eo,45,1994,300963.0
total net number of migrants,923,eastern europe,eo,46,1995,275519.0
total net number of migrants,923,eastern europe,eo,47,1996,166487.0
total net number of migrants,923,eastern europe,eo,48,1997,192825.0
total net number of migrants,923,eastern europe,eo,49,1998,172911.0
total net number of migrants,923,eastern europe,eo,50,1999,280183.0
total net number of migrants,923,eastern europe,eo,51,2000,503374.0
total net number of migrants,923,eastern europe,eo,52,2001,32487.0
total net number of migrants,923,eastern europe,eo,53,2002,91300.0
total net number of migrants,923,eastern europe,eo,54,2003,103715.0
total net number of migrants,923,eastern europe,eo,55,2004,89487.0
total net number of migrants,923,eastern europe,eo,56,2005,62532.0
total net number of migrants,923,eastern europe,eo,57,2006,86699.0
total net number of migrants,923,eastern europe,eo,58,2007,189105.0
total net number of migrants,923,eastern europe,eo,59,2008,211356.0
total net number of migrants,923,eastern europe,eo,60,2009,253854.0
total net number of migrants,923,eastern europe,eo,61,2010,95225.0
total net number of migrants,923,eastern europe,eo,62,2011,172161.0
total net number of migrants,923,eastern europe,eo,63,2012,272942.0
total net number of migrants,923,eastern europe,eo,64,2013,193746.0
total net number of migrants,923,eastern europe,eo,65,2014,97657.0
total net number of migrants,923,eastern europe,eo,66,2015,248988.0
total net number of migrants,923,eastern europe,eo,67,2016,204092.0
total net number of migrants,923,eastern europe,eo,68,2017,221844.0
total net number of migrants,923,eastern europe,eo,69,2018,243102.0
total net number of migrants,923,eastern europe,eo,70,2019,313552.0
total net number of migrants,923,eastern europe,eo,71,2020,328853.0
total net number of migrants,923,eastern europe,eo,72,2021,320960.0
total net number of migrants,923,eastern europe,eo,73,2022,103474.0
total net number of migrants,923,eastern europe,eo,74,2023,102185.0
