indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,218,ecuador,ec,1,1950,125.0
crude rate of net migration,218,ecuador,ec,2,1951,28.0
crude rate of net migration,218,ecuador,ec,3,1952,-0.06
crude rate of net migration,218,ecuador,ec,4,1953,-148.0
crude rate of net migration,218,ecuador,ec,5,1954,-226.0
crude rate of net migration,218,ecuador,ec,6,1955,-291.0
crude rate of net migration,218,ecuador,ec,7,1956,-339.0
crude rate of net migration,218,ecuador,ec,8,1957,-367.0
crude rate of net migration,218,ecuador,ec,9,1958,-374.0
crude rate of net migration,218,ecuador,ec,10,1959,-378.0
crude rate of net migration,218,ecuador,ec,11,1960,-377.0
crude rate of net migration,218,ecuador,ec,12,1961,-373.0
crude rate of net migration,218,ecuador,ec,13,1962,-367.0
crude rate of net migration,218,ecuador,ec,14,1963,-353.0
crude rate of net migration,218,ecuador,ec,15,1964,-318.0
crude rate of net migration,218,ecuador,ec,16,1965,-273.0
crude rate of net migration,218,ecuador,ec,17,1966,-228.0
crude rate of net migration,218,ecuador,ec,18,1967,-197.0
crude rate of net migration,218,ecuador,ec,19,1968,-188.0
crude rate of net migration,218,ecuador,ec,20,1969,-183.0
crude rate of net migration,218,ecuador,ec,21,1970,-177.0
crude rate of net migration,218,ecuador,ec,22,1971,-172.0
crude rate of net migration,218,ecuador,ec,23,1972,-168.0
crude rate of net migration,218,ecuador,ec,24,1973,-164.0
crude rate of net migration,218,ecuador,ec,25,1974,-165.0
crude rate of net migration,218,ecuador,ec,26,1975,-0.17
crude rate of net migration,218,ecuador,ec,27,1976,-176.0
crude rate of net migration,218,ecuador,ec,28,1977,-185.0
crude rate of net migration,218,ecuador,ec,29,1978,-196.0
crude rate of net migration,218,ecuador,ec,30,1979,-222.0
crude rate of net migration,218,ecuador,ec,31,1980,-256.0
crude rate of net migration,218,ecuador,ec,32,1981,-289.0
crude rate of net migration,218,ecuador,ec,33,1982,-315.0
crude rate of net migration,218,ecuador,ec,34,1983,-328.0
crude rate of net migration,218,ecuador,ec,35,1984,-335.0
crude rate of net migration,218,ecuador,ec,36,1985,-0.34
crude rate of net migration,218,ecuador,ec,37,1986,-344.0
crude rate of net migration,218,ecuador,ec,38,1987,-484.0
crude rate of net migration,218,ecuador,ec,39,1988,-832.0
crude rate of net migration,218,ecuador,ec,40,1989,-1112.0
crude rate of net migration,218,ecuador,ec,41,1990,-1449.0
crude rate of net migration,218,ecuador,ec,42,1991,-1999.0
crude rate of net migration,218,ecuador,ec,43,1992,-3176.0
crude rate of net migration,218,ecuador,ec,44,1993,-3751.0
crude rate of net migration,218,ecuador,ec,45,1994,-3905.0
crude rate of net migration,218,ecuador,ec,46,1995,-3899.0
crude rate of net migration,218,ecuador,ec,47,1996,-3903.0
crude rate of net migration,218,ecuador,ec,48,1997,-3934.0
crude rate of net migration,218,ecuador,ec,49,1998,-3926.0
crude rate of net migration,218,ecuador,ec,50,1999,-3734.0
crude rate of net migration,218,ecuador,ec,51,2000,-3313.0
crude rate of net migration,218,ecuador,ec,52,2001,-2719.0
crude rate of net migration,218,ecuador,ec,53,2002,-2147.0
crude rate of net migration,218,ecuador,ec,54,2003,-1698.0
crude rate of net migration,218,ecuador,ec,55,2004,-1545.0
crude rate of net migration,218,ecuador,ec,56,2005,-1.22
crude rate of net migration,218,ecuador,ec,57,2006,-0.9
crude rate of net migration,218,ecuador,ec,58,2007,-675.0
crude rate of net migration,218,ecuador,ec,59,2008,-605.0
crude rate of net migration,218,ecuador,ec,60,2009,-575.0
crude rate of net migration,218,ecuador,ec,61,2010,-555.0
crude rate of net migration,218,ecuador,ec,62,2011,-534.0
crude rate of net migration,218,ecuador,ec,63,2012,-506.0
crude rate of net migration,218,ecuador,ec,64,2013,-391.0
crude rate of net migration,218,ecuador,ec,65,2014,143.0
crude rate of net migration,218,ecuador,ec,66,2015,911.0
crude rate of net migration,218,ecuador,ec,67,2016,1648.0
crude rate of net migration,218,ecuador,ec,68,2017,2961.0
crude rate of net migration,218,ecuador,ec,69,2018,9055.0
crude rate of net migration,218,ecuador,ec,70,2019,4149.0
crude rate of net migration,218,ecuador,ec,71,2020,2043.0
crude rate of net migration,218,ecuador,ec,72,2021,2019.0
crude rate of net migration,218,ecuador,ec,73,2022,-1122.0
crude rate of net migration,218,ecuador,ec,74,2023,-1183.0
