indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,818,egypt,eg,1,1950,-28409.0
total net number of migrants,818,egypt,eg,2,1951,-30036.0
total net number of migrants,818,egypt,eg,3,1952,-19616.0
total net number of migrants,818,egypt,eg,4,1953,-15079.0
total net number of migrants,818,egypt,eg,5,1954,-15972.0
total net number of migrants,818,egypt,eg,6,1955,-28857.0
total net number of migrants,818,egypt,eg,7,1956,-29330.0
total net number of migrants,818,egypt,eg,8,1957,-28353.0
total net number of migrants,818,egypt,eg,9,1958,-58886.0
total net number of migrants,818,egypt,eg,10,1959,-12050.0
total net number of migrants,818,egypt,eg,11,1960,-2959.0
total net number of migrants,818,egypt,eg,12,1961,2504.0
total net number of migrants,818,egypt,eg,13,1962,3984.0
total net number of migrants,818,egypt,eg,14,1963,2806.0
total net number of migrants,818,egypt,eg,15,1964,-1750.0
total net number of migrants,818,egypt,eg,16,1965,-4593.0
total net number of migrants,818,egypt,eg,17,1966,-25834.0
total net number of migrants,818,egypt,eg,18,1967,-30046.0
total net number of migrants,818,egypt,eg,19,1968,-43814.0
total net number of migrants,818,egypt,eg,20,1969,-58834.0
total net number of migrants,818,egypt,eg,21,1970,-70830.0
total net number of migrants,818,egypt,eg,22,1971,-113627.0
total net number of migrants,818,egypt,eg,23,1972,-111509.0
total net number of migrants,818,egypt,eg,24,1973,-112685.0
total net number of migrants,818,egypt,eg,25,1974,-121442.0
total net number of migrants,818,egypt,eg,26,1975,-125141.0
total net number of migrants,818,egypt,eg,27,1976,-144535.0
total net number of migrants,818,egypt,eg,28,1977,-92212.0
total net number of migrants,818,egypt,eg,29,1978,-92176.0
total net number of migrants,818,egypt,eg,30,1979,-81024.0
total net number of migrants,818,egypt,eg,31,1980,-50167.0
total net number of migrants,818,egypt,eg,32,1981,-54511.0
total net number of migrants,818,egypt,eg,33,1982,-33767.0
total net number of migrants,818,egypt,eg,34,1983,-3126.0
total net number of migrants,818,egypt,eg,35,1984,-5955.0
total net number of migrants,818,egypt,eg,36,1985,-199.0
total net number of migrants,818,egypt,eg,37,1986,-15155.0
total net number of migrants,818,egypt,eg,38,1987,-6046.0
total net number of migrants,818,egypt,eg,39,1988,10280.0
total net number of migrants,818,egypt,eg,40,1989,6079.0
total net number of migrants,818,egypt,eg,41,1990,6995.0
total net number of migrants,818,egypt,eg,42,1991,-63804.0
total net number of migrants,818,egypt,eg,43,1992,-41760.0
total net number of migrants,818,egypt,eg,44,1993,-42612.0
total net number of migrants,818,egypt,eg,45,1994,-11479.0
total net number of migrants,818,egypt,eg,46,1995,-31423.0
total net number of migrants,818,egypt,eg,47,1996,7378.0
total net number of migrants,818,egypt,eg,48,1997,14366.0
total net number of migrants,818,egypt,eg,49,1998,11316.0
total net number of migrants,818,egypt,eg,50,1999,-163.0
total net number of migrants,818,egypt,eg,51,2000,-2815.0
total net number of migrants,818,egypt,eg,52,2001,927.0
total net number of migrants,818,egypt,eg,53,2002,73253.0
total net number of migrants,818,egypt,eg,54,2003,37743.0
total net number of migrants,818,egypt,eg,55,2004,31302.0
total net number of migrants,818,egypt,eg,56,2005,-18144.0
total net number of migrants,818,egypt,eg,57,2006,-28511.0
total net number of migrants,818,egypt,eg,58,2007,-32607.0
total net number of migrants,818,egypt,eg,59,2008,-46339.0
total net number of migrants,818,egypt,eg,60,2009,-55856.0
total net number of migrants,818,egypt,eg,61,2010,-18831.0
total net number of migrants,818,egypt,eg,62,2011,158511.0
total net number of migrants,818,egypt,eg,63,2012,-2118.0
total net number of migrants,818,egypt,eg,64,2013,163449.0
total net number of migrants,818,egypt,eg,65,2014,5961.0
total net number of migrants,818,egypt,eg,66,2015,-79150.0
total net number of migrants,818,egypt,eg,67,2016,4132.0
total net number of migrants,818,egypt,eg,68,2017,-23281.0
total net number of migrants,818,egypt,eg,69,2018,-61050.0
total net number of migrants,818,egypt,eg,70,2019,-59715.0
total net number of migrants,818,egypt,eg,71,2020,4476.0
total net number of migrants,818,egypt,eg,72,2021,-32370.0
total net number of migrants,818,egypt,eg,73,2022,-29998.0
total net number of migrants,818,egypt,eg,74,2023,-29998.0
