indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,226,equatorial guinea,gq,1,1950,0.0
total net number of migrants,226,equatorial guinea,gq,2,1951,0.0
total net number of migrants,226,equatorial guinea,gq,3,1952,0.0
total net number of migrants,226,equatorial guinea,gq,4,1953,0.0
total net number of migrants,226,equatorial guinea,gq,5,1954,0.0
total net number of migrants,226,equatorial guinea,gq,6,1955,0.0
total net number of migrants,226,equatorial guinea,gq,7,1956,0.0
total net number of migrants,226,equatorial guinea,gq,8,1957,0.0
total net number of migrants,226,equatorial guinea,gq,9,1958,0.0
total net number of migrants,226,equatorial guinea,gq,10,1959,83.0
total net number of migrants,226,equatorial guinea,gq,11,1960,222.0
total net number of migrants,226,equatorial guinea,gq,12,1961,392.0
total net number of migrants,226,equatorial guinea,gq,13,1962,537.0
total net number of migrants,226,equatorial guinea,gq,14,1963,639.0
total net number of migrants,226,equatorial guinea,gq,15,1964,747.0
total net number of migrants,226,equatorial guinea,gq,16,1965,850.0
total net number of migrants,226,equatorial guinea,gq,17,1966,931.0
total net number of migrants,226,equatorial guinea,gq,18,1967,984.0
total net number of migrants,226,equatorial guinea,gq,19,1968,572.0
total net number of migrants,226,equatorial guinea,gq,20,1969,-2237.0
total net number of migrants,226,equatorial guinea,gq,21,1970,-6499.0
total net number of migrants,226,equatorial guinea,gq,22,1971,-10760.0
total net number of migrants,226,equatorial guinea,gq,23,1972,-13576.0
total net number of migrants,226,equatorial guinea,gq,24,1973,-13875.0
total net number of migrants,226,equatorial guinea,gq,25,1974,-12983.0
total net number of migrants,226,equatorial guinea,gq,26,1975,-11398.0
total net number of migrants,226,equatorial guinea,gq,27,1976,-9377.0
total net number of migrants,226,equatorial guinea,gq,28,1977,-7131.0
total net number of migrants,226,equatorial guinea,gq,29,1978,-4553.0
total net number of migrants,226,equatorial guinea,gq,30,1979,-235.0
total net number of migrants,226,equatorial guinea,gq,31,1980,4903.0
total net number of migrants,226,equatorial guinea,gq,32,1981,9605.0
total net number of migrants,226,equatorial guinea,gq,33,1982,12568.0
total net number of migrants,226,equatorial guinea,gq,34,1983,12767.0
total net number of migrants,226,equatorial guinea,gq,35,1984,11220.0
total net number of migrants,226,equatorial guinea,gq,36,1985,8819.0
total net number of migrants,226,equatorial guinea,gq,37,1986,6320.0
total net number of migrants,226,equatorial guinea,gq,38,1987,4472.0
total net number of migrants,226,equatorial guinea,gq,39,1988,3778.0
total net number of migrants,226,equatorial guinea,gq,40,1989,3538.0
total net number of migrants,226,equatorial guinea,gq,41,1990,3506.0
total net number of migrants,226,equatorial guinea,gq,42,1991,3636.0
total net number of migrants,226,equatorial guinea,gq,43,1992,3865.0
total net number of migrants,226,equatorial guinea,gq,44,1993,4175.0
total net number of migrants,226,equatorial guinea,gq,45,1994,4666.0
total net number of migrants,226,equatorial guinea,gq,46,1995,5300.0
total net number of migrants,226,equatorial guinea,gq,47,1996,6001.0
total net number of migrants,226,equatorial guinea,gq,48,1997,6690.0
total net number of migrants,226,equatorial guinea,gq,49,1998,7300.0
total net number of migrants,226,equatorial guinea,gq,50,1999,7844.0
total net number of migrants,226,equatorial guinea,gq,51,2000,15352.0
total net number of migrants,226,equatorial guinea,gq,52,2001,15084.0
total net number of migrants,226,equatorial guinea,gq,53,2002,14757.0
total net number of migrants,226,equatorial guinea,gq,54,2003,14544.0
total net number of migrants,226,equatorial guinea,gq,55,2004,14733.0
total net number of migrants,226,equatorial guinea,gq,56,2005,15549.0
total net number of migrants,226,equatorial guinea,gq,57,2006,16885.0
total net number of migrants,226,equatorial guinea,gq,58,2007,18437.0
total net number of migrants,226,equatorial guinea,gq,59,2008,19930.0
total net number of migrants,226,equatorial guinea,gq,60,2009,21233.0
total net number of migrants,226,equatorial guinea,gq,61,2010,22033.0
total net number of migrants,226,equatorial guinea,gq,62,2011,17606.0
total net number of migrants,226,equatorial guinea,gq,63,2012,17859.0
total net number of migrants,226,equatorial guinea,gq,64,2013,18105.0
total net number of migrants,226,equatorial guinea,gq,65,2014,18051.0
total net number of migrants,226,equatorial guinea,gq,66,2015,17694.0
total net number of migrants,226,equatorial guinea,gq,67,2016,17109.0
total net number of migrants,226,equatorial guinea,gq,68,2017,16395.0
total net number of migrants,226,equatorial guinea,gq,69,2018,15583.0
total net number of migrants,226,equatorial guinea,gq,70,2019,14695.0
total net number of migrants,226,equatorial guinea,gq,71,2020,0.0
total net number of migrants,226,equatorial guinea,gq,72,2021,6486.0
total net number of migrants,226,equatorial guinea,gq,73,2022,4000.0
total net number of migrants,226,equatorial guinea,gq,74,2023,4000.0
