indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,748,eswatini,sz,1,1950,-3776.0
crude rate of net migration,748,eswatini,sz,2,1951,-3776.0
crude rate of net migration,748,eswatini,sz,3,1952,-3872.0
crude rate of net migration,748,eswatini,sz,4,1953,-3983.0
crude rate of net migration,748,eswatini,sz,5,1954,-4163.0
crude rate of net migration,748,eswatini,sz,6,1955,-4354.0
crude rate of net migration,748,eswatini,sz,7,1956,-4587.0
crude rate of net migration,748,eswatini,sz,8,1957,-4799.0
crude rate of net migration,748,eswatini,sz,9,1958,-5078.0
crude rate of net migration,748,eswatini,sz,10,1959,-5525.0
crude rate of net migration,748,eswatini,sz,11,1960,-6014.0
crude rate of net migration,748,eswatini,sz,12,1961,-6412.0
crude rate of net migration,748,eswatini,sz,13,1962,-6593.0
crude rate of net migration,748,eswatini,sz,14,1963,-6356.0
crude rate of net migration,748,eswatini,sz,15,1964,-5397.0
crude rate of net migration,748,eswatini,sz,16,1965,-4065.0
crude rate of net migration,748,eswatini,sz,17,1966,-3897.0
crude rate of net migration,748,eswatini,sz,18,1967,-5059.0
crude rate of net migration,748,eswatini,sz,19,1968,-6502.0
crude rate of net migration,748,eswatini,sz,20,1969,-6728.0
crude rate of net migration,748,eswatini,sz,21,1970,-6881.0
crude rate of net migration,748,eswatini,sz,22,1971,-6966.0
crude rate of net migration,748,eswatini,sz,23,1972,-6926.0
crude rate of net migration,748,eswatini,sz,24,1973,-6817.0
crude rate of net migration,748,eswatini,sz,25,1974,-6639.0
crude rate of net migration,748,eswatini,sz,26,1975,-6305.0
crude rate of net migration,748,eswatini,sz,27,1976,-5653.0
crude rate of net migration,748,eswatini,sz,28,1977,-5493.0
crude rate of net migration,748,eswatini,sz,29,1978,-4343.0
crude rate of net migration,748,eswatini,sz,30,1979,-4563.0
crude rate of net migration,748,eswatini,sz,31,1980,-4679.0
crude rate of net migration,748,eswatini,sz,32,1981,-12.59
crude rate of net migration,748,eswatini,sz,33,1982,-4539.0
crude rate of net migration,748,eswatini,sz,34,1983,-4338.0
crude rate of net migration,748,eswatini,sz,35,1984,-4248.0
crude rate of net migration,748,eswatini,sz,36,1985,2551.0
crude rate of net migration,748,eswatini,sz,37,1986,1855.0
crude rate of net migration,748,eswatini,sz,38,1987,43525.0
crude rate of net migration,748,eswatini,sz,39,1988,18904.0
crude rate of net migration,748,eswatini,sz,40,1989,-9277.0
crude rate of net migration,748,eswatini,sz,41,1990,15919.0
crude rate of net migration,748,eswatini,sz,42,1991,8459.0
crude rate of net migration,748,eswatini,sz,43,1992,6518.0
crude rate of net migration,748,eswatini,sz,44,1993,-6994.0
crude rate of net migration,748,eswatini,sz,45,1994,-49356.0
crude rate of net migration,748,eswatini,sz,46,1995,-2621.0
crude rate of net migration,748,eswatini,sz,47,1996,-3024.0
crude rate of net migration,748,eswatini,sz,48,1997,-5786.0
crude rate of net migration,748,eswatini,sz,49,1998,-6009.0
crude rate of net migration,748,eswatini,sz,50,1999,-6435.0
crude rate of net migration,748,eswatini,sz,51,2000,-6.47
crude rate of net migration,748,eswatini,sz,52,2001,-6539.0
crude rate of net migration,748,eswatini,sz,53,2002,-6674.0
crude rate of net migration,748,eswatini,sz,54,2003,-6896.0
crude rate of net migration,748,eswatini,sz,55,2004,-7157.0
crude rate of net migration,748,eswatini,sz,56,2005,-7435.0
crude rate of net migration,748,eswatini,sz,57,2006,-7521.0
crude rate of net migration,748,eswatini,sz,58,2007,-7.35
crude rate of net migration,748,eswatini,sz,59,2008,-9141.0
crude rate of net migration,748,eswatini,sz,60,2009,-9294.0
crude rate of net migration,748,eswatini,sz,61,2010,-9472.0
crude rate of net migration,748,eswatini,sz,62,2011,-9592.0
crude rate of net migration,748,eswatini,sz,63,2012,-9587.0
crude rate of net migration,748,eswatini,sz,64,2013,-9489.0
crude rate of net migration,748,eswatini,sz,65,2014,-9359.0
crude rate of net migration,748,eswatini,sz,66,2015,-9187.0
crude rate of net migration,748,eswatini,sz,67,2016,-8971.0
crude rate of net migration,748,eswatini,sz,68,2017,-8758.0
crude rate of net migration,748,eswatini,sz,69,2018,-8544.0
crude rate of net migration,748,eswatini,sz,70,2019,-8341.0
crude rate of net migration,748,eswatini,sz,71,2020,-4139.0
crude rate of net migration,748,eswatini,sz,72,2021,-4099.0
crude rate of net migration,748,eswatini,sz,73,2022,-4.76
crude rate of net migration,748,eswatini,sz,74,2023,-4341.0
