indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,748,eswatini,sz,1,1950,-1028.0
total net number of migrants,748,eswatini,sz,2,1951,-1054.0
total net number of migrants,748,eswatini,sz,3,1952,-1108.0
total net number of migrants,748,eswatini,sz,4,1953,-1168.0
total net number of migrants,748,eswatini,sz,5,1954,-1251.0
total net number of migrants,748,eswatini,sz,6,1955,-1340.0
total net number of migrants,748,eswatini,sz,7,1956,-1446.0
total net number of migrants,748,eswatini,sz,8,1957,-1549.0
total net number of migrants,748,eswatini,sz,9,1958,-1678.0
total net number of migrants,748,eswatini,sz,10,1959,-1869.0
total net number of migrants,748,eswatini,sz,11,1960,-2082.0
total net number of migrants,748,eswatini,sz,12,1961,-2271.0
total net number of migrants,748,eswatini,sz,13,1962,-2389.0
total net number of migrants,748,eswatini,sz,14,1963,-2357.0
total net number of migrants,748,eswatini,sz,15,1964,-2049.0
total net number of migrants,748,eswatini,sz,16,1965,-1582.0
total net number of migrants,748,eswatini,sz,17,1966,-1558.0
total net number of migrants,748,eswatini,sz,18,1967,-2078.0
total net number of migrants,748,eswatini,sz,19,1968,-2743.0
total net number of migrants,748,eswatini,sz,20,1969,-2913.0
total net number of migrants,748,eswatini,sz,21,1970,-3059.0
total net number of migrants,748,eswatini,sz,22,1971,-3181.0
total net number of migrants,748,eswatini,sz,23,1972,-3250.0
total net number of migrants,748,eswatini,sz,24,1973,-3289.0
total net number of migrants,748,eswatini,sz,25,1974,-3296.0
total net number of migrants,748,eswatini,sz,26,1975,-3224.0
total net number of migrants,748,eswatini,sz,27,1976,-2980.0
total net number of migrants,748,eswatini,sz,28,1977,-2988.0
total net number of migrants,748,eswatini,sz,29,1978,-2439.0
total net number of migrants,748,eswatini,sz,30,1979,-2649.0
total net number of migrants,748,eswatini,sz,31,1980,-2808.0
total net number of migrants,748,eswatini,sz,32,1981,-7809.0
total net number of migrants,748,eswatini,sz,33,1982,-2887.0
total net number of migrants,748,eswatini,sz,34,1983,-2850.0
total net number of migrants,748,eswatini,sz,35,1984,-2884.0
total net number of migrants,748,eswatini,sz,36,1985,1790.0
total net number of migrants,748,eswatini,sz,37,1986,1353.0
total net number of migrants,748,eswatini,sz,38,1987,2417.0
total net number of migrants,748,eswatini,sz,39,1988,14879.0
total net number of migrants,748,eswatini,sz,40,1989,-7701.0
total net number of migrants,748,eswatini,sz,41,1990,7169.0
total net number of migrants,748,eswatini,sz,42,1991,7496.0
total net number of migrants,748,eswatini,sz,43,1992,6012.0
total net number of migrants,748,eswatini,sz,44,1993,-6692.0
total net number of migrants,748,eswatini,sz,45,1994,-48259.0
total net number of migrants,748,eswatini,sz,46,1995,-2501.0
total net number of migrants,748,eswatini,sz,47,1996,-2949.0
total net number of migrants,748,eswatini,sz,48,1997,-5749.0
total net number of migrants,748,eswatini,sz,49,1998,-6058.0
total net number of migrants,748,eswatini,sz,50,1999,-6575.0
total net number of migrants,748,eswatini,sz,51,2000,-6689.0
total net number of migrants,748,eswatini,sz,52,2001,-6832.0
total net number of migrants,748,eswatini,sz,53,2002,-7036.0
total net number of migrants,748,eswatini,sz,54,2003,-7327.0
total net number of migrants,748,eswatini,sz,55,2004,-7656.0
total net number of migrants,748,eswatini,sz,56,2005,-8000.0
total net number of migrants,748,eswatini,sz,57,2006,-8136.0
total net number of migrants,748,eswatini,sz,58,2007,-7997.0
total net number of migrants,748,eswatini,sz,59,2008,-10009.0
total net number of migrants,748,eswatini,sz,60,2009,-10223.0
total net number of migrants,748,eswatini,sz,61,2010,-10467.0
total net number of migrants,748,eswatini,sz,62,2011,-10654.0
total net number of migrants,748,eswatini,sz,63,2012,-10706.0
total net number of migrants,748,eswatini,sz,64,2013,-10662.0
total net number of migrants,748,eswatini,sz,65,2014,-10586.0
total net number of migrants,748,eswatini,sz,66,2015,-10464.0
total net number of migrants,748,eswatini,sz,67,2016,-10295.0
total net number of migrants,748,eswatini,sz,68,2017,-10127.0
total net number of migrants,748,eswatini,sz,69,2018,-9956.0
total net number of migrants,748,eswatini,sz,70,2019,-9796.0
total net number of migrants,748,eswatini,sz,71,2020,-4897.0
total net number of migrants,748,eswatini,sz,72,2021,-4897.0
total net number of migrants,748,eswatini,sz,73,2022,-5733.0
total net number of migrants,748,eswatini,sz,74,2023,-5268.0
