indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,231,ethiopia,et,1,1950,0.31
crude rate of net migration,231,ethiopia,et,2,1951,226.0
crude rate of net migration,231,ethiopia,et,3,1952,-79.0
crude rate of net migration,231,ethiopia,et,4,1953,-646.0
crude rate of net migration,231,ethiopia,et,5,1954,-0.51
crude rate of net migration,231,ethiopia,et,6,1955,-528.0
crude rate of net migration,231,ethiopia,et,7,1956,-528.0
crude rate of net migration,231,ethiopia,et,8,1957,-605.0
crude rate of net migration,231,ethiopia,et,9,1958,-1303.0
crude rate of net migration,231,ethiopia,et,10,1959,-266.0
crude rate of net migration,231,ethiopia,et,11,1960,78.0
crude rate of net migration,231,ethiopia,et,12,1961,311.0
crude rate of net migration,231,ethiopia,et,13,1962,392.0
crude rate of net migration,231,ethiopia,et,14,1963,402.0
crude rate of net migration,231,ethiopia,et,15,1964,446.0
crude rate of net migration,231,ethiopia,et,16,1965,661.0
crude rate of net migration,231,ethiopia,et,17,1966,361.0
crude rate of net migration,231,ethiopia,et,18,1967,554.0
crude rate of net migration,231,ethiopia,et,19,1968,373.0
crude rate of net migration,231,ethiopia,et,20,1969,264.0
crude rate of net migration,231,ethiopia,et,21,1970,304.0
crude rate of net migration,231,ethiopia,et,22,1971,-498.0
crude rate of net migration,231,ethiopia,et,23,1972,-113.0
crude rate of net migration,231,ethiopia,et,24,1973,12.0
crude rate of net migration,231,ethiopia,et,25,1974,-134.0
crude rate of net migration,231,ethiopia,et,26,1975,-1319.0
crude rate of net migration,231,ethiopia,et,27,1976,-1093.0
crude rate of net migration,231,ethiopia,et,28,1977,-15519.0
crude rate of net migration,231,ethiopia,et,29,1978,-6139.0
crude rate of net migration,231,ethiopia,et,30,1979,-20256.0
crude rate of net migration,231,ethiopia,et,31,1980,-25.52
crude rate of net migration,231,ethiopia,et,32,1981,17688.0
crude rate of net migration,231,ethiopia,et,33,1982,1794.0
crude rate of net migration,231,ethiopia,et,34,1983,1781.0
crude rate of net migration,231,ethiopia,et,35,1984,3516.0
crude rate of net migration,231,ethiopia,et,36,1985,3916.0
crude rate of net migration,231,ethiopia,et,37,1986,4502.0
crude rate of net migration,231,ethiopia,et,38,1987,5882.0
crude rate of net migration,231,ethiopia,et,39,1988,8572.0
crude rate of net migration,231,ethiopia,et,40,1989,5265.0
crude rate of net migration,231,ethiopia,et,41,1990,6201.0
crude rate of net migration,231,ethiopia,et,42,1991,17363.0
crude rate of net migration,231,ethiopia,et,43,1992,3083.0
crude rate of net migration,231,ethiopia,et,44,1993,2634.0
crude rate of net migration,231,ethiopia,et,45,1994,2533.0
crude rate of net migration,231,ethiopia,et,46,1995,1594.0
crude rate of net migration,231,ethiopia,et,47,1996,697.0
crude rate of net migration,231,ethiopia,et,48,1997,-149.0
crude rate of net migration,231,ethiopia,et,49,1998,-48.0
crude rate of net migration,231,ethiopia,et,50,1999,447.0
crude rate of net migration,231,ethiopia,et,51,2000,-744.0
crude rate of net migration,231,ethiopia,et,52,2001,-276.0
crude rate of net migration,231,ethiopia,et,53,2002,-182.0
crude rate of net migration,231,ethiopia,et,54,2003,-188.0
crude rate of net migration,231,ethiopia,et,55,2004,-338.0
crude rate of net migration,231,ethiopia,et,56,2005,-573.0
crude rate of net migration,231,ethiopia,et,57,2006,-383.0
crude rate of net migration,231,ethiopia,et,58,2007,-5.0
crude rate of net migration,231,ethiopia,et,59,2008,-246.0
crude rate of net migration,231,ethiopia,et,60,2009,188.0
crude rate of net migration,231,ethiopia,et,61,2010,899.0
crude rate of net migration,231,ethiopia,et,62,2011,1273.0
crude rate of net migration,231,ethiopia,et,63,2012,1266.0
crude rate of net migration,231,ethiopia,et,64,2013,834.0
crude rate of net migration,231,ethiopia,et,65,2014,1034.0
crude rate of net migration,231,ethiopia,et,66,2015,613.0
crude rate of net migration,231,ethiopia,et,67,2016,44927.0
crude rate of net migration,231,ethiopia,et,68,2017,663.0
crude rate of net migration,231,ethiopia,et,69,2018,84.0
crude rate of net migration,231,ethiopia,et,70,2019,-95.0
crude rate of net migration,231,ethiopia,et,71,2020,332.0
crude rate of net migration,231,ethiopia,et,72,2021,-12.0
crude rate of net migration,231,ethiopia,et,73,2022,-97.0
crude rate of net migration,231,ethiopia,et,74,2023,-95.0
