indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,908,europe,ep,1,1950,-894120.0
total net number of migrants,908,europe,ep,2,1951,-661836.0
total net number of migrants,908,europe,ep,3,1952,-616985.0
total net number of migrants,908,europe,ep,4,1953,-262496.0
total net number of migrants,908,europe,ep,5,1954,-491679.0
total net number of migrants,908,europe,ep,6,1955,-466384.0
total net number of migrants,908,europe,ep,7,1956,-573378.0
total net number of migrants,908,europe,ep,8,1957,-419031.0
total net number of migrants,908,europe,ep,9,1958,-426356.0
total net number of migrants,908,europe,ep,10,1959,-434472.0
total net number of migrants,908,europe,ep,11,1960,-352071.0
total net number of migrants,908,europe,ep,12,1961,-40983.0
total net number of migrants,908,europe,ep,13,1962,-37676.0
total net number of migrants,908,europe,ep,14,1963,-18272.0
total net number of migrants,908,europe,ep,15,1964,-11315.0
total net number of migrants,908,europe,ep,16,1965,-49933.0
total net number of migrants,908,europe,ep,17,1966,85807.0
total net number of migrants,908,europe,ep,18,1967,-25416.0
total net number of migrants,908,europe,ep,19,1968,-140735.0
total net number of migrants,908,europe,ep,20,1969,-24574.0
total net number of migrants,908,europe,ep,21,1970,-412372.0
total net number of migrants,908,europe,ep,22,1971,368426.0
total net number of migrants,908,europe,ep,23,1972,491705.0
total net number of migrants,908,europe,ep,24,1973,419663.0
total net number of migrants,908,europe,ep,25,1974,493053.0
total net number of migrants,908,europe,ep,26,1975,359389.0
total net number of migrants,908,europe,ep,27,1976,389055.0
total net number of migrants,908,europe,ep,28,1977,298159.0
total net number of migrants,908,europe,ep,29,1978,212223.0
total net number of migrants,908,europe,ep,30,1979,213125.0
total net number of migrants,908,europe,ep,31,1980,461293.0
total net number of migrants,908,europe,ep,32,1981,140367.0
total net number of migrants,908,europe,ep,33,1982,64382.0
total net number of migrants,908,europe,ep,34,1983,279631.0
total net number of migrants,908,europe,ep,35,1984,306468.0
total net number of migrants,908,europe,ep,36,1985,396306.0
total net number of migrants,908,europe,ep,37,1986,510873.0
total net number of migrants,908,europe,ep,38,1987,527293.0
total net number of migrants,908,europe,ep,39,1988,507528.0
total net number of migrants,908,europe,ep,40,1989,487726.0
total net number of migrants,908,europe,ep,41,1990,769791.0
total net number of migrants,908,europe,ep,42,1991,795007.0
total net number of migrants,908,europe,ep,43,1992,838397.0
total net number of migrants,908,europe,ep,44,1993,1212842.0
total net number of migrants,908,europe,ep,45,1994,882701.0
total net number of migrants,908,europe,ep,46,1995,1060452.0
total net number of migrants,908,europe,ep,47,1996,948555.0
total net number of migrants,908,europe,ep,48,1997,854235.0
total net number of migrants,908,europe,ep,49,1998,491607.0
total net number of migrants,908,europe,ep,50,1999,779420.0
total net number of migrants,908,europe,ep,51,2000,1172143.0
total net number of migrants,908,europe,ep,52,2001,810926.0
total net number of migrants,908,europe,ep,53,2002,1588535.0
total net number of migrants,908,europe,ep,54,2003,1786198.0
total net number of migrants,908,europe,ep,55,2004,1726175.0
total net number of migrants,908,europe,ep,56,2005,1596929.0
total net number of migrants,908,europe,ep,57,2006,1677605.0
total net number of migrants,908,europe,ep,58,2007,2229273.0
total net number of migrants,908,europe,ep,59,2008,1824596.0
total net number of migrants,908,europe,ep,60,2009,1385415.0
total net number of migrants,908,europe,ep,61,2010,1154403.0
total net number of migrants,908,europe,ep,62,2011,1198314.0
total net number of migrants,908,europe,ep,63,2012,1163097.0
total net number of migrants,908,europe,ep,64,2013,943243.0
total net number of migrants,908,europe,ep,65,2014,940116.0
total net number of migrants,908,europe,ep,66,2015,1308115.0
total net number of migrants,908,europe,ep,67,2016,1346009.0
total net number of migrants,908,europe,ep,68,2017,1432622.0
total net number of migrants,908,europe,ep,69,2018,1582667.0
total net number of migrants,908,europe,ep,70,2019,1727550.0
total net number of migrants,908,europe,ep,71,2020,1436475.0
total net number of migrants,908,europe,ep,72,2021,1417701.0
total net number of migrants,908,europe,ep,73,2022,788581.0
total net number of migrants,908,europe,ep,74,2023,792167.0
