indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,234,faroe islands,fo,1,1950,-4726.0
crude rate of net migration,234,faroe islands,fo,2,1951,-9716.0
crude rate of net migration,234,faroe islands,fo,3,1952,-10591.0
crude rate of net migration,234,faroe islands,fo,4,1953,-9886.0
crude rate of net migration,234,faroe islands,fo,5,1954,-8849.0
crude rate of net migration,234,faroe islands,fo,6,1955,-9697.0
crude rate of net migration,234,faroe islands,fo,7,1956,-3273.0
crude rate of net migration,234,faroe islands,fo,8,1957,-2105.0
crude rate of net migration,234,faroe islands,fo,9,1958,-1685.0
crude rate of net migration,234,faroe islands,fo,10,1959,-1365.0
crude rate of net migration,234,faroe islands,fo,11,1960,-1756.0
crude rate of net migration,234,faroe islands,fo,12,1961,-3.38
crude rate of net migration,234,faroe islands,fo,13,1962,-3512.0
crude rate of net migration,234,faroe islands,fo,14,1963,-3329.0
crude rate of net migration,234,faroe islands,fo,15,1964,-2731.0
crude rate of net migration,234,faroe islands,fo,16,1965,-1759.0
crude rate of net migration,234,faroe islands,fo,17,1966,-4933.0
crude rate of net migration,234,faroe islands,fo,18,1967,-5919.0
crude rate of net migration,234,faroe islands,fo,19,1968,-5592.0
crude rate of net migration,234,faroe islands,fo,20,1969,-5067.0
crude rate of net migration,234,faroe islands,fo,21,1970,-2626.0
crude rate of net migration,234,faroe islands,fo,22,1971,-1774.0
crude rate of net migration,234,faroe islands,fo,23,1972,-2591.0
crude rate of net migration,234,faroe islands,fo,24,1973,-2863.0
crude rate of net migration,234,faroe islands,fo,25,1974,-2187.0
crude rate of net migration,234,faroe islands,fo,26,1975,-1501.0
crude rate of net migration,234,faroe islands,fo,27,1976,-877.0
crude rate of net migration,234,faroe islands,fo,28,1977,-145.0
crude rate of net migration,234,faroe islands,fo,29,1978,2553.0
crude rate of net migration,234,faroe islands,fo,30,1979,1813.0
crude rate of net migration,234,faroe islands,fo,31,1980,2605.0
crude rate of net migration,234,faroe islands,fo,32,1981,3008.0
crude rate of net migration,234,faroe islands,fo,33,1982,3222.0
crude rate of net migration,234,faroe islands,fo,34,1983,2894.0
crude rate of net migration,234,faroe islands,fo,35,1984,2729.0
crude rate of net migration,234,faroe islands,fo,36,1985,636.0
crude rate of net migration,234,faroe islands,fo,37,1986,521.0
crude rate of net migration,234,faroe islands,fo,38,1987,1162.0
crude rate of net migration,234,faroe islands,fo,39,1988,1043.0
crude rate of net migration,234,faroe islands,fo,40,1989,632.0
crude rate of net migration,234,faroe islands,fo,41,1990,-23864.0
crude rate of net migration,234,faroe islands,fo,42,1991,-24674.0
crude rate of net migration,234,faroe islands,fo,43,1992,-25497.0
crude rate of net migration,234,faroe islands,fo,44,1993,-27858.0
crude rate of net migration,234,faroe islands,fo,45,1994,-27908.0
crude rate of net migration,234,faroe islands,fo,46,1995,2217.0
crude rate of net migration,234,faroe islands,fo,47,1996,2177.0
crude rate of net migration,234,faroe islands,fo,48,1997,42401.0
crude rate of net migration,234,faroe islands,fo,49,1998,3485.0
crude rate of net migration,234,faroe islands,fo,50,1999,20852.0
crude rate of net migration,234,faroe islands,fo,51,2000,7295.0
crude rate of net migration,234,faroe islands,fo,52,2001,8605.0
crude rate of net migration,234,faroe islands,fo,53,2002,7913.0
crude rate of net migration,234,faroe islands,fo,54,2003,6713.0
crude rate of net migration,234,faroe islands,fo,55,2004,42583.0
crude rate of net migration,234,faroe islands,fo,56,2005,-3122.0
crude rate of net migration,234,faroe islands,fo,57,2006,-3864.0
crude rate of net migration,234,faroe islands,fo,58,2007,-3.22
crude rate of net migration,234,faroe islands,fo,59,2008,-3341.0
crude rate of net migration,234,faroe islands,fo,60,2009,-3271.0
crude rate of net migration,234,faroe islands,fo,61,2010,-2393.0
crude rate of net migration,234,faroe islands,fo,62,2011,-2251.0
crude rate of net migration,234,faroe islands,fo,63,2012,-3073.0
crude rate of net migration,234,faroe islands,fo,64,2013,-2434.0
crude rate of net migration,234,faroe islands,fo,65,2014,-2288.0
crude rate of net migration,234,faroe islands,fo,66,2015,11169.0
crude rate of net migration,234,faroe islands,fo,67,2016,10902.0
crude rate of net migration,234,faroe islands,fo,68,2017,12456.0
crude rate of net migration,234,faroe islands,fo,69,2018,12899.0
crude rate of net migration,234,faroe islands,fo,70,2019,11281.0
crude rate of net migration,234,faroe islands,fo,71,2020,19968.0
crude rate of net migration,234,faroe islands,fo,72,2021,0.0
crude rate of net migration,234,faroe islands,fo,73,2022,0.0
crude rate of net migration,234,faroe islands,fo,74,2023,0.0
