indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,242,fiji,fj,1,1950,-3246.0
crude rate of net migration,242,fiji,fj,2,1951,-2974.0
crude rate of net migration,242,fiji,fj,3,1952,-2715.0
crude rate of net migration,242,fiji,fj,4,1953,-2493.0
crude rate of net migration,242,fiji,fj,5,1954,-2246.0
crude rate of net migration,242,fiji,fj,6,1955,-2011.0
crude rate of net migration,242,fiji,fj,7,1956,-1814.0
crude rate of net migration,242,fiji,fj,8,1957,-2108.0
crude rate of net migration,242,fiji,fj,9,1958,-2219.0
crude rate of net migration,242,fiji,fj,10,1959,-2175.0
crude rate of net migration,242,fiji,fj,11,1960,-2063.0
crude rate of net migration,242,fiji,fj,12,1961,-1863.0
crude rate of net migration,242,fiji,fj,13,1962,-1635.0
crude rate of net migration,242,fiji,fj,14,1963,-1449.0
crude rate of net migration,242,fiji,fj,15,1964,-1357.0
crude rate of net migration,242,fiji,fj,16,1965,-1723.0
crude rate of net migration,242,fiji,fj,17,1966,-3295.0
crude rate of net migration,242,fiji,fj,18,1967,-5316.0
crude rate of net migration,242,fiji,fj,19,1968,-6283.0
crude rate of net migration,242,fiji,fj,20,1969,-6523.0
crude rate of net migration,242,fiji,fj,21,1970,-6806.0
crude rate of net migration,242,fiji,fj,22,1971,-7079.0
crude rate of net migration,242,fiji,fj,23,1972,-7333.0
crude rate of net migration,242,fiji,fj,24,1973,-7579.0
crude rate of net migration,242,fiji,fj,25,1974,-7855.0
crude rate of net migration,242,fiji,fj,26,1975,-7552.0
crude rate of net migration,242,fiji,fj,27,1976,-5.66
crude rate of net migration,242,fiji,fj,28,1977,-3216.0
crude rate of net migration,242,fiji,fj,29,1978,-2286.0
crude rate of net migration,242,fiji,fj,30,1979,-2293.0
crude rate of net migration,242,fiji,fj,31,1980,-2231.0
crude rate of net migration,242,fiji,fj,32,1981,-2154.0
crude rate of net migration,242,fiji,fj,33,1982,-2073.0
crude rate of net migration,242,fiji,fj,34,1983,-2013.0
crude rate of net migration,242,fiji,fj,35,1984,-1.96
crude rate of net migration,242,fiji,fj,36,1985,-2.75
crude rate of net migration,242,fiji,fj,37,1986,-6129.0
crude rate of net migration,242,fiji,fj,38,1987,-10441.0
crude rate of net migration,242,fiji,fj,39,1988,-12492.0
crude rate of net migration,242,fiji,fj,40,1989,-13024.0
crude rate of net migration,242,fiji,fj,41,1990,-13506.0
crude rate of net migration,242,fiji,fj,42,1991,-20796.0
crude rate of net migration,242,fiji,fj,43,1992,-18445.0
crude rate of net migration,242,fiji,fj,44,1993,-18741.0
crude rate of net migration,242,fiji,fj,45,1994,-19004.0
crude rate of net migration,242,fiji,fj,46,1995,-18231.0
crude rate of net migration,242,fiji,fj,47,1996,-11341.0
crude rate of net migration,242,fiji,fj,48,1997,-8084.0
crude rate of net migration,242,fiji,fj,49,1998,-6993.0
crude rate of net migration,242,fiji,fj,50,1999,-7171.0
crude rate of net migration,242,fiji,fj,51,2000,-7278.0
crude rate of net migration,242,fiji,fj,52,2001,-7.35
crude rate of net migration,242,fiji,fj,53,2002,-7442.0
crude rate of net migration,242,fiji,fj,54,2003,-7559.0
crude rate of net migration,242,fiji,fj,55,2004,-7631.0
crude rate of net migration,242,fiji,fj,56,2005,-7662.0
crude rate of net migration,242,fiji,fj,57,2006,-7912.0
crude rate of net migration,242,fiji,fj,58,2007,-9054.0
crude rate of net migration,242,fiji,fj,59,2008,-10676.0
crude rate of net migration,242,fiji,fj,60,2009,-11522.0
crude rate of net migration,242,fiji,fj,61,2010,-11716.0
crude rate of net migration,242,fiji,fj,62,2011,-11.86
crude rate of net migration,242,fiji,fj,63,2012,-11942.0
crude rate of net migration,242,fiji,fj,64,2013,-11.97
crude rate of net migration,242,fiji,fj,65,2014,-11968.0
crude rate of net migration,242,fiji,fj,66,2015,-11973.0
crude rate of net migration,242,fiji,fj,67,2016,-12058.0
crude rate of net migration,242,fiji,fj,68,2017,-12.55
crude rate of net migration,242,fiji,fj,69,2018,-12693.0
crude rate of net migration,242,fiji,fj,70,2019,-12836.0
crude rate of net migration,242,fiji,fj,71,2020,-6502.0
crude rate of net migration,242,fiji,fj,72,2021,-6472.0
crude rate of net migration,242,fiji,fj,73,2022,-3818.0
crude rate of net migration,242,fiji,fj,74,2023,-3506.0
