indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,242,fiji,fj,1,1950,-1002.0
total net number of migrants,242,fiji,fj,2,1951,-932.0
total net number of migrants,242,fiji,fj,3,1952,-867.0
total net number of migrants,242,fiji,fj,4,1953,-814.0
total net number of migrants,242,fiji,fj,5,1954,-752.0
total net number of migrants,242,fiji,fj,6,1955,-692.0
total net number of migrants,242,fiji,fj,7,1956,-643.0
total net number of migrants,242,fiji,fj,8,1957,-771.0
total net number of migrants,242,fiji,fj,9,1958,-838.0
total net number of migrants,242,fiji,fj,10,1959,-848.0
total net number of migrants,242,fiji,fj,11,1960,-830.0
total net number of migrants,242,fiji,fj,12,1961,-773.0
total net number of migrants,242,fiji,fj,13,1962,-700.0
total net number of migrants,242,fiji,fj,14,1963,-640.0
total net number of migrants,242,fiji,fj,15,1964,-618.0
total net number of migrants,242,fiji,fj,16,1965,-809.0
total net number of migrants,242,fiji,fj,17,1966,-1592.0
total net number of migrants,242,fiji,fj,18,1967,-2636.0
total net number of migrants,242,fiji,fj,19,1968,-3189.0
total net number of migrants,242,fiji,fj,20,1969,-3383.0
total net number of migrants,242,fiji,fj,21,1970,-3603.0
total net number of migrants,242,fiji,fj,22,1971,-3822.0
total net number of migrants,242,fiji,fj,23,1972,-4032.0
total net number of migrants,242,fiji,fj,24,1973,-4239.0
total net number of migrants,242,fiji,fj,25,1974,-4466.0
total net number of migrants,242,fiji,fj,26,1975,-4367.0
total net number of migrants,242,fiji,fj,27,1976,-3331.0
total net number of migrants,242,fiji,fj,28,1977,-1931.0
total net number of migrants,242,fiji,fj,29,1978,-1405.0
total net number of migrants,242,fiji,fj,30,1979,-1444.0
total net number of migrants,242,fiji,fj,31,1980,-1440.0
total net number of migrants,242,fiji,fj,32,1981,-1425.0
total net number of migrants,242,fiji,fj,33,1982,-1405.0
total net number of migrants,242,fiji,fj,34,1983,-1398.0
total net number of migrants,242,fiji,fj,35,1984,-1394.0
total net number of migrants,242,fiji,fj,36,1985,-2003.0
total net number of migrants,242,fiji,fj,37,1986,-4565.0
total net number of migrants,242,fiji,fj,38,1987,-7923.0
total net number of migrants,242,fiji,fj,39,1988,-9608.0
total net number of migrants,242,fiji,fj,40,1989,-10129.0
total net number of migrants,242,fiji,fj,41,1990,-10612.0
total net number of migrants,242,fiji,fj,42,1991,-16491.0
total net number of migrants,242,fiji,fj,43,1992,-14646.0
total net number of migrants,242,fiji,fj,44,1993,-14927.0
total net number of migrants,242,fiji,fj,45,1994,-15170.0
total net number of migrants,242,fiji,fj,46,1995,-14575.0
total net number of migrants,242,fiji,fj,47,1996,-9085.0
total net number of migrants,242,fiji,fj,48,1997,-6530.0
total net number of migrants,242,fiji,fj,49,1998,-5711.0
total net number of migrants,242,fiji,fj,50,1999,-5926.0
total net number of migrants,242,fiji,fj,51,2000,-6081.0
total net number of migrants,242,fiji,fj,52,2001,-6207.0
total net number of migrants,242,fiji,fj,53,2002,-6349.0
total net number of migrants,242,fiji,fj,54,2003,-6513.0
total net number of migrants,242,fiji,fj,55,2004,-6639.0
total net number of migrants,242,fiji,fj,56,2005,-6729.0
total net number of migrants,242,fiji,fj,57,2006,-7016.0
total net number of migrants,242,fiji,fj,58,2007,-8101.0
total net number of migrants,242,fiji,fj,59,2008,-9625.0
total net number of migrants,242,fiji,fj,60,2009,-10445.0
total net number of migrants,242,fiji,fj,61,2010,-10666.0
total net number of migrants,242,fiji,fj,62,2011,-10836.0
total net number of migrants,242,fiji,fj,63,2012,-10945.0
total net number of migrants,242,fiji,fj,64,2013,-11000.0
total net number of migrants,242,fiji,fj,65,2014,-11023.0
total net number of migrants,242,fiji,fj,66,2015,-11047.0
total net number of migrants,242,fiji,fj,67,2016,-11139.0
total net number of migrants,242,fiji,fj,68,2017,-11605.0
total net number of migrants,242,fiji,fj,69,2018,-11738.0
total net number of migrants,242,fiji,fj,70,2019,-11865.0
total net number of migrants,242,fiji,fj,71,2020,-6003.0
total net number of migrants,242,fiji,fj,72,2021,-6003.0
total net number of migrants,242,fiji,fj,73,2022,-3557.0
total net number of migrants,242,fiji,fj,74,2023,-3289.0
