indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,246,finland,fi,1,1950,-12650.0
total net number of migrants,246,finland,fi,2,1951,-18127.0
total net number of migrants,246,finland,fi,3,1952,-3757.0
total net number of migrants,246,finland,fi,4,1953,-4889.0
total net number of migrants,246,finland,fi,5,1954,-3290.0
total net number of migrants,246,finland,fi,6,1955,-2591.0
total net number of migrants,246,finland,fi,7,1956,-3788.0
total net number of migrants,246,finland,fi,8,1957,-8027.0
total net number of migrants,246,finland,fi,9,1958,-9730.0
total net number of migrants,246,finland,fi,10,1959,-7583.0
total net number of migrants,246,finland,fi,11,1960,-9445.0
total net number of migrants,246,finland,fi,12,1961,-10994.0
total net number of migrants,246,finland,fi,13,1962,-6962.0
total net number of migrants,246,finland,fi,14,1963,-7591.0
total net number of migrants,246,finland,fi,15,1964,-20338.0
total net number of migrants,246,finland,fi,16,1965,-21466.0
total net number of migrants,246,finland,fi,17,1966,-11903.0
total net number of migrants,246,finland,fi,18,1967,-5024.0
total net number of migrants,246,finland,fi,19,1968,-15787.0
total net number of migrants,246,finland,fi,20,1969,-42127.0
total net number of migrants,246,finland,fi,21,1970,-36633.0
total net number of migrants,246,finland,fi,22,1971,11984.0
total net number of migrants,246,finland,fi,23,1972,12597.0
total net number of migrants,246,finland,fi,24,1973,11639.0
total net number of migrants,246,finland,fi,25,1974,5920.0
total net number of migrants,246,finland,fi,26,1975,-3788.0
total net number of migrants,246,finland,fi,27,1976,-12180.0
total net number of migrants,246,finland,fi,28,1977,-5676.0
total net number of migrants,246,finland,fi,29,1978,-9666.0
total net number of migrants,246,finland,fi,30,1979,-6722.0
total net number of migrants,246,finland,fi,31,1980,-2259.0
total net number of migrants,246,finland,fi,32,1981,5221.0
total net number of migrants,246,finland,fi,33,1982,7011.0
total net number of migrants,246,finland,fi,34,1983,6778.0
total net number of migrants,246,finland,fi,35,1984,3918.0
total net number of migrants,246,finland,fi,36,1985,2343.0
total net number of migrants,246,finland,fi,37,1986,1438.0
total net number of migrants,246,finland,fi,38,1987,764.0
total net number of migrants,246,finland,fi,39,1988,1743.0
total net number of migrants,246,finland,fi,40,1989,5684.0
total net number of migrants,246,finland,fi,41,1990,8864.0
total net number of migrants,246,finland,fi,42,1991,14401.0
total net number of migrants,246,finland,fi,43,1992,9296.0
total net number of migrants,246,finland,fi,44,1993,8887.0
total net number of migrants,246,finland,fi,45,1994,3688.0
total net number of migrants,246,finland,fi,46,1995,4250.0
total net number of migrants,246,finland,fi,47,1996,3612.0
total net number of migrants,246,finland,fi,48,1997,5014.0
total net number of migrants,246,finland,fi,49,1998,3887.0
total net number of migrants,246,finland,fi,50,1999,3532.0
total net number of migrants,246,finland,fi,51,2000,2428.0
total net number of migrants,246,finland,fi,52,2001,6395.0
total net number of migrants,246,finland,fi,53,2002,5250.0
total net number of migrants,246,finland,fi,54,2003,6039.0
total net number of migrants,246,finland,fi,55,2004,6872.0
total net number of migrants,246,finland,fi,56,2005,9406.0
total net number of migrants,246,finland,fi,57,2006,10801.0
total net number of migrants,246,finland,fi,58,2007,13940.0
total net number of migrants,246,finland,fi,59,2008,15579.0
total net number of migrants,246,finland,fi,60,2009,14757.0
total net number of migrants,246,finland,fi,61,2010,14053.0
total net number of migrants,246,finland,fi,62,2011,16712.0
total net number of migrants,246,finland,fi,63,2012,17620.0
total net number of migrants,246,finland,fi,64,2013,18026.0
total net number of migrants,246,finland,fi,65,2014,15950.0
total net number of migrants,246,finland,fi,66,2015,12433.0
total net number of migrants,246,finland,fi,67,2016,17210.0
total net number of migrants,246,finland,fi,68,2017,13307.0
total net number of migrants,246,finland,fi,69,2018,11646.0
total net number of migrants,246,finland,fi,70,2019,15558.0
total net number of migrants,246,finland,fi,71,2020,17482.0
total net number of migrants,246,finland,fi,72,2021,14928.0
total net number of migrants,246,finland,fi,73,2022,13999.0
total net number of migrants,246,finland,fi,74,2023,13999.0
