indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,250,france,fr,1,1950,1122.0
crude rate of net migration,250,france,fr,2,1951,44958.0
crude rate of net migration,250,france,fr,3,1952,1313.0
crude rate of net migration,250,france,fr,4,1953,1466.0
crude rate of net migration,250,france,fr,5,1954,1661.0
crude rate of net migration,250,france,fr,6,1955,1882.0
crude rate of net migration,250,france,fr,7,1956,2138.0
crude rate of net migration,250,france,fr,8,1957,2441.0
crude rate of net migration,250,france,fr,9,1958,27791.0
crude rate of net migration,250,france,fr,10,1959,3129.0
crude rate of net migration,250,france,fr,11,1960,3529.0
crude rate of net migration,250,france,fr,12,1961,3863.0
crude rate of net migration,250,france,fr,13,1962,4081.0
crude rate of net migration,250,france,fr,14,1963,4227.0
crude rate of net migration,250,france,fr,15,1964,4271.0
crude rate of net migration,250,france,fr,16,1965,4213.0
crude rate of net migration,250,france,fr,17,1966,4062.0
crude rate of net migration,250,france,fr,18,1967,3834.0
crude rate of net migration,250,france,fr,19,1968,3544.0
crude rate of net migration,250,france,fr,20,1969,3152.0
crude rate of net migration,250,france,fr,21,1970,2695.0
crude rate of net migration,250,france,fr,22,1971,46419.0
crude rate of net migration,250,france,fr,23,1972,1903.0
crude rate of net migration,250,france,fr,24,1973,1589.0
crude rate of net migration,250,france,fr,25,1974,1344.0
crude rate of net migration,250,france,fr,26,1975,1164.0
crude rate of net migration,250,france,fr,27,1976,1035.0
crude rate of net migration,250,france,fr,28,1977,958.0
crude rate of net migration,250,france,fr,29,1978,907.0
crude rate of net migration,250,france,fr,30,1979,929.0
crude rate of net migration,250,france,fr,31,1980,994.0
crude rate of net migration,250,france,fr,32,1981,44927.0
crude rate of net migration,250,france,fr,33,1982,1013.0
crude rate of net migration,250,france,fr,34,1983,1007.0
crude rate of net migration,250,france,fr,35,1984,976.0
crude rate of net migration,250,france,fr,36,1985,915.0
crude rate of net migration,250,france,fr,37,1986,804.0
crude rate of net migration,250,france,fr,38,1987,681.0
crude rate of net migration,250,france,fr,39,1988,552.0
crude rate of net migration,250,france,fr,40,1989,388.0
crude rate of net migration,250,france,fr,41,1990,202.0
crude rate of net migration,250,france,fr,42,1991,77.0
crude rate of net migration,250,france,fr,43,1992,13.0
crude rate of net migration,250,france,fr,44,1993,4.0
crude rate of net migration,250,france,fr,45,1994,75.0
crude rate of net migration,250,france,fr,46,1995,0.2
crude rate of net migration,250,france,fr,47,1996,0.4
crude rate of net migration,250,france,fr,48,1997,654.0
crude rate of net migration,250,france,fr,49,1998,975.0
crude rate of net migration,250,france,fr,50,1999,1332.0
crude rate of net migration,250,france,fr,51,2000,1754.0
crude rate of net migration,250,france,fr,52,2001,2073.0
crude rate of net migration,250,france,fr,53,2002,2319.0
crude rate of net migration,250,france,fr,54,2003,2492.0
crude rate of net migration,250,france,fr,55,2004,2581.0
crude rate of net migration,250,france,fr,56,2005,21217.0
crude rate of net migration,250,france,fr,57,2006,2495.0
crude rate of net migration,250,france,fr,58,2007,2321.0
crude rate of net migration,250,france,fr,59,2008,2086.0
crude rate of net migration,250,france,fr,60,2009,1756.0
crude rate of net migration,250,france,fr,61,2010,1384.0
crude rate of net migration,250,france,fr,62,2011,1039.0
crude rate of net migration,250,france,fr,63,2012,778.0
crude rate of net migration,250,france,fr,64,2013,577.0
crude rate of net migration,250,france,fr,65,2014,418.0
crude rate of net migration,250,france,fr,66,2015,295.0
crude rate of net migration,250,france,fr,67,2016,0.23
crude rate of net migration,250,france,fr,68,2017,205.0
crude rate of net migration,250,france,fr,69,2018,224.0
crude rate of net migration,250,france,fr,70,2019,0.27
crude rate of net migration,250,france,fr,71,2020,284.0
crude rate of net migration,250,france,fr,72,2021,319.0
crude rate of net migration,250,france,fr,73,2022,1031.0
crude rate of net migration,250,france,fr,74,2023,1047.0
