indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,254,french guiana,gf,1,1950,6.0
total net number of migrants,254,french guiana,gf,2,1951,7.0
total net number of migrants,254,french guiana,gf,3,1952,11.0
total net number of migrants,254,french guiana,gf,4,1953,39.0
total net number of migrants,254,french guiana,gf,5,1954,67.0
total net number of migrants,254,french guiana,gf,6,1955,604.0
total net number of migrants,254,french guiana,gf,7,1956,643.0
total net number of migrants,254,french guiana,gf,8,1957,679.0
total net number of migrants,254,french guiana,gf,9,1958,705.0
total net number of migrants,254,french guiana,gf,10,1959,733.0
total net number of migrants,254,french guiana,gf,11,1960,758.0
total net number of migrants,254,french guiana,gf,12,1961,794.0
total net number of migrants,254,french guiana,gf,13,1962,895.0
total net number of migrants,254,french guiana,gf,14,1963,945.0
total net number of migrants,254,french guiana,gf,15,1964,978.0
total net number of migrants,254,french guiana,gf,16,1965,1021.0
total net number of migrants,254,french guiana,gf,17,1966,999.0
total net number of migrants,254,french guiana,gf,18,1967,760.0
total net number of migrants,254,french guiana,gf,19,1968,393.0
total net number of migrants,254,french guiana,gf,20,1969,245.0
total net number of migrants,254,french guiana,gf,21,1970,277.0
total net number of migrants,254,french guiana,gf,22,1971,314.0
total net number of migrants,254,french guiana,gf,23,1972,324.0
total net number of migrants,254,french guiana,gf,24,1973,383.0
total net number of migrants,254,french guiana,gf,25,1974,679.0
total net number of migrants,254,french guiana,gf,26,1975,1075.0
total net number of migrants,254,french guiana,gf,27,1976,1263.0
total net number of migrants,254,french guiana,gf,28,1977,1263.0
total net number of migrants,254,french guiana,gf,29,1978,1262.0
total net number of migrants,254,french guiana,gf,30,1979,1263.0
total net number of migrants,254,french guiana,gf,31,1980,1272.0
total net number of migrants,254,french guiana,gf,32,1981,1580.0
total net number of migrants,254,french guiana,gf,33,1982,2282.0
total net number of migrants,254,french guiana,gf,34,1983,2821.0
total net number of migrants,254,french guiana,gf,35,1984,2992.0
total net number of migrants,254,french guiana,gf,36,1985,3088.0
total net number of migrants,254,french guiana,gf,37,1986,3167.0
total net number of migrants,254,french guiana,gf,38,1987,3218.0
total net number of migrants,254,french guiana,gf,39,1988,3274.0
total net number of migrants,254,french guiana,gf,40,1989,2851.0
total net number of migrants,254,french guiana,gf,41,1990,1879.0
total net number of migrants,254,french guiana,gf,42,1991,1237.0
total net number of migrants,254,french guiana,gf,43,1992,1234.0
total net number of migrants,254,french guiana,gf,44,1993,1334.0
total net number of migrants,254,french guiana,gf,45,1994,1417.0
total net number of migrants,254,french guiana,gf,46,1995,1472.0
total net number of migrants,254,french guiana,gf,47,1996,1504.0
total net number of migrants,254,french guiana,gf,48,1997,1510.0
total net number of migrants,254,french guiana,gf,49,1998,1504.0
total net number of migrants,254,french guiana,gf,50,1999,1495.0
total net number of migrants,254,french guiana,gf,51,2000,2756.0
total net number of migrants,254,french guiana,gf,52,2001,2895.0
total net number of migrants,254,french guiana,gf,53,2002,3053.0
total net number of migrants,254,french guiana,gf,54,2003,2916.0
total net number of migrants,254,french guiana,gf,55,2004,2875.0
total net number of migrants,254,french guiana,gf,56,2005,2720.0
total net number of migrants,254,french guiana,gf,57,2006,401.0
total net number of migrants,254,french guiana,gf,58,2007,-68.0
total net number of migrants,254,french guiana,gf,59,2008,-272.0
total net number of migrants,254,french guiana,gf,60,2009,-569.0
total net number of migrants,254,french guiana,gf,61,2010,-372.0
total net number of migrants,254,french guiana,gf,62,2011,-51.0
total net number of migrants,254,french guiana,gf,63,2012,427.0
total net number of migrants,254,french guiana,gf,64,2013,927.0
total net number of migrants,254,french guiana,gf,65,2014,0.0
total net number of migrants,254,french guiana,gf,66,2015,0.0
total net number of migrants,254,french guiana,gf,67,2016,0.0
total net number of migrants,254,french guiana,gf,68,2017,1162.0
total net number of migrants,254,french guiana,gf,69,2018,1200.0
total net number of migrants,254,french guiana,gf,70,2019,1200.0
total net number of migrants,254,french guiana,gf,71,2020,0.0
total net number of migrants,254,french guiana,gf,72,2021,604.0
total net number of migrants,254,french guiana,gf,73,2022,1200.0
total net number of migrants,254,french guiana,gf,74,2023,1200.0
