indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,266,gabon,ga,1,1950,0.0
total net number of migrants,266,gabon,ga,2,1951,0.0
total net number of migrants,266,gabon,ga,3,1952,0.0
total net number of migrants,266,gabon,ga,4,1953,0.0
total net number of migrants,266,gabon,ga,5,1954,0.0
total net number of migrants,266,gabon,ga,6,1955,0.0
total net number of migrants,266,gabon,ga,7,1956,0.0
total net number of migrants,266,gabon,ga,8,1957,0.0
total net number of migrants,266,gabon,ga,9,1958,0.0
total net number of migrants,266,gabon,ga,10,1959,0.0
total net number of migrants,266,gabon,ga,11,1960,0.0
total net number of migrants,266,gabon,ga,12,1961,0.0
total net number of migrants,266,gabon,ga,13,1962,0.0
total net number of migrants,266,gabon,ga,14,1963,0.0
total net number of migrants,266,gabon,ga,15,1964,0.0
total net number of migrants,266,gabon,ga,16,1965,0.0
total net number of migrants,266,gabon,ga,17,1966,0.0
total net number of migrants,266,gabon,ga,18,1967,0.0
total net number of migrants,266,gabon,ga,19,1968,0.0
total net number of migrants,266,gabon,ga,20,1969,2645.0
total net number of migrants,266,gabon,ga,21,1970,1883.0
total net number of migrants,266,gabon,ga,22,1971,1138.0
total net number of migrants,266,gabon,ga,23,1972,653.0
total net number of migrants,266,gabon,ga,24,1973,613.0
total net number of migrants,266,gabon,ga,25,1974,691.0
total net number of migrants,266,gabon,ga,26,1975,802.0
total net number of migrants,266,gabon,ga,27,1976,909.0
total net number of migrants,266,gabon,ga,28,1977,982.0
total net number of migrants,266,gabon,ga,29,1978,995.0
total net number of migrants,266,gabon,ga,30,1979,995.0
total net number of migrants,266,gabon,ga,31,1980,995.0
total net number of migrants,266,gabon,ga,32,1981,995.0
total net number of migrants,266,gabon,ga,33,1982,995.0
total net number of migrants,266,gabon,ga,34,1983,995.0
total net number of migrants,266,gabon,ga,35,1984,995.0
total net number of migrants,266,gabon,ga,36,1985,995.0
total net number of migrants,266,gabon,ga,37,1986,995.0
total net number of migrants,266,gabon,ga,38,1987,995.0
total net number of migrants,266,gabon,ga,39,1988,995.0
total net number of migrants,266,gabon,ga,40,1989,995.0
total net number of migrants,266,gabon,ga,41,1990,995.0
total net number of migrants,266,gabon,ga,42,1991,995.0
total net number of migrants,266,gabon,ga,43,1992,995.0
total net number of migrants,266,gabon,ga,44,1993,1013.0
total net number of migrants,266,gabon,ga,45,1994,1122.0
total net number of migrants,266,gabon,ga,46,1995,1323.0
total net number of migrants,266,gabon,ga,47,1996,1560.0
total net number of migrants,266,gabon,ga,48,1997,1795.0
total net number of migrants,266,gabon,ga,49,1998,2050.0
total net number of migrants,266,gabon,ga,50,1999,2480.0
total net number of migrants,266,gabon,ga,51,2000,3086.0
total net number of migrants,266,gabon,ga,52,2001,3802.0
total net number of migrants,266,gabon,ga,53,2002,4579.0
total net number of migrants,266,gabon,ga,54,2003,5435.0
total net number of migrants,266,gabon,ga,55,2004,6827.0
total net number of migrants,266,gabon,ga,56,2005,8555.0
total net number of migrants,266,gabon,ga,57,2006,10386.0
total net number of migrants,266,gabon,ga,58,2007,12047.0
total net number of migrants,266,gabon,ga,59,2008,13448.0
total net number of migrants,266,gabon,ga,60,2009,15277.0
total net number of migrants,266,gabon,ga,61,2010,17266.0
total net number of migrants,266,gabon,ga,62,2011,18969.0
total net number of migrants,266,gabon,ga,63,2012,19971.0
total net number of migrants,266,gabon,ga,64,2013,19581.0
total net number of migrants,266,gabon,ga,65,2014,16566.0
total net number of migrants,266,gabon,ga,66,2015,12041.0
total net number of migrants,266,gabon,ga,67,2016,7395.0
total net number of migrants,266,gabon,ga,68,2017,4019.0
total net number of migrants,266,gabon,ga,69,2018,2893.0
total net number of migrants,266,gabon,ga,70,2019,2230.0
total net number of migrants,266,gabon,ga,71,2020,1514.0
total net number of migrants,266,gabon,ga,72,2021,1516.0
total net number of migrants,266,gabon,ga,73,2022,1000.0
total net number of migrants,266,gabon,ga,74,2023,1000.0
