indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,270,gambia,gm,1,1950,7463.0
crude rate of net migration,270,gambia,gm,2,1951,7278.0
crude rate of net migration,270,gambia,gm,3,1952,7092.0
crude rate of net migration,270,gambia,gm,4,1953,6909.0
crude rate of net migration,270,gambia,gm,5,1954,6728.0
crude rate of net migration,270,gambia,gm,6,1955,6552.0
crude rate of net migration,270,gambia,gm,7,1956,14032.0
crude rate of net migration,270,gambia,gm,8,1957,6212.0
crude rate of net migration,270,gambia,gm,9,1958,6047.0
crude rate of net migration,270,gambia,gm,10,1959,5885.0
crude rate of net migration,270,gambia,gm,11,1960,5725.0
crude rate of net migration,270,gambia,gm,12,1961,5569.0
crude rate of net migration,270,gambia,gm,13,1962,5417.0
crude rate of net migration,270,gambia,gm,14,1963,5269.0
crude rate of net migration,270,gambia,gm,15,1964,5125.0
crude rate of net migration,270,gambia,gm,16,1965,4984.0
crude rate of net migration,270,gambia,gm,17,1966,4848.0
crude rate of net migration,270,gambia,gm,18,1967,5404.0
crude rate of net migration,270,gambia,gm,19,1968,5435.0
crude rate of net migration,270,gambia,gm,20,1969,5381.0
crude rate of net migration,270,gambia,gm,21,1970,5278.0
crude rate of net migration,270,gambia,gm,22,1971,5193.0
crude rate of net migration,270,gambia,gm,23,1972,5116.0
crude rate of net migration,270,gambia,gm,24,1973,5039.0
crude rate of net migration,270,gambia,gm,25,1974,4389.0
crude rate of net migration,270,gambia,gm,26,1975,4873.0
crude rate of net migration,270,gambia,gm,27,1976,5458.0
crude rate of net migration,270,gambia,gm,28,1977,6107.0
crude rate of net migration,270,gambia,gm,29,1978,6692.0
crude rate of net migration,270,gambia,gm,30,1979,7083.0
crude rate of net migration,270,gambia,gm,31,1980,7354.0
crude rate of net migration,270,gambia,gm,32,1981,7343.0
crude rate of net migration,270,gambia,gm,33,1982,7511.0
crude rate of net migration,270,gambia,gm,34,1983,8479.0
crude rate of net migration,270,gambia,gm,35,1984,9426.0
crude rate of net migration,270,gambia,gm,36,1985,9829.0
crude rate of net migration,270,gambia,gm,37,1986,10096.0
crude rate of net migration,270,gambia,gm,38,1987,10397.0
crude rate of net migration,270,gambia,gm,39,1988,10655.0
crude rate of net migration,270,gambia,gm,40,1989,10828.0
crude rate of net migration,270,gambia,gm,41,1990,10857.0
crude rate of net migration,270,gambia,gm,42,1991,10697.0
crude rate of net migration,270,gambia,gm,43,1992,8176.0
crude rate of net migration,270,gambia,gm,44,1993,2682.0
crude rate of net migration,270,gambia,gm,45,1994,-1318.0
crude rate of net migration,270,gambia,gm,46,1995,-2251.0
crude rate of net migration,270,gambia,gm,47,1996,-2304.0
crude rate of net migration,270,gambia,gm,48,1997,-2349.0
crude rate of net migration,270,gambia,gm,49,1998,-2422.0
crude rate of net migration,270,gambia,gm,50,1999,-2492.0
crude rate of net migration,270,gambia,gm,51,2000,-2553.0
crude rate of net migration,270,gambia,gm,52,2001,-2615.0
crude rate of net migration,270,gambia,gm,53,2002,-2668.0
crude rate of net migration,270,gambia,gm,54,2003,-2369.0
crude rate of net migration,270,gambia,gm,55,2004,-2249.0
crude rate of net migration,270,gambia,gm,56,2005,-1927.0
crude rate of net migration,270,gambia,gm,57,2006,-1557.0
crude rate of net migration,270,gambia,gm,58,2007,-1316.0
crude rate of net migration,270,gambia,gm,59,2008,-1209.0
crude rate of net migration,270,gambia,gm,60,2009,-1206.0
crude rate of net migration,270,gambia,gm,61,2010,-1271.0
crude rate of net migration,270,gambia,gm,62,2011,-1182.0
crude rate of net migration,270,gambia,gm,63,2012,-1135.0
crude rate of net migration,270,gambia,gm,64,2013,-1169.0
crude rate of net migration,270,gambia,gm,65,2014,-1277.0
crude rate of net migration,270,gambia,gm,66,2015,-1.43
crude rate of net migration,270,gambia,gm,67,2016,-1499.0
crude rate of net migration,270,gambia,gm,68,2017,-1.55
crude rate of net migration,270,gambia,gm,69,2018,-1608.0
crude rate of net migration,270,gambia,gm,70,2019,-1667.0
crude rate of net migration,270,gambia,gm,71,2020,-761.0
crude rate of net migration,270,gambia,gm,72,2021,-742.0
crude rate of net migration,270,gambia,gm,73,2022,-1108.0
crude rate of net migration,270,gambia,gm,74,2023,-1081.0
