indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,288,ghana,gh,1,1950,14249.0
total net number of migrants,288,ghana,gh,2,1951,13855.0
total net number of migrants,288,ghana,gh,3,1952,12243.0
total net number of migrants,288,ghana,gh,4,1953,9076.0
total net number of migrants,288,ghana,gh,5,1954,9763.0
total net number of migrants,288,ghana,gh,6,1955,9572.0
total net number of migrants,288,ghana,gh,7,1956,9486.0
total net number of migrants,288,ghana,gh,8,1957,8904.0
total net number of migrants,288,ghana,gh,9,1958,3743.0
total net number of migrants,288,ghana,gh,10,1959,10472.0
total net number of migrants,288,ghana,gh,11,1960,12176.0
total net number of migrants,288,ghana,gh,12,1961,-48780.0
total net number of migrants,288,ghana,gh,13,1962,-48017.0
total net number of migrants,288,ghana,gh,14,1963,-46510.0
total net number of migrants,288,ghana,gh,15,1964,-43475.0
total net number of migrants,288,ghana,gh,16,1965,-38520.0
total net number of migrants,288,ghana,gh,17,1966,-38136.0
total net number of migrants,288,ghana,gh,18,1967,-35668.0
total net number of migrants,288,ghana,gh,19,1968,-36684.0
total net number of migrants,288,ghana,gh,20,1969,-28746.0
total net number of migrants,288,ghana,gh,21,1970,-10239.0
total net number of migrants,288,ghana,gh,22,1971,-12234.0
total net number of migrants,288,ghana,gh,23,1972,-4596.0
total net number of migrants,288,ghana,gh,24,1973,-1169.0
total net number of migrants,288,ghana,gh,25,1974,-1197.0
total net number of migrants,288,ghana,gh,26,1975,-290.0
total net number of migrants,288,ghana,gh,27,1976,-2533.0
total net number of migrants,288,ghana,gh,28,1977,15245.0
total net number of migrants,288,ghana,gh,29,1978,18037.0
total net number of migrants,288,ghana,gh,30,1979,20291.0
total net number of migrants,288,ghana,gh,31,1980,-13567.0
total net number of migrants,288,ghana,gh,32,1981,-12300.0
total net number of migrants,288,ghana,gh,33,1982,7862.0
total net number of migrants,288,ghana,gh,34,1983,15279.0
total net number of migrants,288,ghana,gh,35,1984,-105676.0
total net number of migrants,288,ghana,gh,36,1985,-106911.0
total net number of migrants,288,ghana,gh,37,1986,-98157.0
total net number of migrants,288,ghana,gh,38,1987,-84713.0
total net number of migrants,288,ghana,gh,39,1988,-64855.0
total net number of migrants,288,ghana,gh,40,1989,-52328.0
total net number of migrants,288,ghana,gh,41,1990,-46822.0
total net number of migrants,288,ghana,gh,42,1991,-57922.0
total net number of migrants,288,ghana,gh,43,1992,-47772.0
total net number of migrants,288,ghana,gh,44,1993,-49825.0
total net number of migrants,288,ghana,gh,45,1994,-47170.0
total net number of migrants,288,ghana,gh,46,1995,-42594.0
total net number of migrants,288,ghana,gh,47,1996,-37148.0
total net number of migrants,288,ghana,gh,48,1997,-15423.0
total net number of migrants,288,ghana,gh,49,1998,-17583.0
total net number of migrants,288,ghana,gh,50,1999,-17306.0
total net number of migrants,288,ghana,gh,51,2000,-4208.0
total net number of migrants,288,ghana,gh,52,2001,36057.0
total net number of migrants,288,ghana,gh,53,2002,40580.0
total net number of migrants,288,ghana,gh,54,2003,28764.0
total net number of migrants,288,ghana,gh,55,2004,34434.0
total net number of migrants,288,ghana,gh,56,2005,21273.0
total net number of migrants,288,ghana,gh,57,2006,28539.0
total net number of migrants,288,ghana,gh,58,2007,32815.0
total net number of migrants,288,ghana,gh,59,2008,30509.0
total net number of migrants,288,ghana,gh,60,2009,22415.0
total net number of migrants,288,ghana,gh,61,2010,-3724.0
total net number of migrants,288,ghana,gh,62,2011,-733.0
total net number of migrants,288,ghana,gh,63,2012,1008.0
total net number of migrants,288,ghana,gh,64,2013,-2388.0
total net number of migrants,288,ghana,gh,65,2014,-6316.0
total net number of migrants,288,ghana,gh,66,2015,-13308.0
total net number of migrants,288,ghana,gh,67,2016,7014.0
total net number of migrants,288,ghana,gh,68,2017,-4914.0
total net number of migrants,288,ghana,gh,69,2018,-19374.0
total net number of migrants,288,ghana,gh,70,2019,-21860.0
total net number of migrants,288,ghana,gh,71,2020,-297.0
total net number of migrants,288,ghana,gh,72,2021,-11253.0
total net number of migrants,288,ghana,gh,73,2022,-9999.0
total net number of migrants,288,ghana,gh,74,2023,-9999.0
