indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,292,gibraltar,gi,1,1950,-1067.0
total net number of migrants,292,gibraltar,gi,2,1951,-122.0
total net number of migrants,292,gibraltar,gi,3,1952,-134.0
total net number of migrants,292,gibraltar,gi,4,1953,-142.0
total net number of migrants,292,gibraltar,gi,5,1954,-140.0
total net number of migrants,292,gibraltar,gi,6,1955,-136.0
total net number of migrants,292,gibraltar,gi,7,1956,-162.0
total net number of migrants,292,gibraltar,gi,8,1957,-199.0
total net number of migrants,292,gibraltar,gi,9,1958,-233.0
total net number of migrants,292,gibraltar,gi,10,1959,-242.0
total net number of migrants,292,gibraltar,gi,11,1960,-259.0
total net number of migrants,292,gibraltar,gi,12,1961,-154.0
total net number of migrants,292,gibraltar,gi,13,1962,216.0
total net number of migrants,292,gibraltar,gi,14,1963,154.0
total net number of migrants,292,gibraltar,gi,15,1964,177.0
total net number of migrants,292,gibraltar,gi,16,1965,156.0
total net number of migrants,292,gibraltar,gi,17,1966,223.0
total net number of migrants,292,gibraltar,gi,18,1967,266.0
total net number of migrants,292,gibraltar,gi,19,1968,249.0
total net number of migrants,292,gibraltar,gi,20,1969,240.0
total net number of migrants,292,gibraltar,gi,21,1970,152.0
total net number of migrants,292,gibraltar,gi,22,1971,-82.0
total net number of migrants,292,gibraltar,gi,23,1972,-75.0
total net number of migrants,292,gibraltar,gi,24,1973,-84.0
total net number of migrants,292,gibraltar,gi,25,1974,-84.0
total net number of migrants,292,gibraltar,gi,26,1975,-120.0
total net number of migrants,292,gibraltar,gi,27,1976,-109.0
total net number of migrants,292,gibraltar,gi,28,1977,-160.0
total net number of migrants,292,gibraltar,gi,29,1978,-198.0
total net number of migrants,292,gibraltar,gi,30,1979,-238.0
total net number of migrants,292,gibraltar,gi,31,1980,-300.0
total net number of migrants,292,gibraltar,gi,32,1981,-323.0
total net number of migrants,292,gibraltar,gi,33,1982,-349.0
total net number of migrants,292,gibraltar,gi,34,1983,-397.0
total net number of migrants,292,gibraltar,gi,35,1984,-432.0
total net number of migrants,292,gibraltar,gi,36,1985,-466.0
total net number of migrants,292,gibraltar,gi,37,1986,-508.0
total net number of migrants,292,gibraltar,gi,38,1987,-525.0
total net number of migrants,292,gibraltar,gi,39,1988,-580.0
total net number of migrants,292,gibraltar,gi,40,1989,-583.0
total net number of migrants,292,gibraltar,gi,41,1990,-666.0
total net number of migrants,292,gibraltar,gi,42,1991,-526.0
total net number of migrants,292,gibraltar,gi,43,1992,-60.0
total net number of migrants,292,gibraltar,gi,44,1993,-122.0
total net number of migrants,292,gibraltar,gi,45,1994,-134.0
total net number of migrants,292,gibraltar,gi,46,1995,-150.0
total net number of migrants,292,gibraltar,gi,47,1996,-186.0
total net number of migrants,292,gibraltar,gi,48,1997,-187.0
total net number of migrants,292,gibraltar,gi,49,1998,-167.0
total net number of migrants,292,gibraltar,gi,50,1999,-157.0
total net number of migrants,292,gibraltar,gi,51,2000,-147.0
total net number of migrants,292,gibraltar,gi,52,2001,-215.0
total net number of migrants,292,gibraltar,gi,53,2002,312.0
total net number of migrants,292,gibraltar,gi,54,2003,318.0
total net number of migrants,292,gibraltar,gi,55,2004,319.0
total net number of migrants,292,gibraltar,gi,56,2005,328.0
total net number of migrants,292,gibraltar,gi,57,2006,323.0
total net number of migrants,292,gibraltar,gi,58,2007,333.0
total net number of migrants,292,gibraltar,gi,59,2008,300.0
total net number of migrants,292,gibraltar,gi,60,2009,299.0
total net number of migrants,292,gibraltar,gi,61,2010,325.0
total net number of migrants,292,gibraltar,gi,62,2011,270.0
total net number of migrants,292,gibraltar,gi,63,2012,298.0
total net number of migrants,292,gibraltar,gi,64,2013,-101.0
total net number of migrants,292,gibraltar,gi,65,2014,-101.0
total net number of migrants,292,gibraltar,gi,66,2015,-101.0
total net number of migrants,292,gibraltar,gi,67,2016,-101.0
total net number of migrants,292,gibraltar,gi,68,2017,-58.0
total net number of migrants,292,gibraltar,gi,69,2018,-58.0
total net number of migrants,292,gibraltar,gi,70,2019,-58.0
total net number of migrants,292,gibraltar,gi,71,2020,-58.0
total net number of migrants,292,gibraltar,gi,72,2021,-58.0
total net number of migrants,292,gibraltar,gi,73,2022,-24.0
total net number of migrants,292,gibraltar,gi,74,2023,-24.0
