indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,300,greece,gr,1,1950,45171.0
crude rate of net migration,300,greece,gr,2,1951,2136.0
crude rate of net migration,300,greece,gr,3,1952,1913.0
crude rate of net migration,300,greece,gr,4,1953,1592.0
crude rate of net migration,300,greece,gr,5,1954,1092.0
crude rate of net migration,300,greece,gr,6,1955,379.0
crude rate of net migration,300,greece,gr,7,1956,-479.0
crude rate of net migration,300,greece,gr,8,1957,-1509.0
crude rate of net migration,300,greece,gr,9,1958,-2823.0
crude rate of net migration,300,greece,gr,10,1959,-4346.0
crude rate of net migration,300,greece,gr,11,1960,-5993.0
crude rate of net migration,300,greece,gr,12,1961,-7854.0
crude rate of net migration,300,greece,gr,13,1962,-9191.0
crude rate of net migration,300,greece,gr,14,1963,-9.96
crude rate of net migration,300,greece,gr,15,1964,-10.27
crude rate of net migration,300,greece,gr,16,1965,-10.18
crude rate of net migration,300,greece,gr,17,1966,-9693.0
crude rate of net migration,300,greece,gr,18,1967,-8887.0
crude rate of net migration,300,greece,gr,19,1968,-7783.0
crude rate of net migration,300,greece,gr,20,1969,-6.42
crude rate of net migration,300,greece,gr,21,1970,-4814.0
crude rate of net migration,300,greece,gr,22,1971,-3014.0
crude rate of net migration,300,greece,gr,23,1972,-1413.0
crude rate of net migration,300,greece,gr,24,1973,-2.0
crude rate of net migration,300,greece,gr,25,1974,1291.0
crude rate of net migration,300,greece,gr,26,1975,2416.0
crude rate of net migration,300,greece,gr,27,1976,3468.0
crude rate of net migration,300,greece,gr,28,1977,4338.0
crude rate of net migration,300,greece,gr,29,1978,5076.0
crude rate of net migration,300,greece,gr,30,1979,5673.0
crude rate of net migration,300,greece,gr,31,1980,6121.0
crude rate of net migration,300,greece,gr,32,1981,6274.0
crude rate of net migration,300,greece,gr,33,1982,6429.0
crude rate of net migration,300,greece,gr,34,1983,20607.0
crude rate of net migration,300,greece,gr,35,1984,6701.0
crude rate of net migration,300,greece,gr,36,1985,6825.0
crude rate of net migration,300,greece,gr,37,1986,6911.0
crude rate of net migration,300,greece,gr,38,1987,7028.0
crude rate of net migration,300,greece,gr,39,1988,7141.0
crude rate of net migration,300,greece,gr,40,1989,7257.0
crude rate of net migration,300,greece,gr,41,1990,45839.0
crude rate of net migration,300,greece,gr,42,1991,7244.0
crude rate of net migration,300,greece,gr,43,1992,7082.0
crude rate of net migration,300,greece,gr,44,1993,6964.0
crude rate of net migration,300,greece,gr,45,1994,6731.0
crude rate of net migration,300,greece,gr,46,1995,6473.0
crude rate of net migration,300,greece,gr,47,1996,6069.0
crude rate of net migration,300,greece,gr,48,1997,5576.0
crude rate of net migration,300,greece,gr,49,1998,4971.0
crude rate of net migration,300,greece,gr,50,1999,4208.0
crude rate of net migration,300,greece,gr,51,2000,3248.0
crude rate of net migration,300,greece,gr,52,2001,2225.0
crude rate of net migration,300,greece,gr,53,2002,1417.0
crude rate of net migration,300,greece,gr,54,2003,639.0
crude rate of net migration,300,greece,gr,55,2004,-99.0
crude rate of net migration,300,greece,gr,56,2005,-0.68
crude rate of net migration,300,greece,gr,57,2006,-1233.0
crude rate of net migration,300,greece,gr,58,2007,-1684.0
crude rate of net migration,300,greece,gr,59,2008,-1982.0
crude rate of net migration,300,greece,gr,60,2009,-2153.0
crude rate of net migration,300,greece,gr,61,2010,-2263.0
crude rate of net migration,300,greece,gr,62,2011,-2383.0
crude rate of net migration,300,greece,gr,63,2012,-2736.0
crude rate of net migration,300,greece,gr,64,2013,-2886.0
crude rate of net migration,300,greece,gr,65,2014,-2779.0
crude rate of net migration,300,greece,gr,66,2015,-2709.0
crude rate of net migration,300,greece,gr,67,2016,-2.53
crude rate of net migration,300,greece,gr,68,2017,-2341.0
crude rate of net migration,300,greece,gr,69,2018,-2217.0
crude rate of net migration,300,greece,gr,70,2019,-2039.0
crude rate of net migration,300,greece,gr,71,2020,-1697.0
crude rate of net migration,300,greece,gr,72,2021,-1417.0
crude rate of net migration,300,greece,gr,73,2022,482.0
crude rate of net migration,300,greece,gr,74,2023,484.0
