indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,304,greenland,gl,1,1950,-11607.0
crude rate of net migration,304,greenland,gl,2,1951,4202.0
crude rate of net migration,304,greenland,gl,3,1952,124.0
crude rate of net migration,304,greenland,gl,4,1953,-121.0
crude rate of net migration,304,greenland,gl,5,1954,-899.0
crude rate of net migration,304,greenland,gl,6,1955,-2159.0
crude rate of net migration,304,greenland,gl,7,1956,5525.0
crude rate of net migration,304,greenland,gl,8,1957,5028.0
crude rate of net migration,304,greenland,gl,9,1958,5644.0
crude rate of net migration,304,greenland,gl,10,1959,5604.0
crude rate of net migration,304,greenland,gl,11,1960,4867.0
crude rate of net migration,304,greenland,gl,12,1961,-897.0
crude rate of net migration,304,greenland,gl,13,1962,-865.0
crude rate of net migration,304,greenland,gl,14,1963,167.0
crude rate of net migration,304,greenland,gl,15,1964,995.0
crude rate of net migration,304,greenland,gl,16,1965,1688.0
crude rate of net migration,304,greenland,gl,17,1966,5199.0
crude rate of net migration,304,greenland,gl,18,1967,4897.0
crude rate of net migration,304,greenland,gl,19,1968,5822.0
crude rate of net migration,304,greenland,gl,20,1969,8364.0
crude rate of net migration,304,greenland,gl,21,1970,32387.0
crude rate of net migration,304,greenland,gl,22,1971,453.0
crude rate of net migration,304,greenland,gl,23,1972,1017.0
crude rate of net migration,304,greenland,gl,24,1973,1357.0
crude rate of net migration,304,greenland,gl,25,1974,1195.0
crude rate of net migration,304,greenland,gl,26,1975,-387.0
crude rate of net migration,304,greenland,gl,27,1976,-3323.0
crude rate of net migration,304,greenland,gl,28,1977,-10865.0
crude rate of net migration,304,greenland,gl,29,1978,-10599.0
crude rate of net migration,304,greenland,gl,30,1979,-9943.0
crude rate of net migration,304,greenland,gl,31,1980,0.0
crude rate of net migration,304,greenland,gl,32,1981,-394.0
crude rate of net migration,304,greenland,gl,33,1982,-136.0
crude rate of net migration,304,greenland,gl,34,1983,616.0
crude rate of net migration,304,greenland,gl,35,1984,437.0
crude rate of net migration,304,greenland,gl,36,1985,-3245.0
crude rate of net migration,304,greenland,gl,37,1986,-2.77
crude rate of net migration,304,greenland,gl,38,1987,-2872.0
crude rate of net migration,304,greenland,gl,39,1988,-3862.0
crude rate of net migration,304,greenland,gl,40,1989,-4474.0
crude rate of net migration,304,greenland,gl,41,1990,-12009.0
crude rate of net migration,304,greenland,gl,42,1991,-12838.0
crude rate of net migration,304,greenland,gl,43,1992,-14032.0
crude rate of net migration,304,greenland,gl,44,1993,-13.09
crude rate of net migration,304,greenland,gl,45,1994,-12704.0
crude rate of net migration,304,greenland,gl,46,1995,-8002.0
crude rate of net migration,304,greenland,gl,47,1996,-8455.0
crude rate of net migration,304,greenland,gl,48,1997,-9143.0
crude rate of net migration,304,greenland,gl,49,1998,-8889.0
crude rate of net migration,304,greenland,gl,50,1999,-9627.0
crude rate of net migration,304,greenland,gl,51,2000,-4687.0
crude rate of net migration,304,greenland,gl,52,2001,-5447.0
crude rate of net migration,304,greenland,gl,53,2002,-6027.0
crude rate of net migration,304,greenland,gl,54,2003,-5923.0
crude rate of net migration,304,greenland,gl,55,2004,-6118.0
crude rate of net migration,304,greenland,gl,56,2005,-8836.0
crude rate of net migration,304,greenland,gl,57,2006,-9007.0
crude rate of net migration,304,greenland,gl,58,2007,-9373.0
crude rate of net migration,304,greenland,gl,59,2008,-9.9
crude rate of net migration,304,greenland,gl,60,2009,-10.1
crude rate of net migration,304,greenland,gl,61,2010,-7831.0
crude rate of net migration,304,greenland,gl,62,2011,-7964.0
crude rate of net migration,304,greenland,gl,63,2012,-8.1
crude rate of net migration,304,greenland,gl,64,2013,-8698.0
crude rate of net migration,304,greenland,gl,65,2014,-9409.0
crude rate of net migration,304,greenland,gl,66,2015,-6204.0
crude rate of net migration,304,greenland,gl,67,2016,-6665.0
crude rate of net migration,304,greenland,gl,68,2017,-6824.0
crude rate of net migration,304,greenland,gl,69,2018,-6362.0
crude rate of net migration,304,greenland,gl,70,2019,-6025.0
crude rate of net migration,304,greenland,gl,71,2020,-2674.0
crude rate of net migration,304,greenland,gl,72,2021,-1102.0
crude rate of net migration,304,greenland,gl,73,2022,-1.77
crude rate of net migration,304,greenland,gl,74,2023,-1764.0
