indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,304,greenland,gl,1,1950,-270.0
total net number of migrants,304,greenland,gl,2,1951,99.0
total net number of migrants,304,greenland,gl,3,1952,3.0
total net number of migrants,304,greenland,gl,4,1953,-3.0
total net number of migrants,304,greenland,gl,5,1954,-23.0
total net number of migrants,304,greenland,gl,6,1955,-57.0
total net number of migrants,304,greenland,gl,7,1956,150.0
total net number of migrants,304,greenland,gl,8,1957,142.0
total net number of migrants,304,greenland,gl,9,1958,166.0
total net number of migrants,304,greenland,gl,10,1959,172.0
total net number of migrants,304,greenland,gl,11,1960,156.0
total net number of migrants,304,greenland,gl,12,1961,-30.0
total net number of migrants,304,greenland,gl,13,1962,-30.0
total net number of migrants,304,greenland,gl,14,1963,6.0
total net number of migrants,304,greenland,gl,15,1964,37.0
total net number of migrants,304,greenland,gl,16,1965,65.0
total net number of migrants,304,greenland,gl,17,1966,207.0
total net number of migrants,304,greenland,gl,18,1967,202.0
total net number of migrants,304,greenland,gl,19,1968,248.0
total net number of migrants,304,greenland,gl,20,1969,367.0
total net number of migrants,304,greenland,gl,21,1970,446.0
total net number of migrants,304,greenland,gl,22,1971,21.0
total net number of migrants,304,greenland,gl,23,1972,48.0
total net number of migrants,304,greenland,gl,24,1973,65.0
total net number of migrants,304,greenland,gl,25,1974,58.0
total net number of migrants,304,greenland,gl,26,1975,-19.0
total net number of migrants,304,greenland,gl,27,1976,-165.0
total net number of migrants,304,greenland,gl,28,1977,-544.0
total net number of migrants,304,greenland,gl,29,1978,-530.0
total net number of migrants,304,greenland,gl,30,1979,-497.0
total net number of migrants,304,greenland,gl,31,1980,0.0
total net number of migrants,304,greenland,gl,32,1981,-20.0
total net number of migrants,304,greenland,gl,33,1982,-7.0
total net number of migrants,304,greenland,gl,34,1983,32.0
total net number of migrants,304,greenland,gl,35,1984,23.0
total net number of migrants,304,greenland,gl,36,1985,-173.0
total net number of migrants,304,greenland,gl,37,1986,-149.0
total net number of migrants,304,greenland,gl,38,1987,-156.0
total net number of migrants,304,greenland,gl,39,1988,-212.0
total net number of migrants,304,greenland,gl,40,1989,-248.0
total net number of migrants,304,greenland,gl,41,1990,-672.0
total net number of migrants,304,greenland,gl,42,1991,-719.0
total net number of migrants,304,greenland,gl,43,1992,-787.0
total net number of migrants,304,greenland,gl,44,1993,-734.0
total net number of migrants,304,greenland,gl,45,1994,-712.0
total net number of migrants,304,greenland,gl,46,1995,-448.0
total net number of migrants,304,greenland,gl,47,1996,-475.0
total net number of migrants,304,greenland,gl,48,1997,-515.0
total net number of migrants,304,greenland,gl,49,1998,-501.0
total net number of migrants,304,greenland,gl,50,1999,-543.0
total net number of migrants,304,greenland,gl,51,2000,-264.0
total net number of migrants,304,greenland,gl,52,2001,-308.0
total net number of migrants,304,greenland,gl,53,2002,-342.0
total net number of migrants,304,greenland,gl,54,2003,-337.0
total net number of migrants,304,greenland,gl,55,2004,-349.0
total net number of migrants,304,greenland,gl,56,2005,-505.0
total net number of migrants,304,greenland,gl,57,2006,-514.0
total net number of migrants,304,greenland,gl,58,2007,-534.0
total net number of migrants,304,greenland,gl,59,2008,-563.0
total net number of migrants,304,greenland,gl,60,2009,-573.0
total net number of migrants,304,greenland,gl,61,2010,-443.0
total net number of migrants,304,greenland,gl,62,2011,-450.0
total net number of migrants,304,greenland,gl,63,2012,-457.0
total net number of migrants,304,greenland,gl,64,2013,-490.0
total net number of migrants,304,greenland,gl,65,2014,-529.0
total net number of migrants,304,greenland,gl,66,2015,-348.0
total net number of migrants,304,greenland,gl,67,2016,-374.0
total net number of migrants,304,greenland,gl,68,2017,-383.0
total net number of migrants,304,greenland,gl,69,2018,-357.0
total net number of migrants,304,greenland,gl,70,2019,-338.0
total net number of migrants,304,greenland,gl,71,2020,-150.0
total net number of migrants,304,greenland,gl,72,2021,-62.0
total net number of migrants,304,greenland,gl,73,2022,-100.0
total net number of migrants,304,greenland,gl,74,2023,-100.0
