indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,308,grenada,gd,1,1950,-18857.0
crude rate of net migration,308,grenada,gd,2,1951,-10939.0
crude rate of net migration,308,grenada,gd,3,1952,-11201.0
crude rate of net migration,308,grenada,gd,4,1953,-10809.0
crude rate of net migration,308,grenada,gd,5,1954,-10643.0
crude rate of net migration,308,grenada,gd,6,1955,-10117.0
crude rate of net migration,308,grenada,gd,7,1956,-9302.0
crude rate of net migration,308,grenada,gd,8,1957,-8.35
crude rate of net migration,308,grenada,gd,9,1958,-7061.0
crude rate of net migration,308,grenada,gd,10,1959,-6576.0
crude rate of net migration,308,grenada,gd,11,1960,-16.74
crude rate of net migration,308,grenada,gd,12,1961,-22135.0
crude rate of net migration,308,grenada,gd,13,1962,-22494.0
crude rate of net migration,308,grenada,gd,14,1963,-22151.0
crude rate of net migration,308,grenada,gd,15,1964,-21388.0
crude rate of net migration,308,grenada,gd,16,1965,-20531.0
crude rate of net migration,308,grenada,gd,17,1966,-20189.0
crude rate of net migration,308,grenada,gd,18,1967,-20498.0
crude rate of net migration,308,grenada,gd,19,1968,-21684.0
crude rate of net migration,308,grenada,gd,20,1969,-22077.0
crude rate of net migration,308,grenada,gd,21,1970,-22263.0
crude rate of net migration,308,grenada,gd,22,1971,-23225.0
crude rate of net migration,308,grenada,gd,23,1972,-23912.0
crude rate of net migration,308,grenada,gd,24,1973,-24497.0
crude rate of net migration,308,grenada,gd,25,1974,-24941.0
crude rate of net migration,308,grenada,gd,26,1975,-24993.0
crude rate of net migration,308,grenada,gd,27,1976,-24963.0
crude rate of net migration,308,grenada,gd,28,1977,-24867.0
crude rate of net migration,308,grenada,gd,29,1978,-25272.0
crude rate of net migration,308,grenada,gd,30,1979,-26141.0
crude rate of net migration,308,grenada,gd,31,1980,-22137.0
crude rate of net migration,308,grenada,gd,32,1981,-6975.0
crude rate of net migration,308,grenada,gd,33,1982,-1955.0
crude rate of net migration,308,grenada,gd,34,1983,-1963.0
crude rate of net migration,308,grenada,gd,35,1984,-7.54
crude rate of net migration,308,grenada,gd,36,1985,-15738.0
crude rate of net migration,308,grenada,gd,37,1986,-23803.0
crude rate of net migration,308,grenada,gd,38,1987,-29221.0
crude rate of net migration,308,grenada,gd,39,1988,-29632.0
crude rate of net migration,308,grenada,gd,40,1989,-25833.0
crude rate of net migration,308,grenada,gd,41,1990,-19976.0
crude rate of net migration,308,grenada,gd,42,1991,-6972.0
crude rate of net migration,308,grenada,gd,43,1992,-7074.0
crude rate of net migration,308,grenada,gd,44,1993,-6744.0
crude rate of net migration,308,grenada,gd,45,1994,-7245.0
crude rate of net migration,308,grenada,gd,46,1995,-7745.0
crude rate of net migration,308,grenada,gd,47,1996,-8282.0
crude rate of net migration,308,grenada,gd,48,1997,-8629.0
crude rate of net migration,308,grenada,gd,49,1998,-6348.0
crude rate of net migration,308,grenada,gd,50,1999,-5437.0
crude rate of net migration,308,grenada,gd,51,2000,-5443.0
crude rate of net migration,308,grenada,gd,52,2001,-6801.0
crude rate of net migration,308,grenada,gd,53,2002,-8501.0
crude rate of net migration,308,grenada,gd,54,2003,-2.25
crude rate of net migration,308,grenada,gd,55,2004,-2.79
crude rate of net migration,308,grenada,gd,56,2005,-3341.0
crude rate of net migration,308,grenada,gd,57,2006,-3.75
crude rate of net migration,308,grenada,gd,58,2007,-3993.0
crude rate of net migration,308,grenada,gd,59,2008,-4037.0
crude rate of net migration,308,grenada,gd,60,2009,-4044.0
crude rate of net migration,308,grenada,gd,61,2010,-3964.0
crude rate of net migration,308,grenada,gd,62,2011,-2538.0
crude rate of net migration,308,grenada,gd,63,2012,-1758.0
crude rate of net migration,308,grenada,gd,64,2013,-1623.0
crude rate of net migration,308,grenada,gd,65,2014,-1609.0
crude rate of net migration,308,grenada,gd,66,2015,-1596.0
crude rate of net migration,308,grenada,gd,67,2016,-1583.0
crude rate of net migration,308,grenada,gd,68,2017,-1.57
crude rate of net migration,308,grenada,gd,69,2018,-1558.0
crude rate of net migration,308,grenada,gd,70,2019,-1547.0
crude rate of net migration,308,grenada,gd,71,2020,0.0
crude rate of net migration,308,grenada,gd,72,2021,-682.0
crude rate of net migration,308,grenada,gd,73,2022,-1593.0
crude rate of net migration,308,grenada,gd,74,2023,-1584.0
