indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,312,guadeloupe,gp,1,1950,-12584.0
crude rate of net migration,312,guadeloupe,gp,2,1951,4088.0
crude rate of net migration,312,guadeloupe,gp,3,1952,4044.0
crude rate of net migration,312,guadeloupe,gp,4,1953,3217.0
crude rate of net migration,312,guadeloupe,gp,5,1954,1257.0
crude rate of net migration,312,guadeloupe,gp,6,1955,-49.0
crude rate of net migration,312,guadeloupe,gp,7,1956,615.0
crude rate of net migration,312,guadeloupe,gp,8,1957,1112.0
crude rate of net migration,312,guadeloupe,gp,9,1958,763.0
crude rate of net migration,312,guadeloupe,gp,10,1959,668.0
crude rate of net migration,312,guadeloupe,gp,11,1960,-105.0
crude rate of net migration,312,guadeloupe,gp,12,1961,-4.15
crude rate of net migration,312,guadeloupe,gp,13,1962,-8793.0
crude rate of net migration,312,guadeloupe,gp,14,1963,-10862.0
crude rate of net migration,312,guadeloupe,gp,15,1964,-11124.0
crude rate of net migration,312,guadeloupe,gp,16,1965,-11412.0
crude rate of net migration,312,guadeloupe,gp,17,1966,-11771.0
crude rate of net migration,312,guadeloupe,gp,18,1967,-12983.0
crude rate of net migration,312,guadeloupe,gp,19,1968,-14821.0
crude rate of net migration,312,guadeloupe,gp,20,1969,-15.94
crude rate of net migration,312,guadeloupe,gp,21,1970,-16431.0
crude rate of net migration,312,guadeloupe,gp,22,1971,-16886.0
crude rate of net migration,312,guadeloupe,gp,23,1972,-17318.0
crude rate of net migration,312,guadeloupe,gp,24,1973,-17149.0
crude rate of net migration,312,guadeloupe,gp,25,1974,-14193.0
crude rate of net migration,312,guadeloupe,gp,26,1975,-9.7
crude rate of net migration,312,guadeloupe,gp,27,1976,-7945.0
crude rate of net migration,312,guadeloupe,gp,28,1977,-8379.0
crude rate of net migration,312,guadeloupe,gp,29,1978,-8808.0
crude rate of net migration,312,guadeloupe,gp,30,1979,-9199.0
crude rate of net migration,312,guadeloupe,gp,31,1980,-9996.0
crude rate of net migration,312,guadeloupe,gp,32,1981,-6689.0
crude rate of net migration,312,guadeloupe,gp,33,1982,1104.0
crude rate of net migration,312,guadeloupe,gp,34,1983,16923.0
crude rate of net migration,312,guadeloupe,gp,35,1984,6175.0
crude rate of net migration,312,guadeloupe,gp,36,1985,6135.0
crude rate of net migration,312,guadeloupe,gp,37,1986,6059.0
crude rate of net migration,312,guadeloupe,gp,38,1987,5917.0
crude rate of net migration,312,guadeloupe,gp,39,1988,5806.0
crude rate of net migration,312,guadeloupe,gp,40,1989,44989.0
crude rate of net migration,312,guadeloupe,gp,41,1990,1077.0
crude rate of net migration,312,guadeloupe,gp,42,1991,-1364.0
crude rate of net migration,312,guadeloupe,gp,43,1992,-1891.0
crude rate of net migration,312,guadeloupe,gp,44,1993,-2017.0
crude rate of net migration,312,guadeloupe,gp,45,1994,-2169.0
crude rate of net migration,312,guadeloupe,gp,46,1995,-2348.0
crude rate of net migration,312,guadeloupe,gp,47,1996,-2516.0
crude rate of net migration,312,guadeloupe,gp,48,1997,-2621.0
crude rate of net migration,312,guadeloupe,gp,49,1998,-6071.0
crude rate of net migration,312,guadeloupe,gp,50,1999,-13761.0
crude rate of net migration,312,guadeloupe,gp,51,2000,-17456.0
crude rate of net migration,312,guadeloupe,gp,52,2001,-18912.0
crude rate of net migration,312,guadeloupe,gp,53,2002,-19.95
crude rate of net migration,312,guadeloupe,gp,54,2003,-20911.0
crude rate of net migration,312,guadeloupe,gp,55,2004,-22185.0
crude rate of net migration,312,guadeloupe,gp,56,2005,-22901.0
crude rate of net migration,312,guadeloupe,gp,57,2006,-5935.0
crude rate of net migration,312,guadeloupe,gp,58,2007,-7.18
crude rate of net migration,312,guadeloupe,gp,59,2008,-6167.0
crude rate of net migration,312,guadeloupe,gp,60,2009,-5569.0
crude rate of net migration,312,guadeloupe,gp,61,2010,-6437.0
crude rate of net migration,312,guadeloupe,gp,62,2011,-6976.0
crude rate of net migration,312,guadeloupe,gp,63,2012,-7317.0
crude rate of net migration,312,guadeloupe,gp,64,2013,-8608.0
crude rate of net migration,312,guadeloupe,gp,65,2014,-10555.0
crude rate of net migration,312,guadeloupe,gp,66,2015,-8.8
crude rate of net migration,312,guadeloupe,gp,67,2016,-6994.0
crude rate of net migration,312,guadeloupe,gp,68,2017,-5697.0
crude rate of net migration,312,guadeloupe,gp,69,2018,-5333.0
crude rate of net migration,312,guadeloupe,gp,70,2019,-5188.0
crude rate of net migration,312,guadeloupe,gp,71,2020,0.0
crude rate of net migration,312,guadeloupe,gp,72,2021,-1.61
crude rate of net migration,312,guadeloupe,gp,73,2022,-2019.0
crude rate of net migration,312,guadeloupe,gp,74,2023,-2019.0
