indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,312,guadeloupe,gp,1,1950,-2724.0
total net number of migrants,312,guadeloupe,gp,2,1951,893.0
total net number of migrants,312,guadeloupe,gp,3,1952,906.0
total net number of migrants,312,guadeloupe,gp,4,1953,740.0
total net number of migrants,312,guadeloupe,gp,5,1954,297.0
total net number of migrants,312,guadeloupe,gp,6,1955,-12.0
total net number of migrants,312,guadeloupe,gp,7,1956,153.0
total net number of migrants,312,guadeloupe,gp,8,1957,284.0
total net number of migrants,312,guadeloupe,gp,9,1958,200.0
total net number of migrants,312,guadeloupe,gp,10,1959,180.0
total net number of migrants,312,guadeloupe,gp,11,1960,-29.0
total net number of migrants,312,guadeloupe,gp,12,1961,-1181.0
total net number of migrants,312,guadeloupe,gp,13,1962,-2562.0
total net number of migrants,312,guadeloupe,gp,14,1963,-3221.0
total net number of migrants,312,guadeloupe,gp,15,1964,-3348.0
total net number of migrants,312,guadeloupe,gp,16,1965,-3483.0
total net number of migrants,312,guadeloupe,gp,17,1966,-3640.0
total net number of migrants,312,guadeloupe,gp,18,1967,-4064.0
total net number of migrants,312,guadeloupe,gp,19,1968,-4688.0
total net number of migrants,312,guadeloupe,gp,20,1969,-5083.0
total net number of migrants,312,guadeloupe,gp,21,1970,-5273.0
total net number of migrants,312,guadeloupe,gp,22,1971,-5446.0
total net number of migrants,312,guadeloupe,gp,23,1972,-5606.0
total net number of migrants,312,guadeloupe,gp,24,1973,-5565.0
total net number of migrants,312,guadeloupe,gp,25,1974,-4614.0
total net number of migrants,312,guadeloupe,gp,26,1975,-3166.0
total net number of migrants,312,guadeloupe,gp,27,1976,-2612.0
total net number of migrants,312,guadeloupe,gp,28,1977,-2776.0
total net number of migrants,312,guadeloupe,gp,29,1978,-2935.0
total net number of migrants,312,guadeloupe,gp,30,1979,-3079.0
total net number of migrants,312,guadeloupe,gp,31,1980,-3358.0
total net number of migrants,312,guadeloupe,gp,32,1981,-2253.0
total net number of migrants,312,guadeloupe,gp,33,1982,374.0
total net number of migrants,312,guadeloupe,gp,34,1983,1876.0
total net number of migrants,312,guadeloupe,gp,35,1984,2161.0
total net number of migrants,312,guadeloupe,gp,36,1985,2189.0
total net number of migrants,312,guadeloupe,gp,37,1986,2204.0
total net number of migrants,312,guadeloupe,gp,38,1987,2194.0
total net number of migrants,312,guadeloupe,gp,39,1988,2194.0
total net number of migrants,312,guadeloupe,gp,40,1989,1656.0
total net number of migrants,312,guadeloupe,gp,41,1990,422.0
total net number of migrants,312,guadeloupe,gp,42,1991,-542.0
total net number of migrants,312,guadeloupe,gp,43,1992,-760.0
total net number of migrants,312,guadeloupe,gp,44,1993,-819.0
total net number of migrants,312,guadeloupe,gp,45,1994,-890.0
total net number of migrants,312,guadeloupe,gp,46,1995,-973.0
total net number of migrants,312,guadeloupe,gp,47,1996,-1053.0
total net number of migrants,312,guadeloupe,gp,48,1997,-1107.0
total net number of migrants,312,guadeloupe,gp,49,1998,-2588.0
total net number of migrants,312,guadeloupe,gp,50,1999,-5900.0
total net number of migrants,312,guadeloupe,gp,51,2000,-7468.0
total net number of migrants,312,guadeloupe,gp,52,2001,-8042.0
total net number of migrants,312,guadeloupe,gp,53,2002,-8417.0
total net number of migrants,312,guadeloupe,gp,54,2003,-8740.0
total net number of migrants,312,guadeloupe,gp,55,2004,-9171.0
total net number of migrants,312,guadeloupe,gp,56,2005,-9348.0
total net number of migrants,312,guadeloupe,gp,57,2006,-2388.0
total net number of migrants,312,guadeloupe,gp,58,2007,-2894.0
total net number of migrants,312,guadeloupe,gp,59,2008,-2488.0
total net number of migrants,312,guadeloupe,gp,60,2009,-2249.0
total net number of migrants,312,guadeloupe,gp,61,2010,-2604.0
total net number of migrants,312,guadeloupe,gp,62,2011,-2823.0
total net number of migrants,312,guadeloupe,gp,63,2012,-2961.0
total net number of migrants,312,guadeloupe,gp,64,2013,-3478.0
total net number of migrants,312,guadeloupe,gp,65,2014,-4253.0
total net number of migrants,312,guadeloupe,gp,66,2015,-3527.0
total net number of migrants,312,guadeloupe,gp,67,2016,-2792.0
total net number of migrants,312,guadeloupe,gp,68,2017,-2268.0
total net number of migrants,312,guadeloupe,gp,69,2018,-2119.0
total net number of migrants,312,guadeloupe,gp,70,2019,-2057.0
total net number of migrants,312,guadeloupe,gp,71,2020,0.0
total net number of migrants,312,guadeloupe,gp,72,2021,-638.0
total net number of migrants,312,guadeloupe,gp,73,2022,-800.0
total net number of migrants,312,guadeloupe,gp,74,2023,-800.0
