indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,316,guam,gu,1,1950,-5.64
crude rate of net migration,316,guam,gu,2,1951,-5652.0
crude rate of net migration,316,guam,gu,3,1952,-6653.0
crude rate of net migration,316,guam,gu,4,1953,-6891.0
crude rate of net migration,316,guam,gu,5,1954,-7012.0
crude rate of net migration,316,guam,gu,6,1955,-8129.0
crude rate of net migration,316,guam,gu,7,1956,-7757.0
crude rate of net migration,316,guam,gu,8,1957,-8793.0
crude rate of net migration,316,guam,gu,9,1958,-6784.0
crude rate of net migration,316,guam,gu,10,1959,-6.32
crude rate of net migration,316,guam,gu,11,1960,-6456.0
crude rate of net migration,316,guam,gu,12,1961,-6755.0
crude rate of net migration,316,guam,gu,13,1962,-7051.0
crude rate of net migration,316,guam,gu,14,1963,-5568.0
crude rate of net migration,316,guam,gu,15,1964,-5441.0
crude rate of net migration,316,guam,gu,16,1965,-5331.0
crude rate of net migration,316,guam,gu,17,1966,-7175.0
crude rate of net migration,316,guam,gu,18,1967,-6684.0
crude rate of net migration,316,guam,gu,19,1968,-7261.0
crude rate of net migration,316,guam,gu,20,1969,-10.55
crude rate of net migration,316,guam,gu,21,1970,-3431.0
crude rate of net migration,316,guam,gu,22,1971,-1203.0
crude rate of net migration,316,guam,gu,23,1972,-1378.0
crude rate of net migration,316,guam,gu,24,1973,-2384.0
crude rate of net migration,316,guam,gu,25,1974,-3771.0
crude rate of net migration,316,guam,gu,26,1975,-5926.0
crude rate of net migration,316,guam,gu,27,1976,-6445.0
crude rate of net migration,316,guam,gu,28,1977,-6835.0
crude rate of net migration,316,guam,gu,29,1978,-5.71
crude rate of net migration,316,guam,gu,30,1979,-4955.0
crude rate of net migration,316,guam,gu,31,1980,1224.0
crude rate of net migration,316,guam,gu,32,1981,2901.0
crude rate of net migration,316,guam,gu,33,1982,2421.0
crude rate of net migration,316,guam,gu,34,1983,-76.0
crude rate of net migration,316,guam,gu,35,1984,574.0
crude rate of net migration,316,guam,gu,36,1985,-913.0
crude rate of net migration,316,guam,gu,37,1986,-1746.0
crude rate of net migration,316,guam,gu,38,1987,-1632.0
crude rate of net migration,316,guam,gu,39,1988,-1238.0
crude rate of net migration,316,guam,gu,40,1989,-3945.0
crude rate of net migration,316,guam,gu,41,1990,-4108.0
crude rate of net migration,316,guam,gu,42,1991,-4146.0
crude rate of net migration,316,guam,gu,43,1992,-4543.0
crude rate of net migration,316,guam,gu,44,1993,-4989.0
crude rate of net migration,316,guam,gu,45,1994,-5254.0
crude rate of net migration,316,guam,gu,46,1995,-5506.0
crude rate of net migration,316,guam,gu,47,1996,-6263.0
crude rate of net migration,316,guam,gu,48,1997,-6647.0
crude rate of net migration,316,guam,gu,49,1998,-6.98
crude rate of net migration,316,guam,gu,50,1999,-6534.0
crude rate of net migration,316,guam,gu,51,2000,-9725.0
crude rate of net migration,316,guam,gu,52,2001,-11682.0
crude rate of net migration,316,guam,gu,53,2002,-10738.0
crude rate of net migration,316,guam,gu,54,2003,-12435.0
crude rate of net migration,316,guam,gu,55,2004,-14.33
crude rate of net migration,316,guam,gu,56,2005,-14086.0
crude rate of net migration,316,guam,gu,57,2006,-16065.0
crude rate of net migration,316,guam,gu,58,2007,-17274.0
crude rate of net migration,316,guam,gu,59,2008,-17.63
crude rate of net migration,316,guam,gu,60,2009,-17646.0
crude rate of net migration,316,guam,gu,61,2010,-11146.0
crude rate of net migration,316,guam,gu,62,2011,-11121.0
crude rate of net migration,316,guam,gu,63,2012,-11.05
crude rate of net migration,316,guam,gu,64,2013,-11032.0
crude rate of net migration,316,guam,gu,65,2014,-10991.0
crude rate of net migration,316,guam,gu,66,2015,-10966.0
crude rate of net migration,316,guam,gu,67,2016,-10.94
crude rate of net migration,316,guam,gu,68,2017,-10928.0
crude rate of net migration,316,guam,gu,69,2018,-10911.0
crude rate of net migration,316,guam,gu,70,2019,-10924.0
crude rate of net migration,316,guam,gu,71,2020,-1441.0
crude rate of net migration,316,guam,gu,72,2021,-1.43
crude rate of net migration,316,guam,gu,73,2022,-2906.0
crude rate of net migration,316,guam,gu,74,2023,-2887.0
