indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,316,guam,gu,1,1950,-345.0
total net number of migrants,316,guam,gu,2,1951,-351.0
total net number of migrants,316,guam,gu,3,1952,-420.0
total net number of migrants,316,guam,gu,4,1953,-442.0
total net number of migrants,316,guam,gu,5,1954,-457.0
total net number of migrants,316,guam,gu,6,1955,-539.0
total net number of migrants,316,guam,gu,7,1956,-523.0
total net number of migrants,316,guam,gu,8,1957,-604.0
total net number of migrants,316,guam,gu,9,1958,-474.0
total net number of migrants,316,guam,gu,10,1959,-450.0
total net number of migrants,316,guam,gu,11,1960,-469.0
total net number of migrants,316,guam,gu,12,1961,-501.0
total net number of migrants,316,guam,gu,13,1962,-534.0
total net number of migrants,316,guam,gu,14,1963,-430.0
total net number of migrants,316,guam,gu,15,1964,-429.0
total net number of migrants,316,guam,gu,16,1965,-429.0
total net number of migrants,316,guam,gu,17,1966,-590.0
total net number of migrants,316,guam,gu,18,1967,-560.0
total net number of migrants,316,guam,gu,19,1968,-620.0
total net number of migrants,316,guam,gu,20,1969,-919.0
total net number of migrants,316,guam,gu,21,1970,-304.0
total net number of migrants,316,guam,gu,22,1971,-109.0
total net number of migrants,316,guam,gu,23,1972,-128.0
total net number of migrants,316,guam,gu,24,1973,-227.0
total net number of migrants,316,guam,gu,25,1974,-368.0
total net number of migrants,316,guam,gu,26,1975,-592.0
total net number of migrants,316,guam,gu,27,1976,-658.0
total net number of migrants,316,guam,gu,28,1977,-712.0
total net number of migrants,316,guam,gu,29,1978,-606.0
total net number of migrants,316,guam,gu,30,1979,-536.0
total net number of migrants,316,guam,gu,31,1980,135.0
total net number of migrants,316,guam,gu,32,1981,328.0
total net number of migrants,316,guam,gu,33,1982,281.0
total net number of migrants,316,guam,gu,34,1983,-9.0
total net number of migrants,316,guam,gu,35,1984,70.0
total net number of migrants,316,guam,gu,36,1985,-114.0
total net number of migrants,316,guam,gu,37,1986,-223.0
total net number of migrants,316,guam,gu,38,1987,-213.0
total net number of migrants,316,guam,gu,39,1988,-165.0
total net number of migrants,316,guam,gu,40,1989,-537.0
total net number of migrants,316,guam,gu,41,1990,-570.0
total net number of migrants,316,guam,gu,42,1991,-585.0
total net number of migrants,316,guam,gu,43,1992,-652.0
total net number of migrants,316,guam,gu,44,1993,-728.0
total net number of migrants,316,guam,gu,45,1994,-779.0
total net number of migrants,316,guam,gu,46,1995,-829.0
total net number of migrants,316,guam,gu,47,1996,-957.0
total net number of migrants,316,guam,gu,48,1997,-1030.0
total net number of migrants,316,guam,gu,49,1998,-1096.0
total net number of migrants,316,guam,gu,50,1999,-1039.0
total net number of migrants,316,guam,gu,51,2000,-1566.0
total net number of migrants,316,guam,gu,52,2001,-1898.0
total net number of migrants,316,guam,gu,53,2002,-1754.0
total net number of migrants,316,guam,gu,54,2003,-2044.0
total net number of migrants,316,guam,gu,55,2004,-2368.0
total net number of migrants,316,guam,gu,56,2005,-2333.0
total net number of migrants,316,guam,gu,57,2006,-2669.0
total net number of migrants,316,guam,gu,58,2007,-2874.0
total net number of migrants,316,guam,gu,59,2008,-2933.0
total net number of migrants,316,guam,gu,60,2009,-2933.0
total net number of migrants,316,guam,gu,61,2010,-1850.0
total net number of migrants,316,guam,gu,62,2011,-1852.0
total net number of migrants,316,guam,gu,63,2012,-1850.0
total net number of migrants,316,guam,gu,64,2013,-1852.0
total net number of migrants,316,guam,gu,65,2014,-1852.0
total net number of migrants,316,guam,gu,66,2015,-1852.0
total net number of migrants,316,guam,gu,67,2016,-1852.0
total net number of migrants,316,guam,gu,68,2017,-1852.0
total net number of migrants,316,guam,gu,69,2018,-1850.0
total net number of migrants,316,guam,gu,70,2019,-1852.0
total net number of migrants,316,guam,gu,71,2020,-244.0
total net number of migrants,316,guam,gu,72,2021,-244.0
total net number of migrants,316,guam,gu,73,2022,-500.0
total net number of migrants,316,guam,gu,74,2023,-500.0
