indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,320,guatemala,gt,1,1950,994.0
total net number of migrants,320,guatemala,gt,2,1951,829.0
total net number of migrants,320,guatemala,gt,3,1952,-118.0
total net number of migrants,320,guatemala,gt,4,1953,-2046.0
total net number of migrants,320,guatemala,gt,5,1954,-1660.0
total net number of migrants,320,guatemala,gt,6,1955,-1824.0
total net number of migrants,320,guatemala,gt,7,1956,-1936.0
total net number of migrants,320,guatemala,gt,8,1957,-2355.0
total net number of migrants,320,guatemala,gt,9,1958,-5210.0
total net number of migrants,320,guatemala,gt,10,1959,-1361.0
total net number of migrants,320,guatemala,gt,11,1960,-182.0
total net number of migrants,320,guatemala,gt,12,1961,389.0
total net number of migrants,320,guatemala,gt,13,1962,286.0
total net number of migrants,320,guatemala,gt,14,1963,-223.0
total net number of migrants,320,guatemala,gt,15,1964,-903.0
total net number of migrants,320,guatemala,gt,16,1965,-1131.0
total net number of migrants,320,guatemala,gt,17,1966,-4300.0
total net number of migrants,320,guatemala,gt,18,1967,-5150.0
total net number of migrants,320,guatemala,gt,19,1968,-8035.0
total net number of migrants,320,guatemala,gt,20,1969,-11437.0
total net number of migrants,320,guatemala,gt,21,1970,-14756.0
total net number of migrants,320,guatemala,gt,22,1971,-23505.0
total net number of migrants,320,guatemala,gt,23,1972,-25826.0
total net number of migrants,320,guatemala,gt,24,1973,-29645.0
total net number of migrants,320,guatemala,gt,25,1974,-36100.0
total net number of migrants,320,guatemala,gt,26,1975,-42349.0
total net number of migrants,320,guatemala,gt,27,1976,-50761.0
total net number of migrants,320,guatemala,gt,28,1977,-46262.0
total net number of migrants,320,guatemala,gt,29,1978,-48307.0
total net number of migrants,320,guatemala,gt,30,1979,-47285.0
total net number of migrants,320,guatemala,gt,31,1980,-44463.0
total net number of migrants,320,guatemala,gt,32,1981,-47021.0
total net number of migrants,320,guatemala,gt,33,1982,-48740.0
total net number of migrants,320,guatemala,gt,34,1983,-37255.0
total net number of migrants,320,guatemala,gt,35,1984,-29302.0
total net number of migrants,320,guatemala,gt,36,1985,-28843.0
total net number of migrants,320,guatemala,gt,37,1986,-33216.0
total net number of migrants,320,guatemala,gt,38,1987,-33790.0
total net number of migrants,320,guatemala,gt,39,1988,-32425.0
total net number of migrants,320,guatemala,gt,40,1989,-32522.0
total net number of migrants,320,guatemala,gt,41,1990,-30399.0
total net number of migrants,320,guatemala,gt,42,1991,-40877.0
total net number of migrants,320,guatemala,gt,43,1992,-36236.0
total net number of migrants,320,guatemala,gt,44,1993,-36822.0
total net number of migrants,320,guatemala,gt,45,1994,-33463.0
total net number of migrants,320,guatemala,gt,46,1995,-39890.0
total net number of migrants,320,guatemala,gt,47,1996,-43474.0
total net number of migrants,320,guatemala,gt,48,1997,-43356.0
total net number of migrants,320,guatemala,gt,49,1998,-44059.0
total net number of migrants,320,guatemala,gt,50,1999,-49731.0
total net number of migrants,320,guatemala,gt,51,2000,-66153.0
total net number of migrants,320,guatemala,gt,52,2001,-59249.0
total net number of migrants,320,guatemala,gt,53,2002,-55245.0
total net number of migrants,320,guatemala,gt,54,2003,-54666.0
total net number of migrants,320,guatemala,gt,55,2004,-47399.0
total net number of migrants,320,guatemala,gt,56,2005,-49600.0
total net number of migrants,320,guatemala,gt,57,2006,-42071.0
total net number of migrants,320,guatemala,gt,58,2007,-40617.0
total net number of migrants,320,guatemala,gt,59,2008,-42607.0
total net number of migrants,320,guatemala,gt,60,2009,-43051.0
total net number of migrants,320,guatemala,gt,61,2010,-36072.0
total net number of migrants,320,guatemala,gt,62,2011,-33204.0
total net number of migrants,320,guatemala,gt,63,2012,-32572.0
total net number of migrants,320,guatemala,gt,64,2013,-35666.0
total net number of migrants,320,guatemala,gt,65,2014,-40409.0
total net number of migrants,320,guatemala,gt,66,2015,-48162.0
total net number of migrants,320,guatemala,gt,67,2016,-39266.0
total net number of migrants,320,guatemala,gt,68,2017,-48049.0
total net number of migrants,320,guatemala,gt,69,2018,-56884.0
total net number of migrants,320,guatemala,gt,70,2019,-58095.0
total net number of migrants,320,guatemala,gt,71,2020,-23142.0
total net number of migrants,320,guatemala,gt,72,2021,-29118.0
total net number of migrants,320,guatemala,gt,73,2022,-9128.0
total net number of migrants,320,guatemala,gt,74,2023,-9110.0
