indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,831,guernsey,gg,1,1950,383.0
crude rate of net migration,831,guernsey,gg,2,1951,-13996.0
crude rate of net migration,831,guernsey,gg,3,1952,6412.0
crude rate of net migration,831,guernsey,gg,4,1953,7838.0
crude rate of net migration,831,guernsey,gg,5,1954,9097.0
crude rate of net migration,831,guernsey,gg,6,1955,45116.0
crude rate of net migration,831,guernsey,gg,7,1956,10353.0
crude rate of net migration,831,guernsey,gg,8,1957,10009.0
crude rate of net migration,831,guernsey,gg,9,1958,9882.0
crude rate of net migration,831,guernsey,gg,10,1959,10097.0
crude rate of net migration,831,guernsey,gg,11,1960,9282.0
crude rate of net migration,831,guernsey,gg,12,1961,8655.0
crude rate of net migration,831,guernsey,gg,13,1962,8378.0
crude rate of net migration,831,guernsey,gg,14,1963,9027.0
crude rate of net migration,831,guernsey,gg,15,1964,9467.0
crude rate of net migration,831,guernsey,gg,16,1965,10789.0
crude rate of net migration,831,guernsey,gg,17,1966,11786.0
crude rate of net migration,831,guernsey,gg,18,1967,11647.0
crude rate of net migration,831,guernsey,gg,19,1968,13085.0
crude rate of net migration,831,guernsey,gg,20,1969,11912.0
crude rate of net migration,831,guernsey,gg,21,1970,11372.0
crude rate of net migration,831,guernsey,gg,22,1971,2019.0
crude rate of net migration,831,guernsey,gg,23,1972,-1503.0
crude rate of net migration,831,guernsey,gg,24,1973,-0.92
crude rate of net migration,831,guernsey,gg,25,1974,-1032.0
crude rate of net migration,831,guernsey,gg,26,1975,-1369.0
crude rate of net migration,831,guernsey,gg,27,1976,-2213.0
crude rate of net migration,831,guernsey,gg,28,1977,-2965.0
crude rate of net migration,831,guernsey,gg,29,1978,-3571.0
crude rate of net migration,831,guernsey,gg,30,1979,-3146.0
crude rate of net migration,831,guernsey,gg,31,1980,-3286.0
crude rate of net migration,831,guernsey,gg,32,1981,4792.0
crude rate of net migration,831,guernsey,gg,33,1982,7595.0
crude rate of net migration,831,guernsey,gg,34,1983,7612.0
crude rate of net migration,831,guernsey,gg,35,1984,7346.0
crude rate of net migration,831,guernsey,gg,36,1985,8391.0
crude rate of net migration,831,guernsey,gg,37,1986,9301.0
crude rate of net migration,831,guernsey,gg,38,1987,9435.0
crude rate of net migration,831,guernsey,gg,39,1988,9863.0
crude rate of net migration,831,guernsey,gg,40,1989,9603.0
crude rate of net migration,831,guernsey,gg,41,1990,9678.0
crude rate of net migration,831,guernsey,gg,42,1991,1737.0
crude rate of net migration,831,guernsey,gg,43,1992,-3.46
crude rate of net migration,831,guernsey,gg,44,1993,-2091.0
crude rate of net migration,831,guernsey,gg,45,1994,-3049.0
crude rate of net migration,831,guernsey,gg,46,1995,-2554.0
crude rate of net migration,831,guernsey,gg,47,1996,772.0
crude rate of net migration,831,guernsey,gg,48,1997,1693.0
crude rate of net migration,831,guernsey,gg,49,1998,1005.0
crude rate of net migration,831,guernsey,gg,50,1999,1308.0
crude rate of net migration,831,guernsey,gg,51,2000,1202.0
crude rate of net migration,831,guernsey,gg,52,2001,1317.0
crude rate of net migration,831,guernsey,gg,53,2002,1162.0
crude rate of net migration,831,guernsey,gg,54,2003,1142.0
crude rate of net migration,831,guernsey,gg,55,2004,854.0
crude rate of net migration,831,guernsey,gg,56,2005,869.0
crude rate of net migration,831,guernsey,gg,57,2006,717.0
crude rate of net migration,831,guernsey,gg,58,2007,45139.0
crude rate of net migration,831,guernsey,gg,59,2008,828.0
crude rate of net migration,831,guernsey,gg,60,2009,1652.0
crude rate of net migration,831,guernsey,gg,61,2010,12785.0
crude rate of net migration,831,guernsey,gg,62,2011,1658.0
crude rate of net migration,831,guernsey,gg,63,2012,2144.0
crude rate of net migration,831,guernsey,gg,64,2013,1696.0
crude rate of net migration,831,guernsey,gg,65,2014,1122.0
crude rate of net migration,831,guernsey,gg,66,2015,0.0
crude rate of net migration,831,guernsey,gg,67,2016,-2595.0
crude rate of net migration,831,guernsey,gg,68,2017,3106.0
crude rate of net migration,831,guernsey,gg,69,2018,6955.0
crude rate of net migration,831,guernsey,gg,70,2019,8017.0
crude rate of net migration,831,guernsey,gg,71,2020,3861.0
crude rate of net migration,831,guernsey,gg,72,2021,1936.0
crude rate of net migration,831,guernsey,gg,73,2022,1581.0
crude rate of net migration,831,guernsey,gg,74,2023,1575.0
