indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,831,guernsey,gg,1,1950,17.0
total net number of migrants,831,guernsey,gg,2,1951,-625.0
total net number of migrants,831,guernsey,gg,3,1952,282.0
total net number of migrants,831,guernsey,gg,4,1953,346.0
total net number of migrants,831,guernsey,gg,5,1954,403.0
total net number of migrants,831,guernsey,gg,6,1955,404.0
total net number of migrants,831,guernsey,gg,7,1956,464.0
total net number of migrants,831,guernsey,gg,8,1957,452.0
total net number of migrants,831,guernsey,gg,9,1958,450.0
total net number of migrants,831,guernsey,gg,10,1959,464.0
total net number of migrants,831,guernsey,gg,11,1960,431.0
total net number of migrants,831,guernsey,gg,12,1961,406.0
total net number of migrants,831,guernsey,gg,13,1962,397.0
total net number of migrants,831,guernsey,gg,14,1963,432.0
total net number of migrants,831,guernsey,gg,15,1964,458.0
total net number of migrants,831,guernsey,gg,16,1965,528.0
total net number of migrants,831,guernsey,gg,17,1966,584.0
total net number of migrants,831,guernsey,gg,18,1967,585.0
total net number of migrants,831,guernsey,gg,19,1968,666.0
total net number of migrants,831,guernsey,gg,20,1969,615.0
total net number of migrants,831,guernsey,gg,21,1970,595.0
total net number of migrants,831,guernsey,gg,22,1971,107.0
total net number of migrants,831,guernsey,gg,23,1972,-80.0
total net number of migrants,831,guernsey,gg,24,1973,-49.0
total net number of migrants,831,guernsey,gg,25,1974,-55.0
total net number of migrants,831,guernsey,gg,26,1975,-73.0
total net number of migrants,831,guernsey,gg,27,1976,-118.0
total net number of migrants,831,guernsey,gg,28,1977,-158.0
total net number of migrants,831,guernsey,gg,29,1978,-190.0
total net number of migrants,831,guernsey,gg,30,1979,-167.0
total net number of migrants,831,guernsey,gg,31,1980,-174.0
total net number of migrants,831,guernsey,gg,32,1981,253.0
total net number of migrants,831,guernsey,gg,33,1982,403.0
total net number of migrants,831,guernsey,gg,34,1983,407.0
total net number of migrants,831,guernsey,gg,35,1984,396.0
total net number of migrants,831,guernsey,gg,36,1985,456.0
total net number of migrants,831,guernsey,gg,37,1986,510.0
total net number of migrants,831,guernsey,gg,38,1987,523.0
total net number of migrants,831,guernsey,gg,39,1988,553.0
total net number of migrants,831,guernsey,gg,40,1989,545.0
total net number of migrants,831,guernsey,gg,41,1990,556.0
total net number of migrants,831,guernsey,gg,42,1991,101.0
total net number of migrants,831,guernsey,gg,43,1992,-202.0
total net number of migrants,831,guernsey,gg,44,1993,-122.0
total net number of migrants,831,guernsey,gg,45,1994,-178.0
total net number of migrants,831,guernsey,gg,46,1995,-149.0
total net number of migrants,831,guernsey,gg,47,1996,45.0
total net number of migrants,831,guernsey,gg,48,1997,99.0
total net number of migrants,831,guernsey,gg,49,1998,59.0
total net number of migrants,831,guernsey,gg,50,1999,77.0
total net number of migrants,831,guernsey,gg,51,2000,71.0
total net number of migrants,831,guernsey,gg,52,2001,78.0
total net number of migrants,831,guernsey,gg,53,2002,69.0
total net number of migrants,831,guernsey,gg,54,2003,68.0
total net number of migrants,831,guernsey,gg,55,2004,51.0
total net number of migrants,831,guernsey,gg,56,2005,52.0
total net number of migrants,831,guernsey,gg,57,2006,43.0
total net number of migrants,831,guernsey,gg,58,2007,65.0
total net number of migrants,831,guernsey,gg,59,2008,50.0
total net number of migrants,831,guernsey,gg,60,2009,100.0
total net number of migrants,831,guernsey,gg,61,2010,82.0
total net number of migrants,831,guernsey,gg,62,2011,101.0
total net number of migrants,831,guernsey,gg,63,2012,131.0
total net number of migrants,831,guernsey,gg,64,2013,104.0
total net number of migrants,831,guernsey,gg,65,2014,69.0
total net number of migrants,831,guernsey,gg,66,2015,0.0
total net number of migrants,831,guernsey,gg,67,2016,-160.0
total net number of migrants,831,guernsey,gg,68,2017,191.0
total net number of migrants,831,guernsey,gg,69,2018,429.0
total net number of migrants,831,guernsey,gg,70,2019,498.0
total net number of migrants,831,guernsey,gg,71,2020,242.0
total net number of migrants,831,guernsey,gg,72,2021,122.0
total net number of migrants,831,guernsey,gg,73,2022,100.0
total net number of migrants,831,guernsey,gg,74,2023,100.0
