indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,624,guinea-bissau,gw,1,1950,-3946.0
crude rate of net migration,624,guinea-bissau,gw,2,1951,-9988.0
crude rate of net migration,624,guinea-bissau,gw,3,1952,-10892.0
crude rate of net migration,624,guinea-bissau,gw,4,1953,-11631.0
crude rate of net migration,624,guinea-bissau,gw,5,1954,-12186.0
crude rate of net migration,624,guinea-bissau,gw,6,1955,-12605.0
crude rate of net migration,624,guinea-bissau,gw,7,1956,-12947.0
crude rate of net migration,624,guinea-bissau,gw,8,1957,-13207.0
crude rate of net migration,624,guinea-bissau,gw,9,1958,-13441.0
crude rate of net migration,624,guinea-bissau,gw,10,1959,-13661.0
crude rate of net migration,624,guinea-bissau,gw,11,1960,-13762.0
crude rate of net migration,624,guinea-bissau,gw,12,1961,-6112.0
crude rate of net migration,624,guinea-bissau,gw,13,1962,-6671.0
crude rate of net migration,624,guinea-bissau,gw,14,1963,-10017.0
crude rate of net migration,624,guinea-bissau,gw,15,1964,-39782.0
crude rate of net migration,624,guinea-bissau,gw,16,1965,-33983.0
crude rate of net migration,624,guinea-bissau,gw,17,1966,-19161.0
crude rate of net migration,624,guinea-bissau,gw,18,1967,2664.0
crude rate of net migration,624,guinea-bissau,gw,19,1968,4765.0
crude rate of net migration,624,guinea-bissau,gw,20,1969,-18617.0
crude rate of net migration,624,guinea-bissau,gw,21,1970,1919.0
crude rate of net migration,624,guinea-bissau,gw,22,1971,-22154.0
crude rate of net migration,624,guinea-bissau,gw,23,1972,-3346.0
crude rate of net migration,624,guinea-bissau,gw,24,1973,-3305.0
crude rate of net migration,624,guinea-bissau,gw,25,1974,36.04
crude rate of net migration,624,guinea-bissau,gw,26,1975,40507.0
crude rate of net migration,624,guinea-bissau,gw,27,1976,42929.0
crude rate of net migration,624,guinea-bissau,gw,28,1977,42694.0
crude rate of net migration,624,guinea-bissau,gw,29,1978,38756.0
crude rate of net migration,624,guinea-bissau,gw,30,1979,-16657.0
crude rate of net migration,624,guinea-bissau,gw,31,1980,-9668.0
crude rate of net migration,624,guinea-bissau,gw,32,1981,-9757.0
crude rate of net migration,624,guinea-bissau,gw,33,1982,-9902.0
crude rate of net migration,624,guinea-bissau,gw,34,1983,-9956.0
crude rate of net migration,624,guinea-bissau,gw,35,1984,-9898.0
crude rate of net migration,624,guinea-bissau,gw,36,1985,-9746.0
crude rate of net migration,624,guinea-bissau,gw,37,1986,-9524.0
crude rate of net migration,624,guinea-bissau,gw,38,1987,-9244.0
crude rate of net migration,624,guinea-bissau,gw,39,1988,-8945.0
crude rate of net migration,624,guinea-bissau,gw,40,1989,-8622.0
crude rate of net migration,624,guinea-bissau,gw,41,1990,-8337.0
crude rate of net migration,624,guinea-bissau,gw,42,1991,1632.0
crude rate of net migration,624,guinea-bissau,gw,43,1992,7388.0
crude rate of net migration,624,guinea-bissau,gw,44,1993,8134.0
crude rate of net migration,624,guinea-bissau,gw,45,1994,2917.0
crude rate of net migration,624,guinea-bissau,gw,46,1995,-3909.0
crude rate of net migration,624,guinea-bissau,gw,47,1996,-6439.0
crude rate of net migration,624,guinea-bissau,gw,48,1997,-7008.0
crude rate of net migration,624,guinea-bissau,gw,49,1998,-6869.0
crude rate of net migration,624,guinea-bissau,gw,50,1999,-6349.0
crude rate of net migration,624,guinea-bissau,gw,51,2000,-5647.0
crude rate of net migration,624,guinea-bissau,gw,52,2001,-4949.0
crude rate of net migration,624,guinea-bissau,gw,53,2002,-4432.0
crude rate of net migration,624,guinea-bissau,gw,54,2003,-4161.0
crude rate of net migration,624,guinea-bissau,gw,55,2004,-3811.0
crude rate of net migration,624,guinea-bissau,gw,56,2005,-3373.0
crude rate of net migration,624,guinea-bissau,gw,57,2006,-2924.0
crude rate of net migration,624,guinea-bissau,gw,58,2007,-2.53
crude rate of net migration,624,guinea-bissau,gw,59,2008,-2223.0
crude rate of net migration,624,guinea-bissau,gw,60,2009,-1845.0
crude rate of net migration,624,guinea-bissau,gw,61,2010,-1439.0
crude rate of net migration,624,guinea-bissau,gw,62,2011,-1093.0
crude rate of net migration,624,guinea-bissau,gw,63,2012,-872.0
crude rate of net migration,624,guinea-bissau,gw,64,2013,-821.0
crude rate of net migration,624,guinea-bissau,gw,65,2014,-799.0
crude rate of net migration,624,guinea-bissau,gw,66,2015,-778.0
crude rate of net migration,624,guinea-bissau,gw,67,2016,-758.0
crude rate of net migration,624,guinea-bissau,gw,68,2017,-743.0
crude rate of net migration,624,guinea-bissau,gw,69,2018,-725.0
crude rate of net migration,624,guinea-bissau,gw,70,2019,-708.0
crude rate of net migration,624,guinea-bissau,gw,71,2020,-691.0
crude rate of net migration,624,guinea-bissau,gw,72,2021,-677.0
crude rate of net migration,624,guinea-bissau,gw,73,2022,-665.0
crude rate of net migration,624,guinea-bissau,gw,74,2023,-651.0
