indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,624,guinea-bissau,gw,1,1950,-2149.0
total net number of migrants,624,guinea-bissau,gw,2,1951,-5516.0
total net number of migrants,624,guinea-bissau,gw,3,1952,-6063.0
total net number of migrants,624,guinea-bissau,gw,4,1953,-6520.0
total net number of migrants,624,guinea-bissau,gw,5,1954,-6874.0
total net number of migrants,624,guinea-bissau,gw,6,1955,-7151.0
total net number of migrants,624,guinea-bissau,gw,7,1956,-7385.0
total net number of migrants,624,guinea-bissau,gw,8,1957,-7572.0
total net number of migrants,624,guinea-bissau,gw,9,1958,-7745.0
total net number of migrants,624,guinea-bissau,gw,10,1959,-7911.0
total net number of migrants,624,guinea-bissau,gw,11,1960,-8009.0
total net number of migrants,624,guinea-bissau,gw,12,1961,-3575.0
total net number of migrants,624,guinea-bissau,gw,13,1962,-3952.0
total net number of migrants,624,guinea-bissau,gw,14,1963,-5999.0
total net number of migrants,624,guinea-bissau,gw,15,1964,-23966.0
total net number of migrants,624,guinea-bissau,gw,16,1965,-19961.0
total net number of migrants,624,guinea-bissau,gw,17,1966,-11031.0
total net number of migrants,624,guinea-bissau,gw,18,1967,1525.0
total net number of migrants,624,guinea-bissau,gw,19,1968,2774.0
total net number of migrants,624,guinea-bissau,gw,20,1969,-11049.0
total net number of migrants,624,guinea-bissau,gw,21,1970,1134.0
total net number of migrants,624,guinea-bissau,gw,22,1971,-13321.0
total net number of migrants,624,guinea-bissau,gw,23,1972,-1997.0
total net number of migrants,624,guinea-bissau,gw,24,1973,-1997.0
total net number of migrants,624,guinea-bissau,gw,25,1974,22080.0
total net number of migrants,624,guinea-bissau,gw,26,1975,26186.0
total net number of migrants,624,guinea-bissau,gw,27,1976,29447.0
total net number of migrants,624,guinea-bissau,gw,28,1977,31188.0
total net number of migrants,624,guinea-bissau,gw,29,1978,30184.0
total net number of migrants,624,guinea-bissau,gw,30,1979,-13801.0
total net number of migrants,624,guinea-bissau,gw,31,1980,-8080.0
total net number of migrants,624,guinea-bissau,gw,32,1981,-8286.0
total net number of migrants,624,guinea-bissau,gw,33,1982,-8546.0
total net number of migrants,624,guinea-bissau,gw,34,1983,-8730.0
total net number of migrants,624,guinea-bissau,gw,35,1984,-8816.0
total net number of migrants,624,guinea-bissau,gw,36,1985,-8816.0
total net number of migrants,624,guinea-bissau,gw,37,1986,-8748.0
total net number of migrants,624,guinea-bissau,gw,38,1987,-8623.0
total net number of migrants,624,guinea-bissau,gw,39,1988,-8474.0
total net number of migrants,624,guinea-bissau,gw,40,1989,-8298.0
total net number of migrants,624,guinea-bissau,gw,41,1990,-8150.0
total net number of migrants,624,guinea-bissau,gw,42,1991,1621.0
total net number of migrants,624,guinea-bissau,gw,43,1992,7531.0
total net number of migrants,624,guinea-bissau,gw,44,1993,8562.0
total net number of migrants,624,guinea-bissau,gw,45,1994,3174.0
total net number of migrants,624,guinea-bissau,gw,46,1995,-4376.0
total net number of migrants,624,guinea-bissau,gw,47,1996,-7369.0
total net number of migrants,624,guinea-bissau,gw,48,1997,-8176.0
total net number of migrants,624,guinea-bissau,gw,49,1998,-8163.0
total net number of migrants,624,guinea-bissau,gw,50,1999,-7686.0
total net number of migrants,624,guinea-bissau,gw,51,2000,-6971.0
total net number of migrants,624,guinea-bissau,gw,52,2001,-6239.0
total net number of migrants,624,guinea-bissau,gw,53,2002,-5712.0
total net number of migrants,624,guinea-bissau,gw,54,2003,-5487.0
total net number of migrants,624,guinea-bissau,gw,55,2004,-5144.0
total net number of migrants,624,guinea-bissau,gw,56,2005,-4662.0
total net number of migrants,624,guinea-bissau,gw,57,2006,-4142.0
total net number of migrants,624,guinea-bissau,gw,58,2007,-3676.0
total net number of migrants,624,guinea-bissau,gw,59,2008,-3313.0
total net number of migrants,624,guinea-bissau,gw,60,2009,-2821.0
total net number of migrants,624,guinea-bissau,gw,61,2010,-2257.0
total net number of migrants,624,guinea-bissau,gw,62,2011,-1760.0
total net number of migrants,624,guinea-bissau,gw,63,2012,-1442.0
total net number of migrants,624,guinea-bissau,gw,64,2013,-1395.0
total net number of migrants,624,guinea-bissau,gw,65,2014,-1393.0
total net number of migrants,624,guinea-bissau,gw,66,2015,-1393.0
total net number of migrants,624,guinea-bissau,gw,67,2016,-1392.0
total net number of migrants,624,guinea-bissau,gw,68,2017,-1398.0
total net number of migrants,624,guinea-bissau,gw,69,2018,-1396.0
total net number of migrants,624,guinea-bissau,gw,70,2019,-1395.0
total net number of migrants,624,guinea-bissau,gw,71,2020,-1394.0
total net number of migrants,624,guinea-bissau,gw,72,2021,-1395.0
total net number of migrants,624,guinea-bissau,gw,73,2022,-1400.0
total net number of migrants,624,guinea-bissau,gw,74,2023,-1400.0
