indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,324,guinea,gn,1,1950,0.0
total net number of migrants,324,guinea,gn,2,1951,0.0
total net number of migrants,324,guinea,gn,3,1952,0.0
total net number of migrants,324,guinea,gn,4,1953,0.0
total net number of migrants,324,guinea,gn,5,1954,0.0
total net number of migrants,324,guinea,gn,6,1955,0.0
total net number of migrants,324,guinea,gn,7,1956,0.0
total net number of migrants,324,guinea,gn,8,1957,0.0
total net number of migrants,324,guinea,gn,9,1958,0.0
total net number of migrants,324,guinea,gn,10,1959,0.0
total net number of migrants,324,guinea,gn,11,1960,0.0
total net number of migrants,324,guinea,gn,12,1961,0.0
total net number of migrants,324,guinea,gn,13,1962,0.0
total net number of migrants,324,guinea,gn,14,1963,0.0
total net number of migrants,324,guinea,gn,15,1964,0.0
total net number of migrants,324,guinea,gn,16,1965,0.0
total net number of migrants,324,guinea,gn,17,1966,0.0
total net number of migrants,324,guinea,gn,18,1967,0.0
total net number of migrants,324,guinea,gn,19,1968,-350.0
total net number of migrants,324,guinea,gn,20,1969,-2846.0
total net number of migrants,324,guinea,gn,21,1970,-6904.0
total net number of migrants,324,guinea,gn,22,1971,-11545.0
total net number of migrants,324,guinea,gn,23,1972,-15804.0
total net number of migrants,324,guinea,gn,24,1973,-19085.0
total net number of migrants,324,guinea,gn,25,1974,-22661.0
total net number of migrants,324,guinea,gn,26,1975,-26254.0
total net number of migrants,324,guinea,gn,27,1976,-29250.0
total net number of migrants,324,guinea,gn,28,1977,-31040.0
total net number of migrants,324,guinea,gn,29,1978,-30978.0
total net number of migrants,324,guinea,gn,30,1979,-28810.0
total net number of migrants,324,guinea,gn,31,1980,-25331.0
total net number of migrants,324,guinea,gn,32,1981,-21400.0
total net number of migrants,324,guinea,gn,33,1982,-17938.0
total net number of migrants,324,guinea,gn,34,1983,-15287.0
total net number of migrants,324,guinea,gn,35,1984,-11449.0
total net number of migrants,324,guinea,gn,36,1985,-6966.0
total net number of migrants,324,guinea,gn,37,1986,-2905.0
total net number of migrants,324,guinea,gn,38,1987,-357.0
total net number of migrants,324,guinea,gn,39,1988,-647.0
total net number of migrants,324,guinea,gn,40,1989,-5149.0
total net number of migrants,324,guinea,gn,41,1990,107641.0
total net number of migrants,324,guinea,gn,42,1991,66718.0
total net number of migrants,324,guinea,gn,43,1992,-3292.0
total net number of migrants,324,guinea,gn,44,1993,45616.0
total net number of migrants,324,guinea,gn,45,1994,-8824.0
total net number of migrants,324,guinea,gn,46,1995,18021.0
total net number of migrants,324,guinea,gn,47,1996,-4973.0
total net number of migrants,324,guinea,gn,48,1997,-107718.0
total net number of migrants,324,guinea,gn,49,1998,-30939.0
total net number of migrants,324,guinea,gn,50,1999,-46248.0
total net number of migrants,324,guinea,gn,51,2000,-77558.0
total net number of migrants,324,guinea,gn,52,2001,-155276.0
total net number of migrants,324,guinea,gn,53,2002,-33495.0
total net number of migrants,324,guinea,gn,54,2003,-36982.0
total net number of migrants,324,guinea,gn,55,2004,-56110.0
total net number of migrants,324,guinea,gn,56,2005,-71104.0
total net number of migrants,324,guinea,gn,57,2006,-48145.0
total net number of migrants,324,guinea,gn,58,2007,-34349.0
total net number of migrants,324,guinea,gn,59,2008,-32957.0
total net number of migrants,324,guinea,gn,60,2009,-34050.0
total net number of migrants,324,guinea,gn,61,2010,-31352.0
total net number of migrants,324,guinea,gn,62,2011,-29092.0
total net number of migrants,324,guinea,gn,63,2012,-32842.0
total net number of migrants,324,guinea,gn,64,2013,-29151.0
total net number of migrants,324,guinea,gn,65,2014,-22750.0
total net number of migrants,324,guinea,gn,66,2015,-15127.0
total net number of migrants,324,guinea,gn,67,2016,-14196.0
total net number of migrants,324,guinea,gn,68,2017,-13726.0
total net number of migrants,324,guinea,gn,69,2018,-9195.0
total net number of migrants,324,guinea,gn,70,2019,-3243.0
total net number of migrants,324,guinea,gn,71,2020,-4364.0
total net number of migrants,324,guinea,gn,72,2021,-4367.0
total net number of migrants,324,guinea,gn,73,2022,-4000.0
total net number of migrants,324,guinea,gn,74,2023,-4000.0
