indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,328,guyana,gy,1,1950,-412.0
crude rate of net migration,328,guyana,gy,2,1951,822.0
crude rate of net migration,328,guyana,gy,3,1952,634.0
crude rate of net migration,328,guyana,gy,4,1953,1008.0
crude rate of net migration,328,guyana,gy,5,1954,1437.0
crude rate of net migration,328,guyana,gy,6,1955,1969.0
crude rate of net migration,328,guyana,gy,7,1956,2137.0
crude rate of net migration,328,guyana,gy,8,1957,2342.0
crude rate of net migration,328,guyana,gy,9,1958,2535.0
crude rate of net migration,328,guyana,gy,10,1959,1923.0
crude rate of net migration,328,guyana,gy,11,1960,-2355.0
crude rate of net migration,328,guyana,gy,12,1961,-3434.0
crude rate of net migration,328,guyana,gy,13,1962,-4389.0
crude rate of net migration,328,guyana,gy,14,1963,-5259.0
crude rate of net migration,328,guyana,gy,15,1964,-6719.0
crude rate of net migration,328,guyana,gy,16,1965,-8592.0
crude rate of net migration,328,guyana,gy,17,1966,-10.44
crude rate of net migration,328,guyana,gy,18,1967,-11928.0
crude rate of net migration,328,guyana,gy,19,1968,-12829.0
crude rate of net migration,328,guyana,gy,20,1969,-13591.0
crude rate of net migration,328,guyana,gy,21,1970,-14216.0
crude rate of net migration,328,guyana,gy,22,1971,-14673.0
crude rate of net migration,328,guyana,gy,23,1972,-14871.0
crude rate of net migration,328,guyana,gy,24,1973,-14745.0
crude rate of net migration,328,guyana,gy,25,1974,-14239.0
crude rate of net migration,328,guyana,gy,26,1975,-13623.0
crude rate of net migration,328,guyana,gy,27,1976,-13206.0
crude rate of net migration,328,guyana,gy,28,1977,-13286.0
crude rate of net migration,328,guyana,gy,29,1978,-14202.0
crude rate of net migration,328,guyana,gy,30,1979,-16.35
crude rate of net migration,328,guyana,gy,31,1980,-19167.0
crude rate of net migration,328,guyana,gy,32,1981,-21843.0
crude rate of net migration,328,guyana,gy,33,1982,-23598.0
crude rate of net migration,328,guyana,gy,34,1983,-25071.0
crude rate of net migration,328,guyana,gy,35,1984,-26232.0
crude rate of net migration,328,guyana,gy,36,1985,-27078.0
crude rate of net migration,328,guyana,gy,37,1986,-27706.0
crude rate of net migration,328,guyana,gy,38,1987,-28.15
crude rate of net migration,328,guyana,gy,39,1988,-28456.0
crude rate of net migration,328,guyana,gy,40,1989,-28504.0
crude rate of net migration,328,guyana,gy,41,1990,-28538.0
crude rate of net migration,328,guyana,gy,42,1991,-20644.0
crude rate of net migration,328,guyana,gy,43,1992,-17914.0
crude rate of net migration,328,guyana,gy,44,1993,-17347.0
crude rate of net migration,328,guyana,gy,45,1994,-17453.0
crude rate of net migration,328,guyana,gy,46,1995,-17463.0
crude rate of net migration,328,guyana,gy,47,1996,-17463.0
crude rate of net migration,328,guyana,gy,48,1997,-17435.0
crude rate of net migration,328,guyana,gy,49,1998,-17361.0
crude rate of net migration,328,guyana,gy,50,1999,-17281.0
crude rate of net migration,328,guyana,gy,51,2000,-17212.0
crude rate of net migration,328,guyana,gy,52,2001,-17045.0
crude rate of net migration,328,guyana,gy,53,2002,-16643.0
crude rate of net migration,328,guyana,gy,54,2003,-16334.0
crude rate of net migration,328,guyana,gy,55,2004,-16509.0
crude rate of net migration,328,guyana,gy,56,2005,-16969.0
crude rate of net migration,328,guyana,gy,57,2006,-17423.0
crude rate of net migration,328,guyana,gy,58,2007,-17856.0
crude rate of net migration,328,guyana,gy,59,2008,-18246.0
crude rate of net migration,328,guyana,gy,60,2009,-18635.0
crude rate of net migration,328,guyana,gy,61,2010,-18975.0
crude rate of net migration,328,guyana,gy,62,2011,-19312.0
crude rate of net migration,328,guyana,gy,63,2012,-9568.0
crude rate of net migration,328,guyana,gy,64,2013,-9205.0
crude rate of net migration,328,guyana,gy,65,2014,-8.9
crude rate of net migration,328,guyana,gy,66,2015,-8603.0
crude rate of net migration,328,guyana,gy,67,2016,-8279.0
crude rate of net migration,328,guyana,gy,68,2017,-7973.0
crude rate of net migration,328,guyana,gy,69,2018,39041.0
crude rate of net migration,328,guyana,gy,70,2019,-30418.0
crude rate of net migration,328,guyana,gy,71,2020,1007.0
crude rate of net migration,328,guyana,gy,72,2021,-5.35
crude rate of net migration,328,guyana,gy,73,2022,-4811.0
crude rate of net migration,328,guyana,gy,74,2023,-4781.0
