indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,332,haiti,ht,1,1950,-2938.0
crude rate of net migration,332,haiti,ht,2,1951,-2863.0
crude rate of net migration,332,haiti,ht,3,1952,-2832.0
crude rate of net migration,332,haiti,ht,4,1953,-2833.0
crude rate of net migration,332,haiti,ht,5,1954,-2854.0
crude rate of net migration,332,haiti,ht,6,1955,-2894.0
crude rate of net migration,332,haiti,ht,7,1956,-2937.0
crude rate of net migration,332,haiti,ht,8,1957,-2984.0
crude rate of net migration,332,haiti,ht,9,1958,-3051.0
crude rate of net migration,332,haiti,ht,10,1959,-3.25
crude rate of net migration,332,haiti,ht,11,1960,-3528.0
crude rate of net migration,332,haiti,ht,12,1961,-3807.0
crude rate of net migration,332,haiti,ht,13,1962,-4008.0
crude rate of net migration,332,haiti,ht,14,1963,-4082.0
crude rate of net migration,332,haiti,ht,15,1964,-4088.0
crude rate of net migration,332,haiti,ht,16,1965,-4068.0
crude rate of net migration,332,haiti,ht,17,1966,-4059.0
crude rate of net migration,332,haiti,ht,18,1967,-4016.0
crude rate of net migration,332,haiti,ht,19,1968,-4002.0
crude rate of net migration,332,haiti,ht,20,1969,-3985.0
crude rate of net migration,332,haiti,ht,21,1970,-3932.0
crude rate of net migration,332,haiti,ht,22,1971,-3879.0
crude rate of net migration,332,haiti,ht,23,1972,-3832.0
crude rate of net migration,332,haiti,ht,24,1973,-3777.0
crude rate of net migration,332,haiti,ht,25,1974,-3731.0
crude rate of net migration,332,haiti,ht,26,1975,-3.64
crude rate of net migration,332,haiti,ht,27,1976,-3648.0
crude rate of net migration,332,haiti,ht,28,1977,-3642.0
crude rate of net migration,332,haiti,ht,29,1978,-3645.0
crude rate of net migration,332,haiti,ht,30,1979,-3748.0
crude rate of net migration,332,haiti,ht,31,1980,-3.91
crude rate of net migration,332,haiti,ht,32,1981,-3.87
crude rate of net migration,332,haiti,ht,33,1982,-3973.0
crude rate of net migration,332,haiti,ht,34,1983,-3988.0
crude rate of net migration,332,haiti,ht,35,1984,-3988.0
crude rate of net migration,332,haiti,ht,36,1985,-3.98
crude rate of net migration,332,haiti,ht,37,1986,-3958.0
crude rate of net migration,332,haiti,ht,38,1987,-3917.0
crude rate of net migration,332,haiti,ht,39,1988,-3858.0
crude rate of net migration,332,haiti,ht,40,1989,-3807.0
crude rate of net migration,332,haiti,ht,41,1990,-3762.0
crude rate of net migration,332,haiti,ht,42,1991,-3719.0
crude rate of net migration,332,haiti,ht,43,1992,-3673.0
crude rate of net migration,332,haiti,ht,44,1993,-3.62
crude rate of net migration,332,haiti,ht,45,1994,-3582.0
crude rate of net migration,332,haiti,ht,46,1995,-3551.0
crude rate of net migration,332,haiti,ht,47,1996,-3516.0
crude rate of net migration,332,haiti,ht,48,1997,-3.47
crude rate of net migration,332,haiti,ht,49,1998,-3405.0
crude rate of net migration,332,haiti,ht,50,1999,-3324.0
crude rate of net migration,332,haiti,ht,51,2000,-3236.0
crude rate of net migration,332,haiti,ht,52,2001,-3148.0
crude rate of net migration,332,haiti,ht,53,2002,-3071.0
crude rate of net migration,332,haiti,ht,54,2003,-3006.0
crude rate of net migration,332,haiti,ht,55,2004,-2944.0
crude rate of net migration,332,haiti,ht,56,2005,-2882.0
crude rate of net migration,332,haiti,ht,57,2006,-2871.0
crude rate of net migration,332,haiti,ht,58,2007,-2864.0
crude rate of net migration,332,haiti,ht,59,2008,-2883.0
crude rate of net migration,332,haiti,ht,60,2009,-2868.0
crude rate of net migration,332,haiti,ht,61,2010,-2885.0
crude rate of net migration,332,haiti,ht,62,2011,-2914.0
crude rate of net migration,332,haiti,ht,63,2012,-2932.0
crude rate of net migration,332,haiti,ht,64,2013,-2953.0
crude rate of net migration,332,haiti,ht,65,2014,-3012.0
crude rate of net migration,332,haiti,ht,66,2015,-3.09
crude rate of net migration,332,haiti,ht,67,2016,-3159.0
crude rate of net migration,332,haiti,ht,68,2017,-3195.0
crude rate of net migration,332,haiti,ht,69,2018,-3174.0
crude rate of net migration,332,haiti,ht,70,2019,-3098.0
crude rate of net migration,332,haiti,ht,71,2020,-2991.0
crude rate of net migration,332,haiti,ht,72,2021,-2877.0
crude rate of net migration,332,haiti,ht,73,2022,-2.78
crude rate of net migration,332,haiti,ht,74,2023,-2709.0
