indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,340,honduras,hn,1,1950,-89.0
total net number of migrants,340,honduras,hn,2,1951,-190.0
total net number of migrants,340,honduras,hn,3,1952,-278.0
total net number of migrants,340,honduras,hn,4,1953,-538.0
total net number of migrants,340,honduras,hn,5,1954,-873.0
total net number of migrants,340,honduras,hn,6,1955,-1248.0
total net number of migrants,340,honduras,hn,7,1956,-1680.0
total net number of migrants,340,honduras,hn,8,1957,-2158.0
total net number of migrants,340,honduras,hn,9,1958,-2674.0
total net number of migrants,340,honduras,hn,10,1959,-3339.0
total net number of migrants,340,honduras,hn,11,1960,-4090.0
total net number of migrants,340,honduras,hn,12,1961,-4842.0
total net number of migrants,340,honduras,hn,13,1962,-5519.0
total net number of migrants,340,honduras,hn,14,1963,-6063.0
total net number of migrants,340,honduras,hn,15,1964,-6618.0
total net number of migrants,340,honduras,hn,16,1965,-7160.0
total net number of migrants,340,honduras,hn,17,1966,-7649.0
total net number of migrants,340,honduras,hn,18,1967,-8052.0
total net number of migrants,340,honduras,hn,19,1968,-8331.0
total net number of migrants,340,honduras,hn,20,1969,-8545.0
total net number of migrants,340,honduras,hn,21,1970,-8746.0
total net number of migrants,340,honduras,hn,22,1971,-8921.0
total net number of migrants,340,honduras,hn,23,1972,-9099.0
total net number of migrants,340,honduras,hn,24,1973,-9289.0
total net number of migrants,340,honduras,hn,25,1974,-9475.0
total net number of migrants,340,honduras,hn,26,1975,-9655.0
total net number of migrants,340,honduras,hn,27,1976,-9838.0
total net number of migrants,340,honduras,hn,28,1977,-10071.0
total net number of migrants,340,honduras,hn,29,1978,-10353.0
total net number of migrants,340,honduras,hn,30,1979,-10725.0
total net number of migrants,340,honduras,hn,31,1980,-11183.0
total net number of migrants,340,honduras,hn,32,1981,-11671.0
total net number of migrants,340,honduras,hn,33,1982,-12163.0
total net number of migrants,340,honduras,hn,34,1983,-12647.0
total net number of migrants,340,honduras,hn,35,1984,-13181.0
total net number of migrants,340,honduras,hn,36,1985,-13739.0
total net number of migrants,340,honduras,hn,37,1986,-14253.0
total net number of migrants,340,honduras,hn,38,1987,-14660.0
total net number of migrants,340,honduras,hn,39,1988,-14918.0
total net number of migrants,340,honduras,hn,40,1989,-15147.0
total net number of migrants,340,honduras,hn,41,1990,-15350.0
total net number of migrants,340,honduras,hn,42,1991,-15507.0
total net number of migrants,340,honduras,hn,43,1992,-15585.0
total net number of migrants,340,honduras,hn,44,1993,-15559.0
total net number of migrants,340,honduras,hn,45,1994,-15246.0
total net number of migrants,340,honduras,hn,46,1995,-14711.0
total net number of migrants,340,honduras,hn,47,1996,-14049.0
total net number of migrants,340,honduras,hn,48,1997,-13343.0
total net number of migrants,340,honduras,hn,49,1998,-12638.0
total net number of migrants,340,honduras,hn,50,1999,-11757.0
total net number of migrants,340,honduras,hn,51,2000,-10762.0
total net number of migrants,340,honduras,hn,52,2001,-9749.0
total net number of migrants,340,honduras,hn,53,2002,-8815.0
total net number of migrants,340,honduras,hn,54,2003,-7986.0
total net number of migrants,340,honduras,hn,55,2004,-7082.0
total net number of migrants,340,honduras,hn,56,2005,-6187.0
total net number of migrants,340,honduras,hn,57,2006,-5451.0
total net number of migrants,340,honduras,hn,58,2007,-5039.0
total net number of migrants,340,honduras,hn,59,2008,-5039.0
total net number of migrants,340,honduras,hn,60,2009,-5196.0
total net number of migrants,340,honduras,hn,61,2010,-5418.0
total net number of migrants,340,honduras,hn,62,2011,-5664.0
total net number of migrants,340,honduras,hn,63,2012,-5896.0
total net number of migrants,340,honduras,hn,64,2013,-6094.0
total net number of migrants,340,honduras,hn,65,2014,-6302.0
total net number of migrants,340,honduras,hn,66,2015,-6512.0
total net number of migrants,340,honduras,hn,67,2016,-6685.0
total net number of migrants,340,honduras,hn,68,2017,-6782.0
total net number of migrants,340,honduras,hn,69,2018,-6768.0
total net number of migrants,340,honduras,hn,70,2019,-6550.0
total net number of migrants,340,honduras,hn,71,2020,-6199.0
total net number of migrants,340,honduras,hn,72,2021,-5779.0
total net number of migrants,340,honduras,hn,73,2022,-5374.0
total net number of migrants,340,honduras,hn,74,2023,-5034.0
