indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,348,hungary,hu,1,1950,103.0
crude rate of net migration,348,hungary,hu,2,1951,-0.18
crude rate of net migration,348,hungary,hu,3,1952,176.0
crude rate of net migration,348,hungary,hu,4,1953,446.0
crude rate of net migration,348,hungary,hu,5,1954,615.0
crude rate of net migration,348,hungary,hu,6,1955,334.0
crude rate of net migration,348,hungary,hu,7,1956,-14571.0
crude rate of net migration,348,hungary,hu,8,1957,-4185.0
crude rate of net migration,348,hungary,hu,9,1958,362.0
crude rate of net migration,348,hungary,hu,10,1959,351.0
crude rate of net migration,348,hungary,hu,11,1960,-145.0
crude rate of net migration,348,hungary,hu,12,1961,-82.0
crude rate of net migration,348,hungary,hu,13,1962,-204.0
crude rate of net migration,348,hungary,hu,14,1963,-34.0
crude rate of net migration,348,hungary,hu,15,1964,-74.0
crude rate of net migration,348,hungary,hu,16,1965,-104.0
crude rate of net migration,348,hungary,hu,17,1966,-63.0
crude rate of net migration,348,hungary,hu,18,1967,25.0
crude rate of net migration,348,hungary,hu,19,1968,-0.09
crude rate of net migration,348,hungary,hu,20,1969,16.0
crude rate of net migration,348,hungary,hu,21,1970,57.0
crude rate of net migration,348,hungary,hu,22,1971,119.0
crude rate of net migration,348,hungary,hu,23,1972,79.0
crude rate of net migration,348,hungary,hu,24,1973,28.0
crude rate of net migration,348,hungary,hu,25,1974,45.0
crude rate of net migration,348,hungary,hu,26,1975,177.0
crude rate of net migration,348,hungary,hu,27,1976,116.0
crude rate of net migration,348,hungary,hu,28,1977,36.0
crude rate of net migration,348,hungary,hu,29,1978,126.0
crude rate of net migration,348,hungary,hu,30,1979,448.0
crude rate of net migration,348,hungary,hu,31,1980,-1774.0
crude rate of net migration,348,hungary,hu,32,1981,-1698.0
crude rate of net migration,348,hungary,hu,33,1982,-1688.0
crude rate of net migration,348,hungary,hu,34,1983,-1666.0
crude rate of net migration,348,hungary,hu,35,1984,-1677.0
crude rate of net migration,348,hungary,hu,36,1985,-1589.0
crude rate of net migration,348,hungary,hu,37,1986,-1611.0
crude rate of net migration,348,hungary,hu,38,1987,-1585.0
crude rate of net migration,348,hungary,hu,39,1988,-1577.0
crude rate of net migration,348,hungary,hu,40,1989,-1668.0
crude rate of net migration,348,hungary,hu,41,1990,1692.0
crude rate of net migration,348,hungary,hu,42,1991,31413.0
crude rate of net migration,348,hungary,hu,43,1992,1699.0
crude rate of net migration,348,hungary,hu,44,1993,1665.0
crude rate of net migration,348,hungary,hu,45,1994,1651.0
crude rate of net migration,348,hungary,hu,46,1995,1641.0
crude rate of net migration,348,hungary,hu,47,1996,1605.0
crude rate of net migration,348,hungary,hu,48,1997,1589.0
crude rate of net migration,348,hungary,hu,49,1998,1526.0
crude rate of net migration,348,hungary,hu,50,1999,1429.0
crude rate of net migration,348,hungary,hu,51,2000,1518.0
crude rate of net migration,348,hungary,hu,52,2001,976.0
crude rate of net migration,348,hungary,hu,53,2002,238.0
crude rate of net migration,348,hungary,hu,54,2003,1403.0
crude rate of net migration,348,hungary,hu,55,2004,1666.0
crude rate of net migration,348,hungary,hu,56,2005,1651.0
crude rate of net migration,348,hungary,hu,57,2006,2083.0
crude rate of net migration,348,hungary,hu,58,2007,1435.0
crude rate of net migration,348,hungary,hu,59,2008,1664.0
crude rate of net migration,348,hungary,hu,60,2009,1918.0
crude rate of net migration,348,hungary,hu,61,2010,1142.0
crude rate of net migration,348,hungary,hu,62,2011,89.0
crude rate of net migration,348,hungary,hu,63,2012,1619.0
crude rate of net migration,348,hungary,hu,64,2013,535.0
crude rate of net migration,348,hungary,hu,65,2014,1173.0
crude rate of net migration,348,hungary,hu,66,2015,16072.0
crude rate of net migration,348,hungary,hu,67,2016,-0.1
crude rate of net migration,348,hungary,hu,68,2017,1845.0
crude rate of net migration,348,hungary,hu,69,2018,3276.0
crude rate of net migration,348,hungary,hu,70,2019,16132.0
crude rate of net migration,348,hungary,hu,71,2020,928.0
crude rate of net migration,348,hungary,hu,72,2021,2049.0
crude rate of net migration,348,hungary,hu,73,2022,63779.0
crude rate of net migration,348,hungary,hu,74,2023,-15307.0
