indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,348,hungary,hu,1,1950,966.0
total net number of migrants,348,hungary,hu,2,1951,-1692.0
total net number of migrants,348,hungary,hu,3,1952,1677.0
total net number of migrants,348,hungary,hu,4,1953,4284.0
total net number of migrants,348,hungary,hu,5,1954,5973.0
total net number of migrants,348,hungary,hu,6,1955,3276.0
total net number of migrants,348,hungary,hu,7,1956,-144585.0
total net number of migrants,348,hungary,hu,8,1957,-41228.0
total net number of migrants,348,hungary,hu,9,1958,3577.0
total net number of migrants,348,hungary,hu,10,1959,3483.0
total net number of migrants,348,hungary,hu,11,1960,-1446.0
total net number of migrants,348,hungary,hu,12,1961,-821.0
total net number of migrants,348,hungary,hu,13,1962,-2054.0
total net number of migrants,348,hungary,hu,14,1963,-342.0
total net number of migrants,348,hungary,hu,15,1964,-751.0
total net number of migrants,348,hungary,hu,16,1965,-1057.0
total net number of migrants,348,hungary,hu,17,1966,-645.0
total net number of migrants,348,hungary,hu,18,1967,255.0
total net number of migrants,348,hungary,hu,19,1968,-922.0
total net number of migrants,348,hungary,hu,20,1969,164.0
total net number of migrants,348,hungary,hu,21,1970,583.0
total net number of migrants,348,hungary,hu,22,1971,1235.0
total net number of migrants,348,hungary,hu,23,1972,818.0
total net number of migrants,348,hungary,hu,24,1973,289.0
total net number of migrants,348,hungary,hu,25,1974,474.0
total net number of migrants,348,hungary,hu,26,1975,1861.0
total net number of migrants,348,hungary,hu,27,1976,1225.0
total net number of migrants,348,hungary,hu,28,1977,384.0
total net number of migrants,348,hungary,hu,29,1978,1338.0
total net number of migrants,348,hungary,hu,30,1979,4787.0
total net number of migrants,348,hungary,hu,31,1980,-18988.0
total net number of migrants,348,hungary,hu,32,1981,-18148.0
total net number of migrants,348,hungary,hu,33,1982,-17999.0
total net number of migrants,348,hungary,hu,34,1983,-17700.0
total net number of migrants,348,hungary,hu,35,1984,-17752.0
total net number of migrants,348,hungary,hu,36,1985,-16765.0
total net number of migrants,348,hungary,hu,37,1986,-16940.0
total net number of migrants,348,hungary,hu,38,1987,-16603.0
total net number of migrants,348,hungary,hu,39,1988,-16466.0
total net number of migrants,348,hungary,hu,40,1989,-17359.0
total net number of migrants,348,hungary,hu,41,1990,17545.0
total net number of migrants,348,hungary,hu,42,1991,19281.0
total net number of migrants,348,hungary,hu,43,1992,17604.0
total net number of migrants,348,hungary,hu,44,1993,17225.0
total net number of migrants,348,hungary,hu,45,1994,17065.0
total net number of migrants,348,hungary,hu,46,1995,16934.0
total net number of migrants,348,hungary,hu,47,1996,16527.0
total net number of migrants,348,hungary,hu,48,1997,16324.0
total net number of migrants,348,hungary,hu,49,1998,15643.0
total net number of migrants,348,hungary,hu,50,1999,14610.0
total net number of migrants,348,hungary,hu,51,2000,15478.0
total net number of migrants,348,hungary,hu,52,2001,9927.0
total net number of migrants,348,hungary,hu,53,2002,2412.0
total net number of migrants,348,hungary,hu,54,2003,14182.0
total net number of migrants,348,hungary,hu,55,2004,16803.0
total net number of migrants,348,hungary,hu,56,2005,16615.0
total net number of migrants,348,hungary,hu,57,2006,20926.0
total net number of migrants,348,hungary,hu,58,2007,14398.0
total net number of migrants,348,hungary,hu,59,2008,16664.0
total net number of migrants,348,hungary,hu,60,2009,19182.0
total net number of migrants,348,hungary,hu,61,2010,11394.0
total net number of migrants,348,hungary,hu,62,2011,889.0
total net number of migrants,348,hungary,hu,63,2012,16048.0
total net number of migrants,348,hungary,hu,64,2013,5296.0
total net number of migrants,348,hungary,hu,65,2014,11571.0
total net number of migrants,348,hungary,hu,66,2015,14166.0
total net number of migrants,348,hungary,hu,67,2016,-982.0
total net number of migrants,348,hungary,hu,68,2017,18044.0
total net number of migrants,348,hungary,hu,69,2018,31976.0
total net number of migrants,348,hungary,hu,70,2019,33559.0
total net number of migrants,348,hungary,hu,71,2020,9042.0
total net number of migrants,348,hungary,hu,72,2021,19870.0
total net number of migrants,348,hungary,hu,73,2022,616038.0
total net number of migrants,348,hungary,hu,74,2023,-156677.0
