indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,356,india,in,1,1950,349.0
crude rate of net migration,356,india,in,2,1951,269.0
crude rate of net migration,356,india,in,3,1952,42.0
crude rate of net migration,356,india,in,4,1953,-354.0
crude rate of net migration,356,india,in,5,1954,-271.0
crude rate of net migration,356,india,in,6,1955,-289.0
crude rate of net migration,356,india,in,7,1956,-292.0
crude rate of net migration,356,india,in,8,1957,-345.0
crude rate of net migration,356,india,in,9,1958,-802.0
crude rate of net migration,356,india,in,10,1959,-114.0
crude rate of net migration,356,india,in,11,1960,117.0
crude rate of net migration,356,india,in,12,1961,0.25
crude rate of net migration,356,india,in,13,1962,236.0
crude rate of net migration,356,india,in,14,1963,102.0
crude rate of net migration,356,india,in,15,1964,12.0
crude rate of net migration,356,india,in,16,1965,38.0
crude rate of net migration,356,india,in,17,1966,-283.0
crude rate of net migration,356,india,in,18,1967,-238.0
crude rate of net migration,356,india,in,19,1968,-345.0
crude rate of net migration,356,india,in,20,1969,-315.0
crude rate of net migration,356,india,in,21,1970,-82.0
crude rate of net migration,356,india,in,22,1971,-387.0
crude rate of net migration,356,india,in,23,1972,-103.0
crude rate of net migration,356,india,in,24,1973,-105.0
crude rate of net migration,356,india,in,25,1974,-276.0
crude rate of net migration,356,india,in,26,1975,-362.0
crude rate of net migration,356,india,in,27,1976,-684.0
crude rate of net migration,356,india,in,28,1977,-48.0
crude rate of net migration,356,india,in,29,1978,-21.0
crude rate of net migration,356,india,in,30,1979,0.1
crude rate of net migration,356,india,in,31,1980,0.29
crude rate of net migration,356,india,in,32,1981,33.0
crude rate of net migration,356,india,in,33,1982,-36.0
crude rate of net migration,356,india,in,34,1983,62.0
crude rate of net migration,356,india,in,35,1984,-76.0
crude rate of net migration,356,india,in,36,1985,-145.0
crude rate of net migration,356,india,in,37,1986,-324.0
crude rate of net migration,356,india,in,38,1987,-285.0
crude rate of net migration,356,india,in,39,1988,-124.0
crude rate of net migration,356,india,in,40,1989,-16.0
crude rate of net migration,356,india,in,41,1990,125.0
crude rate of net migration,356,india,in,42,1991,-178.0
crude rate of net migration,356,india,in,43,1992,9.0
crude rate of net migration,356,india,in,44,1993,3.0
crude rate of net migration,356,india,in,45,1994,116.0
crude rate of net migration,356,india,in,46,1995,-59.0
crude rate of net migration,356,india,in,47,1996,-27.0
crude rate of net migration,356,india,in,48,1997,1.0
crude rate of net migration,356,india,in,49,1998,-28.0
crude rate of net migration,356,india,in,50,1999,-102.0
crude rate of net migration,356,india,in,51,2000,-142.0
crude rate of net migration,356,india,in,52,2001,-164.0
crude rate of net migration,356,india,in,53,2002,-189.0
crude rate of net migration,356,india,in,54,2003,-229.0
crude rate of net migration,356,india,in,55,2004,-189.0
crude rate of net migration,356,india,in,56,2005,-476.0
crude rate of net migration,356,india,in,57,2006,-578.0
crude rate of net migration,356,india,in,58,2007,-646.0
crude rate of net migration,356,india,in,59,2008,-701.0
crude rate of net migration,356,india,in,60,2009,-656.0
crude rate of net migration,356,india,in,61,2010,-306.0
crude rate of net migration,356,india,in,62,2011,-194.0
crude rate of net migration,356,india,in,63,2012,-142.0
crude rate of net migration,356,india,in,64,2013,-183.0
crude rate of net migration,356,india,in,65,2014,-238.0
crude rate of net migration,356,india,in,66,2015,-359.0
crude rate of net migration,356,india,in,67,2016,51.0
crude rate of net migration,356,india,in,68,2017,-162.0
crude rate of net migration,356,india,in,69,2018,-0.41
crude rate of net migration,356,india,in,70,2019,-429.0
crude rate of net migration,356,india,in,71,2020,-25.0
crude rate of net migration,356,india,in,72,2021,-215.0
crude rate of net migration,356,india,in,73,2022,-344.0
crude rate of net migration,356,india,in,74,2023,-0.34
