indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,360,indonesia,id,1,1950,88615.0
total net number of migrants,360,indonesia,id,2,1951,89835.0
total net number of migrants,360,indonesia,id,3,1952,90599.0
total net number of migrants,360,indonesia,id,4,1953,45573.0
total net number of migrants,360,indonesia,id,5,1954,45843.0
total net number of migrants,360,indonesia,id,6,1955,46214.0
total net number of migrants,360,indonesia,id,7,1956,46805.0
total net number of migrants,360,indonesia,id,8,1957,47713.0
total net number of migrants,360,indonesia,id,9,1958,48938.0
total net number of migrants,360,indonesia,id,10,1959,49945.0
total net number of migrants,360,indonesia,id,11,1960,50818.0
total net number of migrants,360,indonesia,id,12,1961,51816.0
total net number of migrants,360,indonesia,id,13,1962,53132.0
total net number of migrants,360,indonesia,id,14,1963,55084.0
total net number of migrants,360,indonesia,id,15,1964,72412.0
total net number of migrants,360,indonesia,id,16,1965,-61146.0
total net number of migrants,360,indonesia,id,17,1966,-77641.0
total net number of migrants,360,indonesia,id,18,1967,-80155.0
total net number of migrants,360,indonesia,id,19,1968,55732.0
total net number of migrants,360,indonesia,id,20,1969,82958.0
total net number of migrants,360,indonesia,id,21,1970,81364.0
total net number of migrants,360,indonesia,id,22,1971,79266.0
total net number of migrants,360,indonesia,id,23,1972,72010.0
total net number of migrants,360,indonesia,id,24,1973,64990.0
total net number of migrants,360,indonesia,id,25,1974,61188.0
total net number of migrants,360,indonesia,id,26,1975,56388.0
total net number of migrants,360,indonesia,id,27,1976,48001.0
total net number of migrants,360,indonesia,id,28,1977,45610.0
total net number of migrants,360,indonesia,id,29,1978,45920.0
total net number of migrants,360,indonesia,id,30,1979,43900.0
total net number of migrants,360,indonesia,id,31,1980,42246.0
total net number of migrants,360,indonesia,id,32,1981,44710.0
total net number of migrants,360,indonesia,id,33,1982,46789.0
total net number of migrants,360,indonesia,id,34,1983,47375.0
total net number of migrants,360,indonesia,id,35,1984,43693.0
total net number of migrants,360,indonesia,id,36,1985,37447.0
total net number of migrants,360,indonesia,id,37,1986,30990.0
total net number of migrants,360,indonesia,id,38,1987,26709.0
total net number of migrants,360,indonesia,id,39,1988,25379.0
total net number of migrants,360,indonesia,id,40,1989,19910.0
total net number of migrants,360,indonesia,id,41,1990,11542.0
total net number of migrants,360,indonesia,id,42,1991,3096.0
total net number of migrants,360,indonesia,id,43,1992,-2608.0
total net number of migrants,360,indonesia,id,44,1993,-3474.0
total net number of migrants,360,indonesia,id,45,1994,-2576.0
total net number of migrants,360,indonesia,id,46,1995,-1651.0
total net number of migrants,360,indonesia,id,47,1996,-1856.0
total net number of migrants,360,indonesia,id,48,1997,-4332.0
total net number of migrants,360,indonesia,id,49,1998,-11356.0
total net number of migrants,360,indonesia,id,50,1999,-28804.0
total net number of migrants,360,indonesia,id,51,2000,-42697.0
total net number of migrants,360,indonesia,id,52,2001,-64261.0
total net number of migrants,360,indonesia,id,53,2002,-83985.0
total net number of migrants,360,indonesia,id,54,2003,-97733.0
total net number of migrants,360,indonesia,id,55,2004,-102669.0
total net number of migrants,360,indonesia,id,56,2005,-102380.0
total net number of migrants,360,indonesia,id,57,2006,-101108.0
total net number of migrants,360,indonesia,id,58,2007,-103121.0
total net number of migrants,360,indonesia,id,59,2008,-108492.0
total net number of migrants,360,indonesia,id,60,2009,-98211.0
total net number of migrants,360,indonesia,id,61,2010,-77010.0
total net number of migrants,360,indonesia,id,62,2011,-54051.0
total net number of migrants,360,indonesia,id,63,2012,-38499.0
total net number of migrants,360,indonesia,id,64,2013,-36670.0
total net number of migrants,360,indonesia,id,65,2014,-37324.0
total net number of migrants,360,indonesia,id,66,2015,-37991.0
total net number of migrants,360,indonesia,id,67,2016,-38653.0
total net number of migrants,360,indonesia,id,68,2017,-39282.0
total net number of migrants,360,indonesia,id,69,2018,-39878.0
total net number of migrants,360,indonesia,id,70,2019,-40567.0
total net number of migrants,360,indonesia,id,71,2020,-24999.0
total net number of migrants,360,indonesia,id,72,2021,-14992.0
total net number of migrants,360,indonesia,id,73,2022,-49997.0
total net number of migrants,360,indonesia,id,74,2023,-49997.0
