indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,364,iran (islamic republic of),ir,1,1950,9068.0
total net number of migrants,364,iran (islamic republic of),ir,2,1951,7745.0
total net number of migrants,364,iran (islamic republic of),ir,3,1952,2427.0
total net number of migrants,364,iran (islamic republic of),ir,4,1953,-7872.0
total net number of migrants,364,iran (islamic republic of),ir,5,1954,-5607.0
total net number of migrants,364,iran (islamic republic of),ir,6,1955,-6159.0
total net number of migrants,364,iran (islamic republic of),ir,7,1956,-6399.0
total net number of migrants,364,iran (islamic republic of),ir,8,1957,-19490.0
total net number of migrants,364,iran (islamic republic of),ir,9,1958,-28359.0
total net number of migrants,364,iran (islamic republic of),ir,10,1959,2699.0
total net number of migrants,364,iran (islamic republic of),ir,11,1960,24066.0
total net number of migrants,364,iran (islamic republic of),ir,12,1961,45680.0
total net number of migrants,364,iran (islamic republic of),ir,13,1962,64099.0
total net number of migrants,364,iran (islamic republic of),ir,14,1963,77744.0
total net number of migrants,364,iran (islamic republic of),ir,15,1964,89360.0
total net number of migrants,364,iran (islamic republic of),ir,16,1965,95420.0
total net number of migrants,364,iran (islamic republic of),ir,17,1966,66156.0
total net number of migrants,364,iran (islamic republic of),ir,18,1967,44993.0
total net number of migrants,364,iran (islamic republic of),ir,19,1968,36935.0
total net number of migrants,364,iran (islamic republic of),ir,20,1969,45481.0
total net number of migrants,364,iran (islamic republic of),ir,21,1970,59763.0
total net number of migrants,364,iran (islamic republic of),ir,22,1971,47734.0
total net number of migrants,364,iran (islamic republic of),ir,23,1972,66558.0
total net number of migrants,364,iran (islamic republic of),ir,24,1973,74729.0
total net number of migrants,364,iran (islamic republic of),ir,25,1974,73218.0
total net number of migrants,364,iran (islamic republic of),ir,26,1975,76834.0
total net number of migrants,364,iran (islamic republic of),ir,27,1976,-11275.0
total net number of migrants,364,iran (islamic republic of),ir,28,1977,38058.0
total net number of migrants,364,iran (islamic republic of),ir,29,1978,40073.0
total net number of migrants,364,iran (islamic republic of),ir,30,1979,45412.0
total net number of migrants,364,iran (islamic republic of),ir,31,1980,66006.0
total net number of migrants,364,iran (islamic republic of),ir,32,1981,1266083.0
total net number of migrants,364,iran (islamic republic of),ir,33,1982,69511.0
total net number of migrants,364,iran (islamic republic of),ir,34,1983,95824.0
total net number of migrants,364,iran (islamic republic of),ir,35,1984,87876.0
total net number of migrants,364,iran (islamic republic of),ir,36,1985,82961.0
total net number of migrants,364,iran (islamic republic of),ir,37,1986,104653.0
total net number of migrants,364,iran (islamic republic of),ir,38,1987,97248.0
total net number of migrants,364,iran (islamic republic of),ir,39,1988,63143.0
total net number of migrants,364,iran (islamic republic of),ir,40,1989,59563.0
total net number of migrants,364,iran (islamic republic of),ir,41,1990,1375419.0
total net number of migrants,364,iran (islamic republic of),ir,42,1991,194979.0
total net number of migrants,364,iran (islamic republic of),ir,43,1992,-203400.0
total net number of migrants,364,iran (islamic republic of),ir,44,1993,-1595940.0
total net number of migrants,364,iran (islamic republic of),ir,45,1994,-197490.0
total net number of migrants,364,iran (islamic republic of),ir,46,1995,-120114.0
total net number of migrants,364,iran (islamic republic of),ir,47,1996,7728.0
total net number of migrants,364,iran (islamic republic of),ir,48,1997,198135.0
total net number of migrants,364,iran (islamic republic of),ir,49,1998,288994.0
total net number of migrants,364,iran (islamic republic of),ir,50,1999,277986.0
total net number of migrants,364,iran (islamic republic of),ir,51,2000,394594.0
total net number of migrants,364,iran (islamic republic of),ir,52,2001,393336.0
total net number of migrants,364,iran (islamic republic of),ir,53,2002,-568950.0
total net number of migrants,364,iran (islamic republic of),ir,54,2003,370945.0
total net number of migrants,364,iran (islamic republic of),ir,55,2004,369535.0
total net number of migrants,364,iran (islamic republic of),ir,56,2005,323987.0
total net number of migrants,364,iran (islamic republic of),ir,57,2006,252053.0
total net number of migrants,364,iran (islamic republic of),ir,58,2007,139826.0
total net number of migrants,364,iran (islamic republic of),ir,59,2008,90815.0
total net number of migrants,364,iran (islamic republic of),ir,60,2009,99224.0
total net number of migrants,364,iran (islamic republic of),ir,61,2010,127703.0
total net number of migrants,364,iran (islamic republic of),ir,62,2011,-150029.0
total net number of migrants,364,iran (islamic republic of),ir,63,2012,19635.0
total net number of migrants,364,iran (islamic republic of),ir,64,2013,23351.0
total net number of migrants,364,iran (islamic republic of),ir,65,2014,653255.0
total net number of migrants,364,iran (islamic republic of),ir,66,2015,628310.0
total net number of migrants,364,iran (islamic republic of),ir,67,2016,23759.0
total net number of migrants,364,iran (islamic republic of),ir,68,2017,7709.0
total net number of migrants,364,iran (islamic republic of),ir,69,2018,-29981.0
total net number of migrants,364,iran (islamic republic of),ir,70,2019,-34571.0
total net number of migrants,364,iran (islamic republic of),ir,71,2020,-156669.0
total net number of migrants,364,iran (islamic republic of),ir,72,2021,28080.0
total net number of migrants,364,iran (islamic republic of),ir,73,2022,-39998.0
total net number of migrants,364,iran (islamic republic of),ir,74,2023,-39998.0
