indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,368,iraq,iq,1,1950,2965.0
total net number of migrants,368,iraq,iq,2,1951,2510.0
total net number of migrants,368,iraq,iq,3,1952,713.0
total net number of migrants,368,iraq,iq,4,1953,-2766.0
total net number of migrants,368,iraq,iq,5,1954,-2026.0
total net number of migrants,368,iraq,iq,6,1955,-2235.0
total net number of migrants,368,iraq,iq,7,1956,-2335.0
total net number of migrants,368,iraq,iq,8,1957,-2946.0
total net number of migrants,368,iraq,iq,9,1958,-7786.0
total net number of migrants,368,iraq,iq,10,1959,-794.0
total net number of migrants,368,iraq,iq,11,1960,1573.0
total net number of migrants,368,iraq,iq,12,1961,2981.0
total net number of migrants,368,iraq,iq,13,1962,3343.0
total net number of migrants,368,iraq,iq,14,1963,3197.0
total net number of migrants,368,iraq,iq,15,1964,3224.0
total net number of migrants,368,iraq,iq,16,1965,4555.0
total net number of migrants,368,iraq,iq,17,1966,1298.0
total net number of migrants,368,iraq,iq,18,1967,2531.0
total net number of migrants,368,iraq,iq,19,1968,928.0
total net number of migrants,368,iraq,iq,20,1969,312.0
total net number of migrants,368,iraq,iq,21,1970,1377.0
total net number of migrants,368,iraq,iq,22,1971,-6479.0
total net number of migrants,368,iraq,iq,23,1972,-2600.0
total net number of migrants,368,iraq,iq,24,1973,-1507.0
total net number of migrants,368,iraq,iq,25,1974,-4090.0
total net number of migrants,368,iraq,iq,26,1975,-6237.0
total net number of migrants,368,iraq,iq,27,1976,-13915.0
total net number of migrants,368,iraq,iq,28,1977,8204.0
total net number of migrants,368,iraq,iq,29,1978,7434.0
total net number of migrants,368,iraq,iq,30,1979,-20617.0
total net number of migrants,368,iraq,iq,31,1980,15757.0
total net number of migrants,368,iraq,iq,32,1981,-23640.0
total net number of migrants,368,iraq,iq,33,1982,-22302.0
total net number of migrants,368,iraq,iq,34,1983,23115.0
total net number of migrants,368,iraq,iq,35,1984,21709.0
total net number of migrants,368,iraq,iq,36,1985,-199505.0
total net number of migrants,368,iraq,iq,37,1986,39136.0
total net number of migrants,368,iraq,iq,38,1987,-108426.0
total net number of migrants,368,iraq,iq,39,1988,-81562.0
total net number of migrants,368,iraq,iq,40,1989,19392.0
total net number of migrants,368,iraq,iq,41,1990,-601469.0
total net number of migrants,368,iraq,iq,42,1991,-95155.0
total net number of migrants,368,iraq,iq,43,1992,20292.0
total net number of migrants,368,iraq,iq,44,1993,581818.0
total net number of migrants,368,iraq,iq,45,1994,54355.0
total net number of migrants,368,iraq,iq,46,1995,40424.0
total net number of migrants,368,iraq,iq,47,1996,14652.0
total net number of migrants,368,iraq,iq,48,1997,15429.0
total net number of migrants,368,iraq,iq,49,1998,48446.0
total net number of migrants,368,iraq,iq,50,1999,69491.0
total net number of migrants,368,iraq,iq,51,2000,87624.0
total net number of migrants,368,iraq,iq,52,2001,14451.0
total net number of migrants,368,iraq,iq,53,2002,133839.0
total net number of migrants,368,iraq,iq,54,2003,-27236.0
total net number of migrants,368,iraq,iq,55,2004,69948.0
total net number of migrants,368,iraq,iq,56,2005,51019.0
total net number of migrants,368,iraq,iq,57,2006,-1204180.0
total net number of migrants,368,iraq,iq,58,2007,-836565.0
total net number of migrants,368,iraq,iq,59,2008,406488.0
total net number of migrants,368,iraq,iq,60,2009,120311.0
total net number of migrants,368,iraq,iq,61,2010,107297.0
total net number of migrants,368,iraq,iq,62,2011,281089.0
total net number of migrants,368,iraq,iq,63,2012,767449.0
total net number of migrants,368,iraq,iq,64,2013,491588.0
total net number of migrants,368,iraq,iq,65,2014,10514.0
total net number of migrants,368,iraq,iq,66,2015,-19490.0
total net number of migrants,368,iraq,iq,67,2016,-75580.0
total net number of migrants,368,iraq,iq,68,2017,-9899.0
total net number of migrants,368,iraq,iq,69,2018,6660.0
total net number of migrants,368,iraq,iq,70,2019,-29880.0
total net number of migrants,368,iraq,iq,71,2020,71539.0
total net number of migrants,368,iraq,iq,72,2021,-60097.0
total net number of migrants,368,iraq,iq,73,2022,-6000.0
total net number of migrants,368,iraq,iq,74,2023,-6000.0
