indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,372,ireland,ie,1,1950,-4.34
crude rate of net migration,372,ireland,ie,2,1951,-1135.0
crude rate of net migration,372,ireland,ie,3,1952,-14495.0
crude rate of net migration,372,ireland,ie,4,1953,-15209.0
crude rate of net migration,372,ireland,ie,5,1954,-14961.0
crude rate of net migration,372,ireland,ie,6,1955,-14843.0
crude rate of net migration,372,ireland,ie,7,1956,-14915.0
crude rate of net migration,372,ireland,ie,8,1957,-14848.0
crude rate of net migration,372,ireland,ie,9,1958,-14874.0
crude rate of net migration,372,ireland,ie,10,1959,-14488.0
crude rate of net migration,372,ireland,ie,11,1960,-13766.0
crude rate of net migration,372,ireland,ie,12,1961,-7885.0
crude rate of net migration,372,ireland,ie,13,1962,-5927.0
crude rate of net migration,372,ireland,ie,14,1963,-5586.0
crude rate of net migration,372,ireland,ie,15,1964,-5394.0
crude rate of net migration,372,ireland,ie,16,1965,-4821.0
crude rate of net migration,372,ireland,ie,17,1966,-4159.0
crude rate of net migration,372,ireland,ie,18,1967,-3864.0
crude rate of net migration,372,ireland,ie,19,1968,-3806.0
crude rate of net migration,372,ireland,ie,20,1969,-3395.0
crude rate of net migration,372,ireland,ie,21,1970,-2926.0
crude rate of net migration,372,ireland,ie,22,1971,2226.0
crude rate of net migration,372,ireland,ie,23,1972,4799.0
crude rate of net migration,372,ireland,ie,24,1973,4675.0
crude rate of net migration,372,ireland,ie,25,1974,4545.0
crude rate of net migration,372,ireland,ie,26,1975,4484.0
crude rate of net migration,372,ireland,ie,27,1976,4459.0
crude rate of net migration,372,ireland,ie,28,1977,4562.0
crude rate of net migration,372,ireland,ie,29,1978,4659.0
crude rate of net migration,372,ireland,ie,30,1979,673.0
crude rate of net migration,372,ireland,ie,31,1980,-643.0
crude rate of net migration,372,ireland,ie,32,1981,-2993.0
crude rate of net migration,372,ireland,ie,33,1982,-4037.0
crude rate of net migration,372,ireland,ie,34,1983,-4123.0
crude rate of net migration,372,ireland,ie,35,1984,-4296.0
crude rate of net migration,372,ireland,ie,36,1985,-4466.0
crude rate of net migration,372,ireland,ie,37,1986,-5.91
crude rate of net migration,372,ireland,ie,38,1987,-10713.0
crude rate of net migration,372,ireland,ie,39,1988,-12407.0
crude rate of net migration,372,ireland,ie,40,1989,-8199.0
crude rate of net migration,372,ireland,ie,41,1990,-2345.0
crude rate of net migration,372,ireland,ie,42,1991,1455.0
crude rate of net migration,372,ireland,ie,43,1992,438.0
crude rate of net migration,372,ireland,ie,44,1993,-901.0
crude rate of net migration,372,ireland,ie,45,1994,-826.0
crude rate of net migration,372,ireland,ie,46,1995,31079.0
crude rate of net migration,372,ireland,ie,47,1996,2736.0
crude rate of net migration,372,ireland,ie,48,1997,4942.0
crude rate of net migration,372,ireland,ie,49,1998,4557.0
crude rate of net migration,372,ireland,ie,50,1999,6303.0
crude rate of net migration,372,ireland,ie,51,2000,11902.0
crude rate of net migration,372,ireland,ie,52,2001,10362.0
crude rate of net migration,372,ireland,ie,53,2002,8889.0
crude rate of net migration,372,ireland,ie,54,2003,8309.0
crude rate of net migration,372,ireland,ie,55,2004,13485.0
crude rate of net migration,372,ireland,ie,56,2005,15699.0
crude rate of net migration,372,ireland,ie,57,2006,22681.0
crude rate of net migration,372,ireland,ie,58,2007,17911.0
crude rate of net migration,372,ireland,ie,59,2008,4354.0
crude rate of net migration,372,ireland,ie,60,2009,-4114.0
crude rate of net migration,372,ireland,ie,61,2010,-5973.0
crude rate of net migration,372,ireland,ie,62,2011,-5781.0
crude rate of net migration,372,ireland,ie,63,2012,-4809.0
crude rate of net migration,372,ireland,ie,64,2013,-2615.0
crude rate of net migration,372,ireland,ie,65,2014,154.0
crude rate of net migration,372,ireland,ie,66,2015,2818.0
crude rate of net migration,372,ireland,ie,67,2016,4032.0
crude rate of net migration,372,ireland,ie,68,2017,6139.0
crude rate of net migration,372,ireland,ie,69,2018,6984.0
crude rate of net migration,372,ireland,ie,70,2019,5964.0
crude rate of net migration,372,ireland,ie,71,2020,3102.0
crude rate of net migration,372,ireland,ie,72,2021,3077.0
crude rate of net migration,372,ireland,ie,73,2022,1993.0
crude rate of net migration,372,ireland,ie,74,2023,1979.0
