indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,372,ireland,ie,1,1950,-12643.0
total net number of migrants,372,ireland,ie,2,1951,-3323.0
total net number of migrants,372,ireland,ie,3,1952,-42791.0
total net number of migrants,372,ireland,ie,4,1953,-44715.0
total net number of migrants,372,ireland,ie,5,1954,-43769.0
total net number of migrants,372,ireland,ie,6,1955,-43166.0
total net number of migrants,372,ireland,ie,7,1956,-43126.0
total net number of migrants,372,ireland,ie,8,1957,-42708.0
total net number of migrants,372,ireland,ie,9,1958,-42540.0
total net number of migrants,372,ireland,ie,10,1959,-41213.0
total net number of migrants,372,ireland,ie,11,1960,-38971.0
total net number of migrants,372,ireland,ie,12,1961,-22213.0
total net number of migrants,372,ireland,ie,13,1962,-16724.0
total net number of migrants,372,ireland,ie,14,1963,-15819.0
total net number of migrants,372,ireland,ie,15,1964,-15345.0
total net number of migrants,372,ireland,ie,16,1965,-13782.0
total net number of migrants,372,ireland,ie,17,1966,-11943.0
total net number of migrants,372,ireland,ie,18,1967,-11157.0
total net number of migrants,372,ireland,ie,19,1968,-11056.0
total net number of migrants,372,ireland,ie,20,1969,-9924.0
total net number of migrants,372,ireland,ie,21,1970,-8610.0
total net number of migrants,372,ireland,ie,22,1971,6605.0
total net number of migrants,372,ireland,ie,23,1972,14429.0
total net number of migrants,372,ireland,ie,24,1973,14280.0
total net number of migrants,372,ireland,ie,25,1974,14103.0
total net number of migrants,372,ireland,ie,26,1975,14124.0
total net number of migrants,372,ireland,ie,27,1976,14263.0
total net number of migrants,372,ireland,ie,28,1977,14817.0
total net number of migrants,372,ireland,ie,29,1978,15368.0
total net number of migrants,372,ireland,ie,30,1979,2256.0
total net number of migrants,372,ireland,ie,31,1980,-2183.0
total net number of migrants,372,ireland,ie,32,1981,-10264.0
total net number of migrants,372,ireland,ie,33,1982,-13958.0
total net number of migrants,372,ireland,ie,34,1983,-14344.0
total net number of migrants,372,ireland,ie,35,1984,-15026.0
total net number of migrants,372,ireland,ie,36,1985,-15690.0
total net number of migrants,372,ireland,ie,37,1986,-20837.0
total net number of migrants,372,ireland,ie,38,1987,-37837.0
total net number of migrants,372,ireland,ie,39,1988,-43657.0
total net number of migrants,372,ireland,ie,40,1989,-28672.0
total net number of migrants,372,ireland,ie,41,1990,-8183.0
total net number of migrants,372,ireland,ie,42,1991,5097.0
total net number of migrants,372,ireland,ie,43,1992,1544.0
total net number of migrants,372,ireland,ie,44,1993,-3195.0
total net number of migrants,372,ireland,ie,45,1994,-2940.0
total net number of migrants,372,ireland,ie,46,1995,10186.0
total net number of migrants,372,ireland,ie,47,1996,9856.0
total net number of migrants,372,ireland,ie,48,1997,17948.0
total net number of migrants,372,ireland,ie,49,1998,16726.0
total net number of migrants,372,ireland,ie,50,1999,23375.0
total net number of migrants,372,ireland,ie,51,2000,31230.0
total net number of migrants,372,ireland,ie,52,2001,39480.0
total net number of migrants,372,ireland,ie,53,2002,34478.0
total net number of migrants,372,ireland,ie,54,2003,32763.0
total net number of migrants,372,ireland,ie,55,2004,49526.0
total net number of migrants,372,ireland,ie,56,2005,64192.0
total net number of migrants,372,ireland,ie,57,2006,94996.0
total net number of migrants,372,ireland,ie,58,2007,77427.0
total net number of migrants,372,ireland,ie,59,2008,19349.0
total net number of migrants,372,ireland,ie,60,2009,-18556.0
total net number of migrants,372,ireland,ie,61,2010,-27110.0
total net number of migrants,372,ireland,ie,62,2011,-26351.0
total net number of migrants,372,ireland,ie,63,2012,-22002.0
total net number of migrants,372,ireland,ie,64,2013,-12015.0
total net number of migrants,372,ireland,ie,65,2014,714.0
total net number of migrants,372,ireland,ie,66,2015,13130.0
total net number of migrants,372,ireland,ie,67,2016,18978.0
total net number of migrants,372,ireland,ie,68,2017,29200.0
total net number of migrants,372,ireland,ie,69,2018,33647.0
total net number of migrants,372,ireland,ie,70,2019,29113.0
total net number of migrants,372,ireland,ie,71,2020,15320.0
total net number of migrants,372,ireland,ie,72,2021,15320.0
total net number of migrants,372,ireland,ie,73,2022,9999.0
total net number of migrants,372,ireland,ie,74,2023,9999.0
