indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,376,israel,il,1,1950,14239.0
total net number of migrants,376,israel,il,2,1951,15301.0
total net number of migrants,376,israel,il,3,1952,16665.0
total net number of migrants,376,israel,il,4,1953,18427.0
total net number of migrants,376,israel,il,5,1954,20569.0
total net number of migrants,376,israel,il,6,1955,23087.0
total net number of migrants,376,israel,il,7,1956,25681.0
total net number of migrants,376,israel,il,8,1957,28589.0
total net number of migrants,376,israel,il,9,1958,31891.0
total net number of migrants,376,israel,il,10,1959,35656.0
total net number of migrants,376,israel,il,11,1960,39949.0
total net number of migrants,376,israel,il,12,1961,45137.0
total net number of migrants,376,israel,il,13,1962,49732.0
total net number of migrants,376,israel,il,14,1963,53440.0
total net number of migrants,376,israel,il,15,1964,56462.0
total net number of migrants,376,israel,il,16,1965,58426.0
total net number of migrants,376,israel,il,17,1966,59410.0
total net number of migrants,376,israel,il,18,1967,59278.0
total net number of migrants,376,israel,il,19,1968,57476.0
total net number of migrants,376,israel,il,20,1969,53803.0
total net number of migrants,376,israel,il,21,1970,48257.0
total net number of migrants,376,israel,il,22,1971,40188.0
total net number of migrants,376,israel,il,23,1972,30210.0
total net number of migrants,376,israel,il,24,1973,21710.0
total net number of migrants,376,israel,il,25,1974,13781.0
total net number of migrants,376,israel,il,26,1975,6973.0
total net number of migrants,376,israel,il,27,1976,1752.0
total net number of migrants,376,israel,il,28,1977,-1517.0
total net number of migrants,376,israel,il,29,1978,-2403.0
total net number of migrants,376,israel,il,30,1979,-2098.0
total net number of migrants,376,israel,il,31,1980,601.0
total net number of migrants,376,israel,il,32,1981,5320.0
total net number of migrants,376,israel,il,33,1982,12199.0
total net number of migrants,376,israel,il,34,1983,20644.0
total net number of migrants,376,israel,il,35,1984,27420.0
total net number of migrants,376,israel,il,36,1985,34721.0
total net number of migrants,376,israel,il,37,1986,41273.0
total net number of migrants,376,israel,il,38,1987,46650.0
total net number of migrants,376,israel,il,39,1988,51536.0
total net number of migrants,376,israel,il,40,1989,54858.0
total net number of migrants,376,israel,il,41,1990,57467.0
total net number of migrants,376,israel,il,42,1991,58649.0
total net number of migrants,376,israel,il,43,1992,58407.0
total net number of migrants,376,israel,il,44,1993,57436.0
total net number of migrants,376,israel,il,45,1994,54473.0
total net number of migrants,376,israel,il,46,1995,50609.0
total net number of migrants,376,israel,il,47,1996,45033.0
total net number of migrants,376,israel,il,48,1997,39354.0
total net number of migrants,376,israel,il,49,1998,34794.0
total net number of migrants,376,israel,il,50,1999,30680.0
total net number of migrants,376,israel,il,51,2000,27257.0
total net number of migrants,376,israel,il,52,2001,23407.0
total net number of migrants,376,israel,il,53,2002,20672.0
total net number of migrants,376,israel,il,54,2003,17619.0
total net number of migrants,376,israel,il,55,2004,15542.0
total net number of migrants,376,israel,il,56,2005,13756.0
total net number of migrants,376,israel,il,57,2006,12464.0
total net number of migrants,376,israel,il,58,2007,10792.0
total net number of migrants,376,israel,il,59,2008,9587.0
total net number of migrants,376,israel,il,60,2009,7978.0
total net number of migrants,376,israel,il,61,2010,9580.0
total net number of migrants,376,israel,il,62,2011,9605.0
total net number of migrants,376,israel,il,63,2012,9909.0
total net number of migrants,376,israel,il,64,2013,10650.0
total net number of migrants,376,israel,il,65,2014,10836.0
total net number of migrants,376,israel,il,66,2015,12049.0
total net number of migrants,376,israel,il,67,2016,13263.0
total net number of migrants,376,israel,il,68,2017,14518.0
total net number of migrants,376,israel,il,69,2018,15615.0
total net number of migrants,376,israel,il,70,2019,16132.0
total net number of migrants,376,israel,il,71,2020,16569.0
total net number of migrants,376,israel,il,72,2021,16856.0
total net number of migrants,376,israel,il,73,2022,9999.0
total net number of migrants,376,israel,il,74,2023,9999.0
