indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,832,jersey,je,1,1950,336.0
total net number of migrants,832,jersey,je,2,1951,427.0
total net number of migrants,832,jersey,je,3,1952,427.0
total net number of migrants,832,jersey,je,4,1953,498.0
total net number of migrants,832,jersey,je,5,1954,463.0
total net number of migrants,832,jersey,je,6,1955,437.0
total net number of migrants,832,jersey,je,7,1956,420.0
total net number of migrants,832,jersey,je,8,1957,424.0
total net number of migrants,832,jersey,je,9,1958,422.0
total net number of migrants,832,jersey,je,10,1959,344.0
total net number of migrants,832,jersey,je,11,1960,360.0
total net number of migrants,832,jersey,je,12,1961,357.0
total net number of migrants,832,jersey,je,13,1962,237.0
total net number of migrants,832,jersey,je,14,1963,350.0
total net number of migrants,832,jersey,je,15,1964,225.0
total net number of migrants,832,jersey,je,16,1965,305.0
total net number of migrants,832,jersey,je,17,1966,296.0
total net number of migrants,832,jersey,je,18,1967,284.0
total net number of migrants,832,jersey,je,19,1968,305.0
total net number of migrants,832,jersey,je,20,1969,249.0
total net number of migrants,832,jersey,je,21,1970,301.0
total net number of migrants,832,jersey,je,22,1971,904.0
total net number of migrants,832,jersey,je,23,1972,1104.0
total net number of migrants,832,jersey,je,24,1973,1026.0
total net number of migrants,832,jersey,je,25,1974,967.0
total net number of migrants,832,jersey,je,26,1975,925.0
total net number of migrants,832,jersey,je,27,1976,544.0
total net number of migrants,832,jersey,je,28,1977,373.0
total net number of migrants,832,jersey,je,29,1978,340.0
total net number of migrants,832,jersey,je,30,1979,351.0
total net number of migrants,832,jersey,je,31,1980,282.0
total net number of migrants,832,jersey,je,32,1981,670.0
total net number of migrants,832,jersey,je,33,1982,762.0
total net number of migrants,832,jersey,je,34,1983,796.0
total net number of migrants,832,jersey,je,35,1984,650.0
total net number of migrants,832,jersey,je,36,1985,679.0
total net number of migrants,832,jersey,je,37,1986,684.0
total net number of migrants,832,jersey,je,38,1987,619.0
total net number of migrants,832,jersey,je,39,1988,550.0
total net number of migrants,832,jersey,je,40,1989,418.0
total net number of migrants,832,jersey,je,41,1990,308.0
total net number of migrants,832,jersey,je,42,1991,76.0
total net number of migrants,832,jersey,je,43,1992,-60.0
total net number of migrants,832,jersey,je,44,1993,-27.0
total net number of migrants,832,jersey,je,45,1994,-211.0
total net number of migrants,832,jersey,je,46,1995,-226.0
total net number of migrants,832,jersey,je,47,1996,138.0
total net number of migrants,832,jersey,je,48,1997,162.0
total net number of migrants,832,jersey,je,49,1998,127.0
total net number of migrants,832,jersey,je,50,1999,90.0
total net number of migrants,832,jersey,je,51,2000,-11.0
total net number of migrants,832,jersey,je,52,2001,653.0
total net number of migrants,832,jersey,je,53,2002,860.0
total net number of migrants,832,jersey,je,54,2003,781.0
total net number of migrants,832,jersey,je,55,2004,791.0
total net number of migrants,832,jersey,je,56,2005,765.0
total net number of migrants,832,jersey,je,57,2006,732.0
total net number of migrants,832,jersey,je,58,2007,680.0
total net number of migrants,832,jersey,je,59,2008,669.0
total net number of migrants,832,jersey,je,60,2009,650.0
total net number of migrants,832,jersey,je,61,2010,655.0
total net number of migrants,832,jersey,je,62,2011,0.0
total net number of migrants,832,jersey,je,63,2012,490.0
total net number of migrants,832,jersey,je,64,2013,889.0
total net number of migrants,832,jersey,je,65,2014,474.0
total net number of migrants,832,jersey,je,66,2015,1396.0
total net number of migrants,832,jersey,je,67,2016,1340.0
total net number of migrants,832,jersey,je,68,2017,1238.0
total net number of migrants,832,jersey,je,69,2018,1924.0
total net number of migrants,832,jersey,je,70,2019,1068.0
total net number of migrants,832,jersey,je,71,2020,1120.0
total net number of migrants,832,jersey,je,72,2021,1120.0
total net number of migrants,832,jersey,je,73,2022,800.0
total net number of migrants,832,jersey,je,74,2023,800.0
