indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,398,kazakhstan,kz,1,1950,14113.0
crude rate of net migration,398,kazakhstan,kz,2,1951,13495.0
crude rate of net migration,398,kazakhstan,kz,3,1952,25173.0
crude rate of net migration,398,kazakhstan,kz,4,1953,11628.0
crude rate of net migration,398,kazakhstan,kz,5,1954,11314.0
crude rate of net migration,398,kazakhstan,kz,6,1955,10858.0
crude rate of net migration,398,kazakhstan,kz,7,1956,10428.0
crude rate of net migration,398,kazakhstan,kz,8,1957,9931.0
crude rate of net migration,398,kazakhstan,kz,9,1958,8821.0
crude rate of net migration,398,kazakhstan,kz,10,1959,9478.0
crude rate of net migration,398,kazakhstan,kz,11,1960,9003.0
crude rate of net migration,398,kazakhstan,kz,12,1961,8861.0
crude rate of net migration,398,kazakhstan,kz,13,1962,9065.0
crude rate of net migration,398,kazakhstan,kz,14,1963,9175.0
crude rate of net migration,398,kazakhstan,kz,15,1964,9267.0
crude rate of net migration,398,kazakhstan,kz,16,1965,9459.0
crude rate of net migration,398,kazakhstan,kz,17,1966,9052.0
crude rate of net migration,398,kazakhstan,kz,18,1967,9165.0
crude rate of net migration,398,kazakhstan,kz,19,1968,8944.0
crude rate of net migration,398,kazakhstan,kz,20,1969,6385.0
crude rate of net migration,398,kazakhstan,kz,21,1970,1617.0
crude rate of net migration,398,kazakhstan,kz,22,1971,-1987.0
crude rate of net migration,398,kazakhstan,kz,23,1972,-1.5
crude rate of net migration,398,kazakhstan,kz,24,1973,-1145.0
crude rate of net migration,398,kazakhstan,kz,25,1974,-1081.0
crude rate of net migration,398,kazakhstan,kz,26,1975,-926.0
crude rate of net migration,398,kazakhstan,kz,27,1976,-1187.0
crude rate of net migration,398,kazakhstan,kz,28,1977,279.0
crude rate of net migration,398,kazakhstan,kz,29,1978,-168.0
crude rate of net migration,398,kazakhstan,kz,30,1979,-214.0
crude rate of net migration,398,kazakhstan,kz,31,1980,326.0
crude rate of net migration,398,kazakhstan,kz,32,1981,-85.0
crude rate of net migration,398,kazakhstan,kz,33,1982,155.0
crude rate of net migration,398,kazakhstan,kz,34,1983,689.0
crude rate of net migration,398,kazakhstan,kz,35,1984,431.0
crude rate of net migration,398,kazakhstan,kz,36,1985,0.32
crude rate of net migration,398,kazakhstan,kz,37,1986,5085.0
crude rate of net migration,398,kazakhstan,kz,38,1987,5024.0
crude rate of net migration,398,kazakhstan,kz,39,1988,15462.0
crude rate of net migration,398,kazakhstan,kz,40,1989,-4501.0
crude rate of net migration,398,kazakhstan,kz,41,1990,-6409.0
crude rate of net migration,398,kazakhstan,kz,42,1991,-6121.0
crude rate of net migration,398,kazakhstan,kz,43,1992,-12922.0
crude rate of net migration,398,kazakhstan,kz,44,1993,-17093.0
crude rate of net migration,398,kazakhstan,kz,45,1994,-30588.0
crude rate of net migration,398,kazakhstan,kz,46,1995,-24.81
crude rate of net migration,398,kazakhstan,kz,47,1996,-26158.0
crude rate of net migration,398,kazakhstan,kz,48,1997,-27206.0
crude rate of net migration,398,kazakhstan,kz,49,1998,-28586.0
crude rate of net migration,398,kazakhstan,kz,50,1999,-10777.0
crude rate of net migration,398,kazakhstan,kz,51,2000,-2846.0
crude rate of net migration,398,kazakhstan,kz,52,2001,-1879.0
crude rate of net migration,398,kazakhstan,kz,53,2002,-908.0
crude rate of net migration,398,kazakhstan,kz,54,2003,-231.0
crude rate of net migration,398,kazakhstan,kz,55,2004,606.0
crude rate of net migration,398,kazakhstan,kz,56,2005,1467.0
crude rate of net migration,398,kazakhstan,kz,57,2006,2187.0
crude rate of net migration,398,kazakhstan,kz,58,2007,823.0
crude rate of net migration,398,kazakhstan,kz,59,2008,136.0
crude rate of net migration,398,kazakhstan,kz,60,2009,501.0
crude rate of net migration,398,kazakhstan,kz,61,2010,1398.0
crude rate of net migration,398,kazakhstan,kz,62,2011,0.88
crude rate of net migration,398,kazakhstan,kz,63,2012,529.0
crude rate of net migration,398,kazakhstan,kz,64,2013,468.0
crude rate of net migration,398,kazakhstan,kz,65,2014,-358.0
crude rate of net migration,398,kazakhstan,kz,66,2015,-687.0
crude rate of net migration,398,kazakhstan,kz,67,2016,-412.0
crude rate of net migration,398,kazakhstan,kz,68,2017,-868.0
crude rate of net migration,398,kazakhstan,kz,69,2018,-1711.0
crude rate of net migration,398,kazakhstan,kz,70,2019,-1975.0
crude rate of net migration,398,kazakhstan,kz,71,2020,-655.0
crude rate of net migration,398,kazakhstan,kz,72,2021,-985.0
crude rate of net migration,398,kazakhstan,kz,73,2022,0.0
crude rate of net migration,398,kazakhstan,kz,74,2023,0.0
