indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,398,kazakhstan,kz,1,1950,93287.0
total net number of migrants,398,kazakhstan,kz,2,1951,92344.0
total net number of migrants,398,kazakhstan,kz,3,1952,89778.0
total net number of migrants,398,kazakhstan,kz,4,1953,85131.0
total net number of migrants,398,kazakhstan,kz,5,1954,85590.0
total net number of migrants,398,kazakhstan,kz,6,1955,84892.0
total net number of migrants,398,kazakhstan,kz,7,1956,84317.0
total net number of migrants,398,kazakhstan,kz,8,1957,83095.0
total net number of migrants,398,kazakhstan,kz,9,1958,76415.0
total net number of migrants,398,kazakhstan,kz,10,1959,84949.0
total net number of migrants,398,kazakhstan,kz,11,1960,83541.0
total net number of migrants,398,kazakhstan,kz,12,1961,85040.0
total net number of migrants,398,kazakhstan,kz,13,1962,89864.0
total net number of migrants,398,kazakhstan,kz,14,1963,93859.0
total net number of migrants,398,kazakhstan,kz,15,1964,97674.0
total net number of migrants,398,kazakhstan,kz,16,1965,102579.0
total net number of migrants,398,kazakhstan,kz,17,1966,100894.0
total net number of migrants,398,kazakhstan,kz,18,1967,104827.0
total net number of migrants,398,kazakhstan,kz,19,1968,104853.0
total net number of migrants,398,kazakhstan,kz,20,1969,76637.0
total net number of migrants,398,kazakhstan,kz,21,1970,19825.0
total net number of migrants,398,kazakhstan,kz,22,1971,-24759.0
total net number of migrants,398,kazakhstan,kz,23,1972,-18932.0
total net number of migrants,398,kazakhstan,kz,24,1973,-14649.0
total net number of migrants,398,kazakhstan,kz,25,1974,-14033.0
total net number of migrants,398,kazakhstan,kz,26,1975,-12192.0
total net number of migrants,398,kazakhstan,kz,27,1976,-15857.0
total net number of migrants,398,kazakhstan,kz,28,1977,3774.0
total net number of migrants,398,kazakhstan,kz,29,1978,-2313.0
total net number of migrants,398,kazakhstan,kz,30,1979,-2981.0
total net number of migrants,398,kazakhstan,kz,31,1980,4615.0
total net number of migrants,398,kazakhstan,kz,32,1981,-1224.0
total net number of migrants,398,kazakhstan,kz,33,1982,2273.0
total net number of migrants,398,kazakhstan,kz,34,1983,10256.0
total net number of migrants,398,kazakhstan,kz,35,1984,6529.0
total net number of migrants,398,kazakhstan,kz,36,1985,4937.0
total net number of migrants,398,kazakhstan,kz,37,1986,79751.0
total net number of migrants,398,kazakhstan,kz,38,1987,80549.0
total net number of migrants,398,kazakhstan,kz,39,1988,88799.0
total net number of migrants,398,kazakhstan,kz,40,1989,-75336.0
total net number of migrants,398,kazakhstan,kz,41,1990,-108425.0
total net number of migrants,398,kazakhstan,kz,42,1991,-104305.0
total net number of migrants,398,kazakhstan,kz,43,1992,-221599.0
total net number of migrants,398,kazakhstan,kz,44,1993,-292647.0
total net number of migrants,398,kazakhstan,kz,45,1994,-520043.0
total net number of migrants,398,kazakhstan,kz,46,1995,-412725.0
total net number of migrants,398,kazakhstan,kz,47,1996,-427681.0
total net number of migrants,398,kazakhstan,kz,48,1997,-436232.0
total net number of migrants,398,kazakhstan,kz,49,1998,-448726.0
total net number of migrants,398,kazakhstan,kz,50,1999,-165312.0
total net number of migrants,398,kazakhstan,kz,51,2000,-43423.0
total net number of migrants,398,kazakhstan,kz,52,2001,-28743.0
total net number of migrants,398,kazakhstan,kz,53,2002,-13939.0
total net number of migrants,398,kazakhstan,kz,54,2003,-3565.0
total net number of migrants,398,kazakhstan,kz,55,2004,9413.0
total net number of migrants,398,kazakhstan,kz,56,2005,22958.0
total net number of migrants,398,kazakhstan,kz,57,2006,34582.0
total net number of migrants,398,kazakhstan,kz,58,2007,13172.0
total net number of migrants,398,kazakhstan,kz,59,2008,2198.0
total net number of migrants,398,kazakhstan,kz,60,2009,8215.0
total net number of migrants,398,kazakhstan,kz,61,2010,23234.0
total net number of migrants,398,kazakhstan,kz,62,2011,14829.0
total net number of migrants,398,kazakhstan,kz,63,2012,9046.0
total net number of migrants,398,kazakhstan,kz,64,2013,8121.0
total net number of migrants,398,kazakhstan,kz,65,2014,-6299.0
total net number of migrants,398,kazakhstan,kz,66,2015,-12253.0
total net number of migrants,398,kazakhstan,kz,67,2016,-7445.0
total net number of migrants,398,kazakhstan,kz,68,2017,-15903.0
total net number of migrants,398,kazakhstan,kz,69,2018,-31760.0
total net number of migrants,398,kazakhstan,kz,70,2019,-37080.0
total net number of migrants,398,kazakhstan,kz,71,2020,-12432.0
total net number of migrants,398,kazakhstan,kz,72,2021,-18917.0
total net number of migrants,398,kazakhstan,kz,73,2022,0.0
total net number of migrants,398,kazakhstan,kz,74,2023,0.0
