indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,296,kiribati,ki,1,1950,0.0
total net number of migrants,296,kiribati,ki,2,1951,0.0
total net number of migrants,296,kiribati,ki,3,1952,0.0
total net number of migrants,296,kiribati,ki,4,1953,0.0
total net number of migrants,296,kiribati,ki,5,1954,0.0
total net number of migrants,296,kiribati,ki,6,1955,0.0
total net number of migrants,296,kiribati,ki,7,1956,0.0
total net number of migrants,296,kiribati,ki,8,1957,0.0
total net number of migrants,296,kiribati,ki,9,1958,0.0
total net number of migrants,296,kiribati,ki,10,1959,0.0
total net number of migrants,296,kiribati,ki,11,1960,0.0
total net number of migrants,296,kiribati,ki,12,1961,0.0
total net number of migrants,296,kiribati,ki,13,1962,0.0
total net number of migrants,296,kiribati,ki,14,1963,0.0
total net number of migrants,296,kiribati,ki,15,1964,0.0
total net number of migrants,296,kiribati,ki,16,1965,0.0
total net number of migrants,296,kiribati,ki,17,1966,-852.0
total net number of migrants,296,kiribati,ki,18,1967,-876.0
total net number of migrants,296,kiribati,ki,19,1968,-857.0
total net number of migrants,296,kiribati,ki,20,1969,-211.0
total net number of migrants,296,kiribati,ki,21,1970,-210.0
total net number of migrants,296,kiribati,ki,22,1971,-232.0
total net number of migrants,296,kiribati,ki,23,1972,-282.0
total net number of migrants,296,kiribati,ki,24,1973,-432.0
total net number of migrants,296,kiribati,ki,25,1974,-1614.0
total net number of migrants,296,kiribati,ki,26,1975,-1727.0
total net number of migrants,296,kiribati,ki,27,1976,-1797.0
total net number of migrants,296,kiribati,ki,28,1977,-1849.0
total net number of migrants,296,kiribati,ki,29,1978,-1860.0
total net number of migrants,296,kiribati,ki,30,1979,-449.0
total net number of migrants,296,kiribati,ki,31,1980,-494.0
total net number of migrants,296,kiribati,ki,32,1981,-515.0
total net number of migrants,296,kiribati,ki,33,1982,-535.0
total net number of migrants,296,kiribati,ki,34,1983,-558.0
total net number of migrants,296,kiribati,ki,35,1984,-506.0
total net number of migrants,296,kiribati,ki,36,1985,-365.0
total net number of migrants,296,kiribati,ki,37,1986,-245.0
total net number of migrants,296,kiribati,ki,38,1987,-221.0
total net number of migrants,296,kiribati,ki,39,1988,-231.0
total net number of migrants,296,kiribati,ki,40,1989,-262.0
total net number of migrants,296,kiribati,ki,41,1990,-445.0
total net number of migrants,296,kiribati,ki,42,1991,-743.0
total net number of migrants,296,kiribati,ki,43,1992,-901.0
total net number of migrants,296,kiribati,ki,44,1993,-925.0
total net number of migrants,296,kiribati,ki,45,1994,-931.0
total net number of migrants,296,kiribati,ki,46,1995,-847.0
total net number of migrants,296,kiribati,ki,47,1996,-693.0
total net number of migrants,296,kiribati,ki,48,1997,-633.0
total net number of migrants,296,kiribati,ki,49,1998,-646.0
total net number of migrants,296,kiribati,ki,50,1999,-643.0
total net number of migrants,296,kiribati,ki,51,2000,-513.0
total net number of migrants,296,kiribati,ki,52,2001,-258.0
total net number of migrants,296,kiribati,ki,53,2002,-131.0
total net number of migrants,296,kiribati,ki,54,2003,-130.0
total net number of migrants,296,kiribati,ki,55,2004,-139.0
total net number of migrants,296,kiribati,ki,56,2005,-226.0
total net number of migrants,296,kiribati,ki,57,2006,-335.0
total net number of migrants,296,kiribati,ki,58,2007,-399.0
total net number of migrants,296,kiribati,ki,59,2008,-411.0
total net number of migrants,296,kiribati,ki,60,2009,-451.0
total net number of migrants,296,kiribati,ki,61,2010,-619.0
total net number of migrants,296,kiribati,ki,62,2011,-850.0
total net number of migrants,296,kiribati,ki,63,2012,-949.0
total net number of migrants,296,kiribati,ki,64,2013,-955.0
total net number of migrants,296,kiribati,ki,65,2014,-977.0
total net number of migrants,296,kiribati,ki,66,2015,-853.0
total net number of migrants,296,kiribati,ki,67,2016,-838.0
total net number of migrants,296,kiribati,ki,68,2017,-811.0
total net number of migrants,296,kiribati,ki,69,2018,-776.0
total net number of migrants,296,kiribati,ki,70,2019,-691.0
total net number of migrants,296,kiribati,ki,71,2020,-296.0
total net number of migrants,296,kiribati,ki,72,2021,-296.0
total net number of migrants,296,kiribati,ki,73,2022,-400.0
total net number of migrants,296,kiribati,ki,74,2023,-400.0
