indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,414,kuwait,kw,1,1950,0.0
crude rate of net migration,414,kuwait,kw,2,1951,0.0
crude rate of net migration,414,kuwait,kw,3,1952,0.0
crude rate of net migration,414,kuwait,kw,4,1953,0.0
crude rate of net migration,414,kuwait,kw,5,1954,0.0
crude rate of net migration,414,kuwait,kw,6,1955,85215.0
crude rate of net migration,414,kuwait,kw,7,1956,76229.0
crude rate of net migration,414,kuwait,kw,8,1957,45767.0
crude rate of net migration,414,kuwait,kw,9,1958,82885.0
crude rate of net migration,414,kuwait,kw,10,1959,76949.0
crude rate of net migration,414,kuwait,kw,11,1960,73845.0
crude rate of net migration,414,kuwait,kw,12,1961,75136.0
crude rate of net migration,414,kuwait,kw,13,1962,75151.0
crude rate of net migration,414,kuwait,kw,14,1963,71089.0
crude rate of net migration,414,kuwait,kw,15,1964,65451.0
crude rate of net migration,414,kuwait,kw,16,1965,61277.0
crude rate of net migration,414,kuwait,kw,17,1966,58.91
crude rate of net migration,414,kuwait,kw,18,1967,56522.0
crude rate of net migration,414,kuwait,kw,19,1968,53309.0
crude rate of net migration,414,kuwait,kw,20,1969,45586.0
crude rate of net migration,414,kuwait,kw,21,1970,33693.0
crude rate of net migration,414,kuwait,kw,22,1971,26156.0
crude rate of net migration,414,kuwait,kw,23,1972,24343.0
crude rate of net migration,414,kuwait,kw,24,1973,23798.0
crude rate of net migration,414,kuwait,kw,25,1974,24941.0
crude rate of net migration,414,kuwait,kw,26,1975,28591.0
crude rate of net migration,414,kuwait,kw,27,1976,31308.0
crude rate of net migration,414,kuwait,kw,28,1977,31.11
crude rate of net migration,414,kuwait,kw,29,1978,29.89
crude rate of net migration,414,kuwait,kw,30,1979,26809.0
crude rate of net migration,414,kuwait,kw,31,1980,21981.0
crude rate of net migration,414,kuwait,kw,32,1981,18996.0
crude rate of net migration,414,kuwait,kw,33,1982,18573.0
crude rate of net migration,414,kuwait,kw,34,1983,18454.0
crude rate of net migration,414,kuwait,kw,35,1984,9425.0
crude rate of net migration,414,kuwait,kw,36,1985,13741.0
crude rate of net migration,414,kuwait,kw,37,1986,13914.0
crude rate of net migration,414,kuwait,kw,38,1987,15375.0
crude rate of net migration,414,kuwait,kw,39,1988,14887.0
crude rate of net migration,414,kuwait,kw,40,1989,15804.0
crude rate of net migration,414,kuwait,kw,41,1990,-526323.0
crude rate of net migration,414,kuwait,kw,42,1991,415239.0
crude rate of net migration,414,kuwait,kw,43,1992,33009.0
crude rate of net migration,414,kuwait,kw,44,1993,-26741.0
crude rate of net migration,414,kuwait,kw,45,1994,-25746.0
crude rate of net migration,414,kuwait,kw,46,1995,1023.0
crude rate of net migration,414,kuwait,kw,47,1996,12166.0
crude rate of net migration,414,kuwait,kw,48,1997,11874.0
crude rate of net migration,414,kuwait,kw,49,1998,11509.0
crude rate of net migration,414,kuwait,kw,50,1999,10947.0
crude rate of net migration,414,kuwait,kw,51,2000,9969.0
crude rate of net migration,414,kuwait,kw,52,2001,8615.0
crude rate of net migration,414,kuwait,kw,53,2002,7128.0
crude rate of net migration,414,kuwait,kw,54,2003,5354.0
crude rate of net migration,414,kuwait,kw,55,2004,16497.0
crude rate of net migration,414,kuwait,kw,56,2005,31242.0
crude rate of net migration,414,kuwait,kw,57,2006,41644.0
crude rate of net migration,414,kuwait,kw,58,2007,38.55
crude rate of net migration,414,kuwait,kw,59,2008,35745.0
crude rate of net migration,414,kuwait,kw,60,2009,33048.0
crude rate of net migration,414,kuwait,kw,61,2010,32688.0
crude rate of net migration,414,kuwait,kw,62,2011,62831.0
crude rate of net migration,414,kuwait,kw,63,2012,57935.0
crude rate of net migration,414,kuwait,kw,64,2013,53555.0
crude rate of net migration,414,kuwait,kw,65,2014,-22316.0
crude rate of net migration,414,kuwait,kw,66,2015,68558.0
crude rate of net migration,414,kuwait,kw,67,2016,-22179.0
crude rate of net migration,414,kuwait,kw,68,2017,34698.0
crude rate of net migration,414,kuwait,kw,69,2018,34157.0
crude rate of net migration,414,kuwait,kw,70,2019,2049.0
crude rate of net migration,414,kuwait,kw,71,2020,-56639.0
crude rate of net migration,414,kuwait,kw,72,2021,-8636.0
crude rate of net migration,414,kuwait,kw,73,2022,2815.0
crude rate of net migration,414,kuwait,kw,74,2023,2788.0
