indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,414,kuwait,kw,1,1950,0.0
total net number of migrants,414,kuwait,kw,2,1951,0.0
total net number of migrants,414,kuwait,kw,3,1952,0.0
total net number of migrants,414,kuwait,kw,4,1953,0.0
total net number of migrants,414,kuwait,kw,5,1954,0.0
total net number of migrants,414,kuwait,kw,6,1955,14998.0
total net number of migrants,414,kuwait,kw,7,1956,14998.0
total net number of migrants,414,kuwait,kw,8,1957,10000.0
total net number of migrants,414,kuwait,kw,9,1958,19578.0
total net number of migrants,414,kuwait,kw,10,1959,20357.0
total net number of migrants,414,kuwait,kw,11,1960,21767.0
total net number of migrants,414,kuwait,kw,12,1961,24618.0
total net number of migrants,414,kuwait,kw,13,1962,27413.0
total net number of migrants,414,kuwait,kw,14,1963,28891.0
total net number of migrants,414,kuwait,kw,15,1964,29541.0
total net number of migrants,414,kuwait,kw,16,1965,30575.0
total net number of migrants,414,kuwait,kw,17,1966,32383.0
total net number of migrants,414,kuwait,kw,18,1967,34180.0
total net number of migrants,414,kuwait,kw,19,1968,35399.0
total net number of migrants,414,kuwait,kw,20,1969,33145.0
total net number of migrants,414,kuwait,kw,21,1970,26616.0
total net number of migrants,414,kuwait,kw,22,1971,22182.0
total net number of migrants,414,kuwait,kw,23,1972,21986.0
total net number of migrants,414,kuwait,kw,24,1973,22835.0
total net number of migrants,414,kuwait,kw,25,1974,25395.0
total net number of migrants,414,kuwait,kw,26,1975,30911.0
total net number of migrants,414,kuwait,kw,27,1976,36049.0
total net number of migrants,414,kuwait,kw,28,1977,38225.0
total net number of migrants,414,kuwait,kw,29,1978,39158.0
total net number of migrants,414,kuwait,kw,30,1979,37375.0
total net number of migrants,414,kuwait,kw,31,1980,32491.0
total net number of migrants,414,kuwait,kw,32,1981,29606.0
total net number of migrants,414,kuwait,kw,33,1982,30433.0
total net number of migrants,414,kuwait,kw,34,1983,31756.0
total net number of migrants,414,kuwait,kw,35,1984,17021.0
total net number of migrants,414,kuwait,kw,36,1985,25773.0
total net number of migrants,414,kuwait,kw,37,1986,27190.0
total net number of migrants,414,kuwait,kw,38,1987,31242.0
total net number of migrants,414,kuwait,kw,39,1988,31455.0
total net number of migrants,414,kuwait,kw,40,1989,34644.0
total net number of migrants,414,kuwait,kw,41,1990,-1196051.0
total net number of migrants,414,kuwait,kw,42,1991,460628.0
total net number of migrants,414,kuwait,kw,43,1992,52620.0
total net number of migrants,414,kuwait,kw,44,1993,-44820.0
total net number of migrants,414,kuwait,kw,45,1994,-42817.0
total net number of migrants,414,kuwait,kw,46,1995,1693.0
total net number of migrants,414,kuwait,kw,47,1996,20602.0
total net number of migrants,414,kuwait,kw,48,1997,20792.0
total net number of migrants,414,kuwait,kw,49,1998,20819.0
total net number of migrants,414,kuwait,kw,50,1999,20438.0
total net number of migrants,414,kuwait,kw,51,2000,19193.0
total net number of migrants,414,kuwait,kw,52,2001,17088.0
total net number of migrants,414,kuwait,kw,53,2002,14550.0
total net number of migrants,414,kuwait,kw,54,2003,11232.0
total net number of migrants,414,kuwait,kw,55,2004,7427.0
total net number of migrants,414,kuwait,kw,56,2005,68878.0
total net number of migrants,414,kuwait,kw,57,2006,96486.0
total net number of migrants,414,kuwait,kw,58,2007,94844.0
total net number of migrants,414,kuwait,kw,59,2008,93141.0
total net number of migrants,414,kuwait,kw,60,2009,90945.0
total net number of migrants,414,kuwait,kw,61,2010,94736.0
total net number of migrants,414,kuwait,kw,62,2011,191544.0
total net number of migrants,414,kuwait,kw,63,2012,191164.0
total net number of migrants,414,kuwait,kw,64,2013,190228.0
total net number of migrants,414,kuwait,kw,65,2014,-84910.0
total net number of migrants,414,kuwait,kw,66,2015,259114.0
total net number of migrants,414,kuwait,kw,67,2016,-90785.0
total net number of migrants,414,kuwait,kw,68,2017,140685.0
total net number of migrants,414,kuwait,kw,69,2018,144967.0
total net number of migrants,414,kuwait,kw,70,2019,9088.0
total net number of migrants,414,kuwait,kw,71,2020,-254177.0
total net number of migrants,414,kuwait,kw,72,2021,-36843.0
total net number of migrants,414,kuwait,kw,73,2022,11999.0
total net number of migrants,414,kuwait,kw,74,2023,11999.0
