indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,417,kyrgyzstan,kg,1,1950,3275.0
crude rate of net migration,417,kyrgyzstan,kg,2,1951,2706.0
crude rate of net migration,417,kyrgyzstan,kg,3,1952,2115.0
crude rate of net migration,417,kyrgyzstan,kg,4,1953,1436.0
crude rate of net migration,417,kyrgyzstan,kg,5,1954,1599.0
crude rate of net migration,417,kyrgyzstan,kg,6,1955,1726.0
crude rate of net migration,417,kyrgyzstan,kg,7,1956,1954.0
crude rate of net migration,417,kyrgyzstan,kg,8,1957,2163.0
crude rate of net migration,417,kyrgyzstan,kg,9,1958,1941.0
crude rate of net migration,417,kyrgyzstan,kg,10,1959,4273.0
crude rate of net migration,417,kyrgyzstan,kg,11,1960,6311.0
crude rate of net migration,417,kyrgyzstan,kg,12,1961,8048.0
crude rate of net migration,417,kyrgyzstan,kg,13,1962,8999.0
crude rate of net migration,417,kyrgyzstan,kg,14,1963,9003.0
crude rate of net migration,417,kyrgyzstan,kg,15,1964,8837.0
crude rate of net migration,417,kyrgyzstan,kg,16,1965,8786.0
crude rate of net migration,417,kyrgyzstan,kg,17,1966,8141.0
crude rate of net migration,417,kyrgyzstan,kg,18,1967,8007.0
crude rate of net migration,417,kyrgyzstan,kg,19,1968,7341.0
crude rate of net migration,417,kyrgyzstan,kg,20,1969,5753.0
crude rate of net migration,417,kyrgyzstan,kg,21,1970,3751.0
crude rate of net migration,417,kyrgyzstan,kg,22,1971,856.0
crude rate of net migration,417,kyrgyzstan,kg,23,1972,-372.0
crude rate of net migration,417,kyrgyzstan,kg,24,1973,-1045.0
crude rate of net migration,417,kyrgyzstan,kg,25,1974,-1767.0
crude rate of net migration,417,kyrgyzstan,kg,26,1975,-2278.0
crude rate of net migration,417,kyrgyzstan,kg,27,1976,-3071.0
crude rate of net migration,417,kyrgyzstan,kg,28,1977,-1931.0
crude rate of net migration,417,kyrgyzstan,kg,29,1978,-1971.0
crude rate of net migration,417,kyrgyzstan,kg,30,1979,-1845.0
crude rate of net migration,417,kyrgyzstan,kg,31,1980,-1378.0
crude rate of net migration,417,kyrgyzstan,kg,32,1981,-1787.0
crude rate of net migration,417,kyrgyzstan,kg,33,1982,-1664.0
crude rate of net migration,417,kyrgyzstan,kg,34,1983,-1408.0
crude rate of net migration,417,kyrgyzstan,kg,35,1984,-7065.0
crude rate of net migration,417,kyrgyzstan,kg,36,1985,-7866.0
crude rate of net migration,417,kyrgyzstan,kg,37,1986,-8377.0
crude rate of net migration,417,kyrgyzstan,kg,38,1987,-7918.0
crude rate of net migration,417,kyrgyzstan,kg,39,1988,-7643.0
crude rate of net migration,417,kyrgyzstan,kg,40,1989,-10.12
crude rate of net migration,417,kyrgyzstan,kg,41,1990,-8406.0
crude rate of net migration,417,kyrgyzstan,kg,42,1991,-7829.0
crude rate of net migration,417,kyrgyzstan,kg,43,1992,-14403.0
crude rate of net migration,417,kyrgyzstan,kg,44,1993,-22.75
crude rate of net migration,417,kyrgyzstan,kg,45,1994,-4.88
crude rate of net migration,417,kyrgyzstan,kg,46,1995,-3791.0
crude rate of net migration,417,kyrgyzstan,kg,47,1996,-1982.0
crude rate of net migration,417,kyrgyzstan,kg,48,1997,-749.0
crude rate of net migration,417,kyrgyzstan,kg,49,1998,-0.5
crude rate of net migration,417,kyrgyzstan,kg,50,1999,-1635.0
crude rate of net migration,417,kyrgyzstan,kg,51,2000,-4275.0
crude rate of net migration,417,kyrgyzstan,kg,52,2001,-4859.0
crude rate of net migration,417,kyrgyzstan,kg,53,2002,-5024.0
crude rate of net migration,417,kyrgyzstan,kg,54,2003,-3021.0
crude rate of net migration,417,kyrgyzstan,kg,55,2004,-3363.0
crude rate of net migration,417,kyrgyzstan,kg,56,2005,-5.21
crude rate of net migration,417,kyrgyzstan,kg,57,2006,-5855.0
crude rate of net migration,417,kyrgyzstan,kg,58,2007,-9477.0
crude rate of net migration,417,kyrgyzstan,kg,59,2008,-7044.0
crude rate of net migration,417,kyrgyzstan,kg,60,2009,-5459.0
crude rate of net migration,417,kyrgyzstan,kg,61,2010,-9532.0
crude rate of net migration,417,kyrgyzstan,kg,62,2011,-8397.0
crude rate of net migration,417,kyrgyzstan,kg,63,2012,-7344.0
crude rate of net migration,417,kyrgyzstan,kg,64,2013,-6.48
crude rate of net migration,417,kyrgyzstan,kg,65,2014,-5647.0
crude rate of net migration,417,kyrgyzstan,kg,66,2015,-4969.0
crude rate of net migration,417,kyrgyzstan,kg,67,2016,-4192.0
crude rate of net migration,417,kyrgyzstan,kg,68,2017,-4531.0
crude rate of net migration,417,kyrgyzstan,kg,69,2018,-4922.0
crude rate of net migration,417,kyrgyzstan,kg,70,2019,-5406.0
crude rate of net migration,417,kyrgyzstan,kg,71,2020,-2225.0
crude rate of net migration,417,kyrgyzstan,kg,72,2021,-2526.0
crude rate of net migration,417,kyrgyzstan,kg,73,2022,-1507.0
crude rate of net migration,417,kyrgyzstan,kg,74,2023,-1484.0
