indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,417,kyrgyzstan,kg,1,1950,5731.0
total net number of migrants,417,kyrgyzstan,kg,2,1951,4832.0
total net number of migrants,417,kyrgyzstan,kg,3,1952,3857.0
total net number of migrants,417,kyrgyzstan,kg,4,1953,2675.0
total net number of migrants,417,kyrgyzstan,kg,5,1954,3040.0
total net number of migrants,417,kyrgyzstan,kg,6,1955,3355.0
total net number of migrants,417,kyrgyzstan,kg,7,1956,3885.0
total net number of migrants,417,kyrgyzstan,kg,8,1957,4406.0
total net number of migrants,417,kyrgyzstan,kg,9,1958,4057.0
total net number of migrants,417,kyrgyzstan,kg,10,1959,9170.0
total net number of migrants,417,kyrgyzstan,kg,11,1960,13949.0
total net number of migrants,417,kyrgyzstan,kg,12,1961,18358.0
total net number of migrants,417,kyrgyzstan,kg,13,1962,21222.0
total net number of migrants,417,kyrgyzstan,kg,14,1963,21962.0
total net number of migrants,417,kyrgyzstan,kg,15,1964,22282.0
total net number of migrants,417,kyrgyzstan,kg,16,1965,22875.0
total net number of migrants,417,kyrgyzstan,kg,17,1966,21867.0
total net number of migrants,417,kyrgyzstan,kg,18,1967,22157.0
total net number of migrants,417,kyrgyzstan,kg,19,1968,20914.0
total net number of migrants,417,kyrgyzstan,kg,20,1969,16863.0
total net number of migrants,417,kyrgyzstan,kg,21,1970,11294.0
total net number of migrants,417,kyrgyzstan,kg,22,1971,2642.0
total net number of migrants,417,kyrgyzstan,kg,23,1972,-1174.0
total net number of migrants,417,kyrgyzstan,kg,24,1973,-3372.0
total net number of migrants,417,kyrgyzstan,kg,25,1974,-5819.0
total net number of migrants,417,kyrgyzstan,kg,26,1975,-7649.0
total net number of migrants,417,kyrgyzstan,kg,27,1976,-10509.0
total net number of migrants,417,kyrgyzstan,kg,28,1977,-6731.0
total net number of migrants,417,kyrgyzstan,kg,29,1978,-7004.0
total net number of migrants,417,kyrgyzstan,kg,30,1979,-6684.0
total net number of migrants,417,kyrgyzstan,kg,31,1980,-5090.0
total net number of migrants,417,kyrgyzstan,kg,32,1981,-6734.0
total net number of migrants,417,kyrgyzstan,kg,33,1982,-6398.0
total net number of migrants,417,kyrgyzstan,kg,34,1983,-5529.0
total net number of migrants,417,kyrgyzstan,kg,35,1984,-28355.0
total net number of migrants,417,kyrgyzstan,kg,36,1985,-32108.0
total net number of migrants,417,kyrgyzstan,kg,37,1986,-34777.0
total net number of migrants,417,kyrgyzstan,kg,38,1987,-33416.0
total net number of migrants,417,kyrgyzstan,kg,39,1988,-32782.0
total net number of migrants,417,kyrgyzstan,kg,40,1989,-44108.0
total net number of migrants,417,kyrgyzstan,kg,41,1990,-37094.0
total net number of migrants,417,kyrgyzstan,kg,42,1991,-35023.0
total net number of migrants,417,kyrgyzstan,kg,43,1992,-65295.0
total net number of migrants,417,kyrgyzstan,kg,44,1993,-103695.0
total net number of migrants,417,kyrgyzstan,kg,45,1994,-22162.0
total net number of migrants,417,kyrgyzstan,kg,46,1995,-17460.0
total net number of migrants,417,kyrgyzstan,kg,47,1996,-9253.0
total net number of migrants,417,kyrgyzstan,kg,48,1997,-3550.0
total net number of migrants,417,kyrgyzstan,kg,49,1998,-2405.0
total net number of migrants,417,kyrgyzstan,kg,50,1999,-7985.0
total net number of migrants,417,kyrgyzstan,kg,51,2000,-21139.0
total net number of migrants,417,kyrgyzstan,kg,52,2001,-24266.0
total net number of migrants,417,kyrgyzstan,kg,53,2002,-25320.0
total net number of migrants,417,kyrgyzstan,kg,54,2003,-15369.0
total net number of migrants,417,kyrgyzstan,kg,55,2004,-17310.0
total net number of migrants,417,kyrgyzstan,kg,56,2005,-27130.0
total net number of migrants,417,kyrgyzstan,kg,57,2006,-30824.0
total net number of migrants,417,kyrgyzstan,kg,58,2007,-50440.0
total net number of migrants,417,kyrgyzstan,kg,59,2008,-37801.0
total net number of migrants,417,kyrgyzstan,kg,60,2009,-29651.0
total net number of migrants,417,kyrgyzstan,kg,61,2010,-52547.0
total net number of migrants,417,kyrgyzstan,kg,62,2011,-46841.0
total net number of migrants,417,kyrgyzstan,kg,63,2012,-41524.0
total net number of migrants,417,kyrgyzstan,kg,64,2013,-37188.0
total net number of migrants,417,kyrgyzstan,kg,65,2014,-32933.0
total net number of migrants,417,kyrgyzstan,kg,66,2015,-29468.0
total net number of migrants,417,kyrgyzstan,kg,67,2016,-25279.0
total net number of migrants,417,kyrgyzstan,kg,68,2017,-27796.0
total net number of migrants,417,kyrgyzstan,kg,69,2018,-30717.0
total net number of migrants,417,kyrgyzstan,kg,70,2019,-34270.0
total net number of migrants,417,kyrgyzstan,kg,71,2020,-14307.0
total net number of migrants,417,kyrgyzstan,kg,72,2021,-16510.0
total net number of migrants,417,kyrgyzstan,kg,73,2022,-9999.0
total net number of migrants,417,kyrgyzstan,kg,74,2023,-9999.0
